#V3.30
#C data file created using the SS_writedat function in the R package r4ss
#C should work with SS version: 
#C file write time: 2020-10-27 11:29:25
#
1964 #_styr
2024 #_endyr
1 #_nseas
12 #_months_per_seas
2 #_Nsubseasons
1 #_spawn_month
2 #_Ngenders
21 #_Nages
1 #_N_areas
2 #_Nfleets
#_fleetinfo
#_type	surveytiming	area	units	need_catch_mult	fleetname
1	-1.0	1	1	0	Fishery	#_1
3	 0.5	1	2	0	Survey 	#_2
#_Catch data
#_year	season	fleet	catch	catch_se
 -999	1	1	11659.00	0.01	#_1         
 1964	1	1	12315	0.01
1965	1	1	3449	0.01
1966	1	1	5086	0.01
1967	1	1	11218	0.01
1968	1	1	12606	0.01
1969	1	1	9610	0.01
1970	1	1	21050	0.01
1971	1	1	26108	0.01
1972	1	1	10380	0.01
1973	1	1	17715	0.01
1974	1	1	13198	0.01
1975	1	1	5011	0.01
1976	1	1	7565	0.01
1977	1	1	7909	0.01
1978	1	1	13864	0.01
1979	1	1	6042	0.01
1980	1	1	8600	0.01
1981	1	1	10609	0.01
1982	1	1	8417	0.01
1983	1	1	5518	0.01
1984	1	1	4458	0.01
1985	1	1	5636	0.01
1986	1	1	5208	0.01
1987	1	1	3595	0.01
1988	1	1	6783	0.01
1989	1	1	3604	0.01
1990	1	1	20245	0.01
1991	1	1	14197	0.01
1992	1	1	14407	0.01
1993	1	1	13574	0.01
1994	1	1	17006	0.01
1995	1	1	14715	0.01
1996	1	1	17346	0.01
1997	1	1	20683	0.01
1998	1	1	24387	0.01
1999	1	1	18573	0.01
2000	1	1	20441	0.01
2001	1	1	17811	0.01
2002	1	1	15575	0.01
2003	1	1	13785	0.01
2004	1	1	17398	0.01
2005	1	1	16108	0.01
2006	1	1	17981	0.01
2007	1	1	18958	0.01
2008	1	1	24540	0.01
2009	1	1	19558	0.01
2010	1	1	20127	0.01
2011	1	1	13557	0.01
2012	1	1	11365	0.01
2013	1	1	17353	0.01
2014	1	1	16511	0.01
2015	1	1	11306	0.01
2016	1	1	10313	0.01
2017	1	1	9111	0.01
2018	1	1	11007	0.01
