Stock Year Catch ABC OFL SSB TotBiom
Model_Proj.dat 2021 62.5672 62.5672 75.8626 150.433 602.497
Model_Proj.dat 2022 55.9178 55.9178 67.8651 132.188 563.295
Model_Proj.dat 2023 51.2919 51.2919 62.2963 120.168 533.197
Model_Proj.dat 2024 47.9167 47.9167 58.2254 112.168 509.529
Model_Proj.dat 2025 45.2562 45.2562 55.0104 106.075 490.395
Model_Proj.dat 2026 43.1276 43.1276 52.4335 101.09 475.186
Model_Proj.dat 2027 41.3639 41.3639 50.2972 96.7996 463.187
Model_Proj.dat 2028 39.9087 39.9087 48.5352 93.126 453.869
Model_Proj.dat 2029 38.4741 38.4741 46.8035 90.1156 447.278
Model_Proj.dat 2030 37.1787 37.1787 45.2425 87.8703 442.556
Model_Proj.dat 2031 36.2874 36.2874 44.1686 86.3239 439.444
Model_Proj.dat 2032 35.7479 35.7479 43.5186 85.3096 436.93
Model_Proj.dat 2033 35.4084 35.4084 43.1105 84.6328 435.038
