Year,Total,ABC,Quota
1977,23453,50000,30000
1978,8176,50000,25000
1979,9921,50000,25000
1980,12471,50000,25000
1981,12184,50000,25000
1982,7991,50000,11475
1983,4705,50000,11475
1984,4452,50000,11475
1985,1087,11474,6083
1986,2981,10500,3702
1987,1981,10500,5000
1988,13779,16800,16800
1989,19003,20000,20000
1990,21140,17700,17700
1991,6548,5800,5800
1992,6538,5730,5200
1993,2060,3378,2560
1994,1842,3030,2550
1995,5740,6530,5630
1996,8379,8060,6959
1997,9519,12990,9190
1998,8908,12820,10776
1999,10473,13120,12590
2000,10145,13020,13020
2001,10817,13510,13510
2002,11734,13190,13190
2003,10846,13663,13660
2004,11640,13336,13340
2005,11248,13575,13580
2006,13595,14261,14261
2007,12955,14636,14635
2008,12461,14999,14999
2009,12986,15111,15111
2010,15616,17584,17584
2011,14224,16997,16997
2012,14916,16918,16918
2013,13182,16412,16412
2014,17712,19309,19309
2015,18733,21012,21012
2016,23035,24437,24437
2017,23861,23918,23918
2018,24736,29236,29236
2019,25470,28555,28555
2020,25191,31238,31238
2021,25149,36177,36177
2022,29484.00,38268.00,38268.00
2023,28812.20,37193.00,37193.00
