"Yr","Seas","FltSvy","Gender","Part","Nsamp","f6","f8","f10","f12","f14","f16","f18","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f43","f46","f49","f52","f55","f58","m6","m8","m10","m12","m14","m16","m18","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m43","m46","m49","m52","m55","m58"
1982,7,2,3,0,108,0,0,0.00109988676277805,0.0150244166415853,0.0216094544407262,0.0176981318080403,0.0263217307948833,0.0419607978658246,0.0433105512533901,0.0431928896944882,0.0478268746376219,0.0599282784336851,0.0631190667025153,0.0494844832105641,0.0294394252182404,0.0120800248766364,0.00604305383398454,0.00780373207605946,0.00149595541415199,0.000355688736838718,0,0,0,0,0.000242120003214051,0.00026491994297569,0.00127547057993327,0.0173619198303692,0.0273946181712984,0.0249242585409773,0.030112486213594,0.0416202753403406,0.0492560465759216,0.0569882572470424,0.0756996070170952,0.080821368389899,0.0649843306076742,0.0282657762107649,0.00932868042653977,0.00276294646290657,0.00052960334788807,0.000372872689551748,0,0,0,0,0,0
1983,7,2,3,0,170,0,0.000320668048067516,0.00851177804328242,0.0270915372787624,0.0176177284296078,0.0305624467557662,0.0389912951566598,0.0374798243646808,0.0311564220986941,0.0353896761033644,0.0380073647515392,0.0417578588654131,0.050641592381435,0.0510474200243206,0.0459981485884758,0.0215398170496518,0.0109363317779777,0.00608599490937335,0.0011472035079375,0.000347045326621114,0,0,0,0,0.000320891709852196,0.00098805407670042,0.0117438833884214,0.0348124339205791,0.0198567087965904,0.0352311406311323,0.0470876103258689,0.0403588277405659,0.0355759952572267,0.0399279566432134,0.0507544638194955,0.0619329072575841,0.0602468825140986,0.0428927009864364,0.0175598103958026,0.00497323013206312,0.00101401069335435,9.23382493840586e-05,0,0,0,0,0,0
1984,7,2,3,0,152,0,0.000256015547004334,0.00366298529262772,0.0194325019743177,0.0341650227212627,0.0489855667881043,0.0361014568335002,0.0325577098902993,0.0395144001682028,0.0388808251641855,0.0379411864912921,0.0428820148575247,0.0435159343244661,0.040962551731258,0.0400242541227587,0.0257413096629399,0.0121352609346582,0.00662179472784418,0.000700390109545618,0.000500476536697898,1.25170469183077e-05,0,0,0,0.000454828845074849,0.000798245672132037,0.00628474143527352,0.0179030150229752,0.0331746510138094,0.0564060165304293,0.0412950286833876,0.0382772378315124,0.0448413273276675,0.0418804089767231,0.0454008588556292,0.0527999331685743,0.0520710108271466,0.0388993626203863,0.0184425924491568,0.00430088581456851,0.00204550779553107,6.38982068636682e-05,0,6.62739977503748e-05,0,0,0,0
1985,7,2,3,0,189,0,0.000900951162244851,0.000829693123180847,0.00500431253375426,0.0149574591229922,0.0235269563601048,0.0382886231565688,0.0583034713714018,0.050498366109295,0.0367710943323812,0.0358490790628569,0.0395150389323684,0.040140179926915,0.0401169884736327,0.0360260562137428,0.0224923906375444,0.0161117335521709,0.0101588622360304,0.00311848874454364,0.000747039852992243,0,0,0,0,2.71385577885486e-05,0.00201879821323839,0.00293888180105924,0.00535182682291069,0.0156603174940874,0.0293363759523735,0.0446682326729985,0.0637140401598462,0.0560311043043518,0.0428208726200507,0.0527841969736622,0.0572577141340449,0.0626778366546327,0.0475539348500029,0.0298062553124417,0.0108944875330289,0.00250971430368825,0.000591486735072092,0,0,0,0,0,0
1986,7,2,3,0,259,0,0.000333559988804211,0.00237808155196459,0.00835843500830658,0.00832637764931813,0.0105671651688559,0.0194843128419083,0.0309191627353803,0.0434693567866366,0.0510050017209686,0.0449615576041036,0.0409036778965077,0.0461233296853654,0.0469269812789996,0.0481159562930506,0.0355515161678061,0.0266001863572158,0.020612483037967,0.00488161225202931,0.00140333991991942,0.000127393169255589,0,0,0,0.000327976906339692,0.000563107812430432,0.00499004980834698,0.0161836040542567,0.0111484345276959,0.0140743945541463,0.0257412293310505,0.0443037596440039,0.0502201910964778,0.0570894102459946,0.0578555599554,0.0480521798797683,0.0610015903506757,0.0621726204458555,0.0346650594009907,0.014516770494124,0.00483646299369663,0.00112900505608463,7.91063282982874e-05,0,0,0,0,0
1987,7,2,3,0,192,0,0,0.00218109257731017,0.0103491452326316,0.0149203510929636,0.0217972490696688,0.0216777956397146,0.0276994007673775,0.0269524220176067,0.0348837206152123,0.0421809330664295,0.0447827702822256,0.0460385504165244,0.0443640740436161,0.0492634249740853,0.0372507048205328,0.0292794597822405,0.022694828160676,0.00898219381162076,0.00180999652640939,6.82064296913157e-05,0,0,0,3.72333020116473e-05,0.000131582600319219,0.0039109927039069,0.0138908510852705,0.0152108333578894,0.0259630812198778,0.0262843648112033,0.0332378227244507,0.039478865662358,0.0504414630468811,0.0498724017026339,0.058473361205514,0.0646671429328534,0.0639004638624647,0.0361074010018995,0.0188931552543025,0.00982505287341325,0.00249761132621347,0,0,0,0,0,0
1988,7,2,3,0,202,0,0,0.00115803624403812,0.00850246840226612,0.0309998151872286,0.0391601686685714,0.0334573514715577,0.0398790695326094,0.0266473239876762,0.0278249451876053,0.0302586655388968,0.0331335106823174,0.0338657260532062,0.0446157786962633,0.0448137349369363,0.0418942819080392,0.0302273202464411,0.0283173376679762,0.0117368182091174,0.00156549769849792,0.000602243998756499,0,0,0,0.000258688932566456,0.000778629579540217,0.00237849655109242,0.0134711902061182,0.0330853216696022,0.0442622251191149,0.0297532742063022,0.0332342485424366,0.0277851129109742,0.0309216375943834,0.0337254664724033,0.0387825038984772,0.0521165386927178,0.0624288854401656,0.0544834524340035,0.0233815116187353,0.00803035754284443,0.00234793274718506,0.000114431523335756,0,0,0,0,0
1989,7,2,3,0,253,0,3.35161829359585e-05,0.00703646912188247,0.0196511297340479,0.0119339316997466,0.0159355216236451,0.0439850207295488,0.0422711313855543,0.0447241880058162,0.031341892869321,0.02517733745131,0.0292495954652483,0.0340342301900566,0.0301326783970666,0.0379159318734341,0.039835043209373,0.0293069091154648,0.0292607462784883,0.0121703656754141,0.00361811262555192,0.000370425992927933,0,0,0,0,0.000681437642545531,0.00752972073715586,0.0320790392495575,0.0182960457586313,0.0179044263268366,0.0564505491302404,0.0445343772347958,0.0459506631966006,0.03228025061279,0.0338921923624299,0.0344562924374355,0.0346344570868196,0.058763189833592,0.0582183916765419,0.0268084517437858,0.00815856881004329,0.00137776853336411,0,0,0,0,0,0
1990,7,2,3,0,256,0,6.57596721268836e-05,0.000868404859056569,0.00584877930394383,0.0260696138650856,0.0305988612241231,0.0199008107209552,0.0266542162899285,0.0356108558482486,0.0352828002164976,0.0318544886622907,0.0282717922231958,0.0261378478800254,0.0328510069163875,0.0308691847149166,0.0359007852040287,0.0349920651726616,0.0406389666003763,0.0177696460489151,0.00509437646452,0.00108199361472902,0,0,0,0,0.000555609489264973,0.00201219597844651,0.00742492573488688,0.0323632229175076,0.0332967474426679,0.0270457366609659,0.0395432611406271,0.0479656736594357,0.0428175968078779,0.0417252925635699,0.0427563110240092,0.0485228486072204,0.0612150920791695,0.0596154088586715,0.0314346679065717,0.0126653580118261,0.00244737877223071,0.000230416843037755,0,0,0,0,0
1991,7,2,3,0,267,0,0.000328132772405268,0.00198020493250421,0.00198038521448022,0.00308980088742136,0.013703937279642,0.0294042552465596,0.0398517104810392,0.036880588854217,0.0389069227544456,0.0365335633501897,0.0335834277290443,0.0267627009085729,0.0314399656305706,0.0372311753825279,0.0329723023326352,0.0475641146863845,0.0564960986887064,0.0203376670757579,0.00665529625512448,0.000434841036643087,0,0,0,0.000116181717870957,0.000215702376459298,0.00493240059390583,0.00376311446040241,0.00458692797326283,0.0207192839563026,0.039850278696154,0.0548660395952384,0.0519813759231219,0.0494623969395492,0.049684640911244,0.0409811351770295,0.045923761765241,0.0433065527781355,0.048660335175506,0.0328114011243068,0.00962789746887097,0.00215625255836229,0.000204141111861599,1.30881983035742e-05,0,0,0,0
