"Yr","Seas","FltSvy","Gender","Part","Nsamp","f6","f8","f10","f12","f14","f16","f18","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f43","f46","f49","f52","f55","f58","m6","m8","m10","m12","m14","m16","m18","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m43","m46","m49","m52","m55","m58"
1973,7,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0.142857142857143,0.0714285714285714,0,0.0714285714285714,0.214285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0
1975,7,1,3,0,34,0,0,0,0,0,9.533151858185e-05,0.010763593395111,0.031296841849077,0.0549665547046432,0.0926609376430356,0.144290233669174,0.0840435138064619,0.0653223163138023,0.0234087387481127,0.0416635103423862,0.0419127676831972,0.0360411473981225,0.0216212620725826,0.00592022538048528,0.000541907073857065,0,0,0,0,0,0,0,0,0,0,0.0121665465335111,0.0462502600864654,0.0660010143656278,0.0573555874774719,0.0330958765264453,0.0221712643702384,0.0372128664047229,0.0452579479281341,0.0200469631165428,0.00404112613217934,0.00123444364002018,0.000308610910005044,0.000308610910005044,0,0,0,0,0
1976,7,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0142244927475769,0.00582490921943772,0.0116498184388754,0.0298392534543858,0.0656595401203698,0.102980681049818,0.187662667795684,0.0740591236485091,0.028135410495042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304314566291206,0.0823753497493483,0.154730630438514,0.130281534036782,0.0665303714697275,0.0156147607068089,0,0,0,0,0,0,0
1977,7,1,3,0,138,0,0,0.00087276488867754,0.00123102713748855,0.00532502288811953,0.0138032937117265,0.037505939300874,0.0356610255361501,0.0300633641428309,0.02782043218185,0.0461674151727896,0.0480106238643134,0.0562180759677947,0.0498927729179311,0.0445749137247209,0.031470945370746,0.023803999072748,0.014397352089069,0.00260535743299486,0.00107233592389576,0.000372894474754396,0,0,0.00482328067495919,0,0.000104340729618937,0.00056523502132595,0.000627257235612354,0.00551617440509567,0.0130539858791316,0.0351918232853607,0.0388352774588584,0.0275746248965611,0.0571517734350184,0.0805739059044448,0.100236464310609,0.0883002348234818,0.0430977445648874,0.0241706072611075,0.00268974352810046,0.000993504487328911,0.00213859349621206,0.00167802513639478,0,0,0,0,0.0018078476664157
1978,7,1,3,0,145,0,0,8.77017326266962e-05,0.000112042076064782,0.00171149327344054,0.0059609095850264,0.0177387819928166,0.0274997048026683,0.0289093667408445,0.0284687878442695,0.0333241997389672,0.0314588589658121,0.0482420066362874,0.0674721239807548,0.0727479425415549,0.057080945970603,0.0414898091484296,0.0375166554437594,0.0108640483363472,0.00201647602728878,0.000314734778390903,0.00174299991594575,0.000871499957972874,0.00174299991594575,0,0,0,0.000910036892640716,0.00414429202224923,0.00770442682515963,0.0441021096475758,0.0296264172109173,0.0339089320952913,0.0404315350026987,0.0381402939362861,0.0714507151628655,0.0917622330476582,0.0651400027794547,0.0307686011215466,0.0118229744530383,0.00192476408529875,0.000204102113722315,0,0,0.00274097457602402,0.00261449987391862,0.000871499957972874,0.00435749978986437
1979,7,1,3,0,218,0,0,0.00032380451749621,0.000673310958811426,0.00519261329303545,0.00878707992069546,0.035334787895665,0.07019723102488,0.0594469821610913,0.0390324288825827,0.0438746566185596,0.0418956290805965,0.0478078854669029,0.0348482127438032,0.0472293301781915,0.0484411945731777,0.0407792388461412,0.0346366028577566,0.0114174479792279,0.00195419056539035,5.33236550351121e-05,0,0,0,0,0,0.000345367019201234,0.00229647740178781,0.00877079971477956,0.0112959057594288,0.0257088727936556,0.0501312951479305,0.0479674212537223,0.0313823536084106,0.0284986816257243,0.0325601235889977,0.0562607224013934,0.0767374058372689,0.0395726560485105,0.0123662218851537,0.00265215711275354,0.00132461929835791,0.000118361812491266,2.8480404481197e-05,5.61260669110197e-05,0,0,0
1980,7,1,3,0,90,0,0,0,0,0.000326539558095214,0.00315071493969994,0.0147010689491501,0.0294936960553423,0.0628072516926454,0.0887903601102034,0.0689778511298273,0.0564378513550993,0.0443091487519245,0.0375224643486647,0.0288898707980421,0.0359074459344813,0.0331791659332277,0.0269531510806663,0.00746896320646131,0.000487593677196084,0.000109697750596038,6.53024303987554e-05,0,0,0,0,0.000307838008376449,0,0.000240452851127481,0.0013980504445542,0.00705091937330088,0.0249513080825633,0.0530634473898539,0.0700239728193105,0.0400575671034304,0.0410992417114178,0.0756748304290354,0.0928736496087506,0.0458453405571264,0.00676629146168645,0.0007703406054256,0.000298611852318709,0,0,0,0,0,0
1981,7,1,3,0,62,0,0,0,0.00044922734445974,0.000626217974034223,0.0110333652092711,0.0174845083513928,0.00756176842541308,0.00434128644626569,0.0104106022978614,0.0316524751335847,0.0626717112264785,0.0890526403243777,0.104772555059151,0.0788968227456126,0.0579692103194566,0.0548837709266783,0.0605957764348072,0.0299944981226195,0.00655196061575651,0.000540659658382258,0,0,0,0,0,0.000353778955668614,0.000195394268613891,0.00254590659237926,0.012399640197856,0.0146025051309622,0.00310074431971406,0.00588297376700934,0.0139262192410487,0.0403077594339995,0.0831574768087427,0.0911163583442744,0.0638748336278888,0.0284539617713583,0.00603000296086956,0.000796749939653666,0.00235252491328519,0.00141411311107296,0,0,0,0,0
1982,7,1,3,0,46,0,0,0,0,1.20317898550634e-05,0,0,0.0014107711500814,0.00419591067841665,0.0157666579497825,0.0404420521390178,0.0868905427673015,0.141586137921948,0.129078259011872,0.0816269590266735,0.0394759487337301,0.0348978522613297,0.0238818088067581,0.00890274024280698,0.000938851474348891,0,0,0,0,0,0,0,0,0,7.23743649280301e-05,1.96538473091491e-05,0.00173280107109084,0.00290502810003543,0.0137787934912898,0.0249964536569766,0.0699466119463462,0.124766124251135,0.0969696895596907,0.0464605444928205,0.00709098535795513,0.0012574339400717,0.000847008457608631,4.99735088208093e-05,0,0,0,0,0
1983,7,1,3,0,48,0,0,0,0,0,0.000815029089375569,0.00176271896197584,0.00964190321642944,0.00154621229189282,0.00780713762471313,0.000602813582110031,0.0159323683365724,0.0149871191965557,0.0434496243998604,0.0734254656552236,0.0673414979923925,0.0547580082450225,0.0971925170706535,0.0686590499278108,0.032780642381388,0.0208131658130609,0.0108783218110869,0.0112584737081305,0.0266203400807881,0,0,0,0,0,0,0,0,0.00288849431403027,0.00855454711061485,0.00547883049738672,0.0155839194809933,0.0524347179869858,0.07414052635287,0.0723522269248286,0.0437959581148723,0.0155492181298185,0.00567221679780227,0.0105166863389496,0.0074972391943822,0.00499815946292147,0.00360068420314768,0.00110160447168695,0.115562561233667
1984,7,1,3,0,56,0,0,0.000329108115491086,3.85624320671739e-05,0.00136728930032385,0.0017227214763836,0.00507665189898015,0.0250577800051199,0.0228272724702756,0.0104320244005779,0.012496252490466,0.0289254595514065,0.0294729809005061,0.044336968193205,0.0812375014941329,0.116964570722056,0.111956983746015,0.094758532511156,0.0412089451730558,0.0130345060646386,0.00171656742678317,6.79542334593313e-06,0,0,0,0,0,9.36330195713099e-05,0.000395532574282958,0.000440107799648102,0.0023363668396581,0.0143637616564153,0.0191323989924251,0.0105086874644695,0.0156546590733666,0.0278418675481572,0.0339143770931683,0.0740607886999462,0.0829098526314144,0.050207490902993,0.0206821535913776,0.00387772006523416,0.000583769540771112,3.66983888931942e-06,0,3.66983888931942e-06,3.66983888931942e-06,1.83491944465971e-05
1985,7,1,3,0,152,0,0,3.24261552190226e-05,0.000122160128817489,0.000202654048770024,0.00784025796008695,0.00263598244380066,0.0228307632139837,0.0221566574308919,0.0171380118767941,0.0406797458369134,0.0623976868139126,0.0558556358454172,0.0448596100431694,0.0477584402666322,0.0456566663215106,0.0501519736903539,0.0786761313024185,0.0361676053773849,0.00401921516552799,0.00125286727590907,5.01547017691083e-05,7.72113331340952e-05,0.00227418684547145,0,0,0,7.05436993208789e-05,0.000340257557438221,0.00205036483872952,0.00156383993777406,0.00323086884137746,0.0146696672621551,0.0302458441579463,0.0333858976142698,0.0699811385489198,0.0877381945813126,0.069983212569338,0.0879591448834578,0.0360347010168087,0.0120277165498619,0.00597331931009117,0.00115416564529386,0.000486677607122198,5.14742220893968e-05,5.14742220893968e-05,5.88276823878821e-05,0.000106625174328036
1986,7,1,3,0,55,0,0,0,0,0.000135768722998895,0.00343439831378315,0.0590347501724683,0.042269468656821,0.0600249561596379,0.0502239326326975,0.0184144564940286,0.0571085363446246,0.0955187516844559,0.0917443969661496,0.0516796099297203,0.0639530837611492,0.0385958011264185,0.0203254109881763,0.00568690771407292,0.00879406689633417,0,0,0,0,0,0,0,0,0.000661352223754269,0.0011079008138255,0.0153200940897476,0.00405502581876908,0.038951744394683,0.0261662446463065,0.0504048985175889,0.0428979809441513,0.0376315451352857,0.0642648260344473,0.0315112841105376,0.0114064005007268,0.00557745573529907,0.00309895047134063,0,0,0,0,0,0
1987,7,1,3,0,40,0,0,0,6.34683596300811e-05,0,0.000229174314757238,0,0.0014932504646866,0.00238052867599595,0.0112053384764977,0.0362079593851278,0.0643954515206024,0.100226585042621,0.149856595894798,0.0920448950447166,0.0593487677321497,0.0430186761898179,0.0384429050857431,0.00739792448479338,0.00307158871103975,0.00137859467330372,0,0,0,0,0,0.000126936719260162,0.000190405078890243,0.000292642674387319,0,0.000520311680413965,0.00105190712750934,0.00228301918240255,0.00643251507684744,0.0140416251957285,0.0497399716478008,0.0393077436828411,0.101199689740375,0.0933133264949393,0.0572247765163483,0.0202017758754758,0.00282263469020843,0.000489014560290878,0,0,0,0,0
1988,7,1,3,0,166,0,2.61645462434533e-05,0,0,9.67757991126069e-05,0.000440611921477341,0.00253448969101609,0.00390948595022581,0.00424516707012158,0.00725288816697178,0.0102685362445421,0.0265022312943135,0.0469668798389754,0.0573745243259468,0.137219022750085,0.0782434254372192,0.0716627882310662,0.0449420566871835,0.0133068500451313,0.00303388451312534,0.000350280026542408,2.42659800611668e-05,0,0,0,0,0,0,0.000100066900914521,0.000735342923937604,0.00306675958744446,0.00414633824800062,0.00770338883266048,0.0140777629681828,0.0306067412107589,0.0503030346902733,0.115634730552555,0.128758434648826,0.0874562774197242,0.0345445664886207,0.0110126056458923,0.00156518429770136,0.00188843706514709,0,0,0,0,0
1989,7,1,3,0,140,0,0,0,0,0.000108336645500052,0.000233088472469199,0.00146750230665548,0.00750967913818891,0.012174982155997,0.0113180537055774,0.016675002790014,0.0301465048061253,0.0492630111933624,0.0521239705116239,0.0572201341772379,0.0770339928995876,0.0786842628000165,0.0851930619344303,0.0573477530545513,0.0276750296317692,0.0108314500822103,0.000131845069437486,0.000116238408755965,0,0,0,0,1.97317739522229e-05,0,4.30821904547942e-05,0.00268423372220819,0.011556824902457,0.011648233697044,0.0134235399674232,0.0264121045807715,0.05793030831267,0.0585737637210091,0.0663464201771432,0.0739407274986124,0.0538859193290638,0.0290699673296776,0.0164925744253275,0.00229938476145678,0.000136165068059384,0.00028311875915921,0,0,0
1990,7,1,3,0,72,0,0,0,0,0,0.000234461760767803,0,0.00111049139877706,0.00104081579005478,0.000956093651489199,0.00155783356024187,0.00316618124977431,0.00615052478112937,0.0162153335961803,0.0300549305971839,0.0699826684289875,0.0926048425593755,0.125760598955542,0.0888805832727002,0.0390173344590912,0.00492854739653441,0.00331662300823966,0,0,0,0,0,0,0.000170341947189053,0.000651449413419841,0,0.00139590627956642,0.00249568077673626,0.00459613213892516,0.00701196655046416,0.0122187120411245,0.022173772188005,0.052200418564442,0.0940958570633659,0.127508631768112,0.108514205638342,0.0531208854104171,0.0161063224308288,0.00820858476896489,0.00399337112538673,0.000559897428641459,0,0
1991,7,1,3,0,69,0,0,0,0,0,0.000120597383290551,0.000199851526939838,0.000526671755640986,0.000663915897750783,0.0016369320564207,0.0043895247192409,0.013943386024568,0.0198270118611838,0.0268692012702591,0.0364070508284879,0.0421663365928291,0.0636169407294927,0.0786692879181839,0.0537270464429351,0.0168697506759563,0.00542227581122988,0.000566157774560132,0.000414735789827092,0,0,0,0,0,0,0.000310978014163955,0.000917496260380121,0.00173058954405975,0.00300727091009417,0.00633047189124993,0.0132849450372006,0.0344384867793509,0.0534460407134843,0.0793103392767904,0.12908710695179,0.162880704694115,0.104734541997971,0.0395970586065339,0.00286074913748485,0.00118731217943566,0.000686504373890719,0.000147681235329596,5.0473378782426e-06,0
1992,7,1,3,0,10,0,0,0,0,0,0,0,0,0,0.00163070383402913,0.000253510207946369,0.00642431470514554,0.00944633940175854,0.0120961860929747,0.0307409539155577,0.0565275266691124,0.0626568331138932,0.0869143987762338,0.0706888334719654,0.0336444264817551,0.0164659795241635,0,0.00195632845089361,0,0,0,0,0,0,0.00484659168257118,0.00220667277959843,0.0239201238745777,0.0182314325592092,0.0170442119926868,0.0297488209524907,0.0455132779127608,0.0572372940910047,0.0753476782440495,0.0927609035562229,0.10229765682865,0.0747153810401385,0.0662503737172358,0.000433246123374319,0,0,0,0,0
1993,7,1,3,0,59,0,0,0,0,0,0,0,0.000789672060040161,0.000842838686399666,0.00367970834973688,0.00609407871594729,0.00974479990819362,0.0259535335071607,0.036801828160412,0.0479251647759039,0.0618491752912602,0.079246339332931,0.144464450596272,0.114110238226168,0.0308546843523142,0.00793992873522001,0.00106665571866583,0,0,0,0,0,0,0.000385478773788879,0.000884682140691721,0.000884682140691721,0.000113724593113962,0.00173195684774067,0.00351093573245723,0.0127935576444645,0.0259188606320973,0.0323737578453528,0.0644174476831582,0.0994548507114292,0.100696643748933,0.0551402445407356,0.0230347990105053,0.00615155351235568,0.00114372802585868,0,0,0,0
1994,7,1,3,0,98,0,0,0,9.40740469264746e-05,0,0,0.00022116106267777,0.0003385521888312,0.000480563740200094,0.00258717671087626,0.00600233361458488,0.00643166597071586,0.0141482916807854,0.0273491020889735,0.0309020587381694,0.0450643921276679,0.0664043892067206,0.0976557823874463,0.0786761434314194,0.0432694169329027,0.0226422077073681,0.00479939406330749,0.000683132522918996,0.000873280768995858,0,0,0,0,0.000126527354724018,6.22492362604118e-05,0.000691265696595853,0.000918368571490343,0.00369093449334035,0.00795742170420528,0.0207073151643991,0.0409958815122074,0.067629634357582,0.0898507288150886,0.105092710348475,0.0971672072384317,0.0559465829529919,0.0304579770986999,0.0117243525717661,0.00724193814465769,0.00598588026924827,0.00394111713917762,0.000553442307155776,0.000635346032014615
1995,7,1,3,0,127,0,0,0,0,0,5.91366519597692e-05,5.91366519597692e-05,0.00110321015366362,0.0032050126858206,0.00216617824845451,0.00461384065490946,0.00990692660886692,0.0164991531892035,0.0319505114079693,0.0342833019382683,0.0476161989449864,0.052855471866603,0.113182277328895,0.120977967634978,0.0618198533300558,0.0141148847863617,0.00275267411237202,0.000170980785192534,0,0,0,0,0,0,0,0.000327420181221718,0.00119114079556485,0.00301574224728868,0.00518452064246817,0.0104603715229071,0.0271079776849917,0.041366271235099,0.0704527322549286,0.0983519095005551,0.0997314634278989,0.0703773640710952,0.0334727475932681,0.0142110295290588,0.00644925232729839,0.000963340005835127,0,0,0
1996,7,1,3,0,241,0,0,0,0,3.48184921602333e-05,2.78161477641223e-05,0,0.000109063230327778,0.000101921208610044,0.000999358869334091,0.00162384610827556,0.00332579188083764,0.00702485747528281,0.0181762934382773,0.0383697611507599,0.0566728511652229,0.0651275167046119,0.0988218128733109,0.109255781457725,0.0543699346105263,0.0107601436912827,0.00201995653139645,0.000233950748708054,0,0,0,0,0,0,0,5.88789366167461e-05,0.00056934113817132,0.0014437035434162,0.0028763640931605,0.0083390047914483,0.0147007595215645,0.0458366851550673,0.0928667072330772,0.130367906910242,0.123937915663296,0.0724254157236267,0.0293419219060455,0.00527631203229663,0.00257384452812408,0.00130308990858701,0.000626994452395805,7.89722133264477e-05,0.000320706465123476
1997,7,1,3,0,151,0,0,0,4.92478718937268e-05,0,0,0,0.000156467375175354,0.00113822623243333,0.0032274475963632,0.00465258218036586,0.00799336914665326,0.0161278854288841,0.026541400135673,0.0487025942141874,0.0682390685283704,0.0802553387612966,0.106309588343445,0.105307255598334,0.0542435101438813,0.0134731970379039,0.00165718200291316,3.42545481340002e-05,0,0,0,0,0,0.000220221621270291,0.000152102949601172,0.000380748991634234,0.00120242733317165,0.00276912089425041,0.00834031061972098,0.0219452357167506,0.0347509055204473,0.056836523474534,0.0903318137430983,0.0911139521170868,0.0797756177854695,0.0505665312427482,0.0215075481523262,0.0018942466746213,0.000104078017361848,0,0,0,0
1998,7,1,3,0,392,0,0,0,0,0,4.20134568898463e-05,5.84348516933914e-05,6.82847594558176e-05,0.000469295594678603,0.00185330726334707,0.00348779860881108,0.00712065953139793,0.0104066925766937,0.0204715185924349,0.0358279304377624,0.0489463015219072,0.0584485099515059,0.0936094880350325,0.0894712185893584,0.0662261731682113,0.024279746944575,0.00288127689760284,2.24762624064784e-05,4.49525248129567e-06,0,0,0,0,8.26730217235011e-06,2.97779553103749e-05,0.000325236842900768,0.000687595450369342,0.00231289285706372,0.00405177123389901,0.0128219639279689,0.0222512536672873,0.0460641415845573,0.0790184136173647,0.115830801382003,0.117874795684276,0.0832006538243367,0.0426522947373942,0.00675155577961388,0.00202649111337838,0.000320390104142883,7.60806397160947e-05,0,0
