year,2021,2021,2021,2021,2021,2020,2020,2020,2020,2020,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2014,2014,2014,2014,2014,2013,2013,2013,2013,2013,2012,2012,2012,2012,2012,2011,2011,2011,2011,2011,2010,2010,2010,2010,2010,2009,2009,2009,2009,2009,2008,2008,2008,2008,2008,2007,2007,2007,2007,2007,2006,2006,2006,2006,2006,2005,2005,2005,2005,2005,2004,2004,2004,2004,2004,2003,2003,2003,2003,2003,2002,2002,2002,2002,2002,2001,2001,2001,2001,2001,2000,2000,2000,2000,2000,1999,1999,1999,1999,1999,1998,1998,1998,1998,1998,1997,1997,1997,1997,1997,1996,1996,1996,1996,1996
variable,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq,OFL,ABC,TAC,Itac,cdq
value,"75,863","62,567","25,000","22,325","2,675","82,810","68,134","19,500","17,414","2,087","80,918","66,625","14,500","12,949","1,552","79,862","66,773","14,500","12,949","1,552","81,654","68,278","14,500","12,949","1,552","79,562","66,250","21,000","18,753","2,247","79,419","66,130","24,250","21,655","2,595","79,633","66,293","24,500","21,879","2,622","81,500","67,900","22,699","20,270","2,429","84,500","70,400","34,134","30,482","3,652","83,300","69,300","41,548","37,102","4,446","83,100","69,200","60,000","53,580","6,420","83,800","71,400","60,000","53,580","6,420","86,000","71,700","50,000","44,650","5,350","95,300","79,200","30,000","25,500","2,250","71,800","59,800","19,500","16,575","1,463","70,200","58,500","19,500","16,575","1,463","75,200","61,900","19,000","16,150","1,425","81,000","66,000","20,000","17,000","1,500","101,000","82,600","25,000","21,250","1,875","102,000","84,000","40,000","34,000","3,000","90,000","73,500","52,652","44,755","3,948","118,000","77,300","77,300","65,705","5,797","190,000","132,000","100,000","85,000","7,500","145,000","101,000","43,500","36,975",n/a,"140,000","116,000","30,000","25,500",n/a
