"TONS","ZONE","GEAR","TYPE","YEAR","SPECIES_GROUP","GEAR1"
0.02,"AI","TRW","D",1992,"FSOL","TRW"
0.9,"BS","HAL","D",1992,"FSOL","LONGLINE"
2.58,"BS","TRW","D",1992,"FSOL","TRW"
0.04,"BS","TRW","R",1992,"FSOL","TRW"
0.41,"AI","HAL","D",1995,"FSOL","LONGLINE"
0.26,"AI","HAL","R",1995,"FSOL","LONGLINE"
14.75,"AI","TRW","D",1995,"FSOL","TRW"
0.56,"AI","TRW","R",1995,"FSOL","TRW"
244.69,"BS","HAL","D",1995,"FSOL","LONGLINE"
10.06,"BS","HAL","R",1995,"FSOL","LONGLINE"
0.08,"BS","POT","D",1995,"FSOL","POT"
1.71,"BS","POT","R",1995,"FSOL","POT"
6934.77,"BS","TRW","D",1995,"FSOL","TRW"
7507.49,"BS","TRW","R",1995,"FSOL","TRW"
0.87,"AI","HAL","D",1996,"FSOL","LONGLINE"
0.26,"AI","POT","D",1996,"FSOL","POT"
8.25,"AI","TRW","D",1996,"FSOL","TRW"
0.36,"AI","TRW","R",1996,"FSOL","TRW"
260.42,"BS","HAL","D",1996,"FSOL","LONGLINE"
11.12,"BS","HAL","R",1996,"FSOL","LONGLINE"
7.21,"BS","POT","D",1996,"FSOL","POT"
8953,"BS","TRW","R",1996,"FSOL","TRW"
8104.64,"BS","TRW","D",1996,"FSOL","TRW"
1.29,"AI","HAL","D",1997,"FSOL","LONGLINE"
0.27,"AI","HAL","R",1997,"FSOL","LONGLINE"
23.98,"AI","TRW","D",1997,"FSOL","TRW"
0.21,"AI","TRW","R",1997,"FSOL","TRW"
30.83,"BS","HAL","R",1997,"FSOL","LONGLINE"
310.57,"BS","HAL","D",1997,"FSOL","LONGLINE"
0.07,"BS","POT","D",1997,"FSOL","POT"
9487.17,"BS","TRW","D",1997,"FSOL","TRW"
10828.29,"BS","TRW","R",1997,"FSOL","TRW"
1.92,"AI","HAL","D",1998,"FSOL","LONGLINE"
17.01,"AI","TRW","D",1998,"FSOL","TRW"
0.13,"AI","TRW","R",1998,"FSOL","TRW"
377.56,"BS","HAL","D",1998,"FSOL","LONGLINE"
36.28,"BS","HAL","R",1998,"FSOL","LONGLINE"
0.02,"BS","POT","R",1998,"FSOL","POT"
0.39,"BS","POT","D",1998,"FSOL","POT"
17221.67,"BS","TRW","R",1998,"FSOL","TRW"
6732.45,"BS","TRW","D",1998,"FSOL","TRW"
0.61,"AI","HAL","D",1999,"FSOL","LONGLINE"
0,"AI","POT","D",1999,"FSOL","POT"
1.38,"AI","TRW","R",1999,"FSOL","TRW"
31.41,"AI","TRW","D",1999,"FSOL","TRW"
277.24,"BS","HAL","D",1999,"FSOL","LONGLINE"
13.66,"BS","HAL","R",1999,"FSOL","LONGLINE"
0.01,"BS","POT","R",1999,"FSOL","POT"
0.01,"BS","POT","D",1999,"FSOL","POT"
13752.64,"BS","TRW","R",1999,"FSOL","TRW"
4496.31,"BS","TRW","D",1999,"FSOL","TRW"
0.16,"AI","HAL","R",2000,"FSOL","LONGLINE"
5.13,"AI","HAL","D",2000,"FSOL","LONGLINE"
0,"AI","POT","D",2000,"FSOL","POT"
72.74,"AI","TRW","D",2000,"FSOL","TRW"
2.77,"AI","TRW","R",2000,"FSOL","TRW"
307.03,"BS","HAL","D",2000,"FSOL","LONGLINE"
13.96,"BS","HAL","R",2000,"FSOL","LONGLINE"
0.58,"BS","POT","R",2000,"FSOL","POT"
0.01,"BS","POT","D",2000,"FSOL","POT"
14941.88,"BS","TRW","R",2000,"FSOL","TRW"
5096.84,"BS","TRW","D",2000,"FSOL","TRW"
0.08,"AI","HAL","R",2001,"FSOL","LONGLINE"
7.48,"AI","HAL","D",2001,"FSOL","LONGLINE"
0,"AI","POT","D",2001,"FSOL","POT"
9.3,"AI","TRW","R",2001,"FSOL","TRW"
36.99,"AI","TRW","D",2001,"FSOL","TRW"
254.48,"BS","HAL","D",2001,"FSOL","LONGLINE"
13.67,"BS","HAL","R",2001,"FSOL","LONGLINE"
0.01,"BS","POT","D",2001,"FSOL","POT"
0.06,"BS","POT","R",2001,"FSOL","POT"
14413.52,"BS","TRW","R",2001,"FSOL","TRW"
3075.49,"BS","TRW","D",2001,"FSOL","TRW"
0.85,"AI","HAL","D",2002,"FSOL","LONGLINE"
0,"AI","POT","D",2002,"FSOL","POT"
103.67,"AI","TRW","D",2002,"FSOL","TRW"
6.48,"AI","TRW","R",2002,"FSOL","TRW"
16.94,"BS","HAL","R",2002,"FSOL","LONGLINE"
364.75,"BS","HAL","D",2002,"FSOL","LONGLINE"
0.06,"BS","POT","D",2002,"FSOL","POT"
0.61,"BS","POT","R",2002,"FSOL","POT"
11287.7,"BS","TRW","R",2002,"FSOL","TRW"
3793.72,"BS","TRW","D",2002,"FSOL","TRW"
0.542,"AI","HAL","R",2003,"FSOL","LONGLINE"
0.288,"AI","HAL","D",2003,"FSOL","LONGLINE"
0.001,"AI","POT","D",2003,"FSOL","POT"
6.336,"AI","TRW","R",2003,"FSOL","TRW"
40.865,"AI","TRW","D",2003,"FSOL","TRW"
343.749,"BS","HAL","D",2003,"FSOL","LONGLINE"
33.2,"BS","HAL","R",2003,"FSOL","LONGLINE"
0.185,"BS","POT","R",2003,"FSOL","POT"
0.262,"BS","POT","D",2003,"FSOL","POT"
3456.765,"BS","TRW","D",2003,"FSOL","TRW"
9902.729,"BS","TRW","R",2003,"FSOL","TRW"
0.26,"AI","HAL","D",2004,"FSOL","LONGLINE"
0.021,"AI","HAL","R",2004,"FSOL","LONGLINE"
3.751,"AI","TRW","R",2004,"FSOL","TRW"
33.509,"AI","TRW","D",2004,"FSOL","TRW"
571.864,"BS","HAL","D",2004,"FSOL","LONGLINE"
24.578,"BS","HAL","R",2004,"FSOL","LONGLINE"
0.244,"BS","POT","D",2004,"FSOL","POT"
0.559,"BS","POT","R",2004,"FSOL","POT"
11949.639,"BS","TRW","R",2004,"FSOL","TRW"
4813.669,"BS","TRW","D",2004,"FSOL","TRW"
0.245,"AI","HAL","D",2005,"FSOL","LONGLINE"
0.011,"AI","POT","D",2005,"FSOL","POT"
7.318,"AI","TRW","R",2005,"FSOL","TRW"
26.045,"AI","TRW","D",2005,"FSOL","TRW"
553.039,"BS","HAL","D",2005,"FSOL","LONGLINE"
70.24,"BS","HAL","R",2005,"FSOL","LONGLINE"
0.883,"BS","POT","D",2005,"FSOL","POT"
0.038,"BS","POT","R",2005,"FSOL","POT"
12144.296,"BS","TRW","R",2005,"FSOL","TRW"
3305.85,"BS","TRW","D",2005,"FSOL","TRW"
0.925,"AI","HAL","D",2006,"FSOL","LONGLINE"
0.005,"AI","HAL","R",2006,"FSOL","LONGLINE"
0.054,"AI","POT","D",2006,"FSOL","POT"
30.212,"AI","TRW","D",2006,"FSOL","TRW"
7.496,"AI","TRW","R",2006,"FSOL","TRW"
500.336,"BS","HAL","D",2006,"FSOL","LONGLINE"
41.867,"BS","HAL","R",2006,"FSOL","LONGLINE"
0.442,"BS","POT","R",2006,"FSOL","POT"
0.115,"BS","POT","D",2006,"FSOL","POT"
3848.761,"BS","TRW","D",2006,"FSOL","TRW"
13550.949,"BS","TRW","R",2006,"FSOL","TRW"
2.271,"AI","HAL","D",2007,"FSOL","LONGLINE"
0.012,"AI","HAL","R",2007,"FSOL","LONGLINE"
16.438,"AI","TRW","D",2007,"FSOL","TRW"
10.61,"AI","TRW","R",2007,"FSOL","TRW"
44.821,"BS","HAL","R",2007,"FSOL","LONGLINE"
307.695,"BS","HAL","D",2007,"FSOL","LONGLINE"
0.851,"BS","POT","R",2007,"FSOL","POT"
1.593,"BS","POT","D",2007,"FSOL","POT"
13663.577,"BS","TRW","R",2007,"FSOL","TRW"
4910.378,"BS","TRW","D",2007,"FSOL","TRW"
2.488,"AI","HAL","D",2008,"FSOL","LONGLINE"
8.854,"AI","TRW","D",2008,"FSOL","TRW"
6.989,"AI","TRW","R",2008,"FSOL","TRW"
11.792,"BS","HAL","R",2008,"FSOL","LONGLINE"
322.294,"BS","HAL","D",2008,"FSOL","LONGLINE"
0.865,"BS","POT","R",2008,"FSOL","POT"
0.528,"BS","POT","D",2008,"FSOL","POT"
22187.647,"BS","TRW","R",2008,"FSOL","TRW"
1998.334,"BS","TRW","D",2008,"FSOL","TRW"
3.296,"AI","HAL","D",2009,"FSOL","LONGLINE"
0.028,"AI","HAL","R",2009,"FSOL","LONGLINE"
10.068,"AI","TRW","D",2009,"FSOL","TRW"
9.187,"AI","TRW","R",2009,"FSOL","TRW"
1.614,"BS","HAL","R",2009,"FSOL","LONGLINE"
249.518,"BS","HAL","D",2009,"FSOL","LONGLINE"
0.204,"BS","POT","R",2009,"FSOL","POT"
0.056,"BS","POT","D",2009,"FSOL","POT"
17512.412,"BS","TRW","R",2009,"FSOL","TRW"
1771.549,"BS","TRW","D",2009,"FSOL","TRW"
2.6635478424,"AI","HAL","D",2010,"FSOL","LONGLINE"
0.0584615385,"AI","HAL","R",2010,"FSOL","LONGLINE"
13.9789874914,"AI","TRW","D",2010,"FSOL","TRW"
12.6807878121,"AI","TRW","R",2010,"FSOL","TRW"
14.2619004169,"BS","HAL","R",2010,"FSOL","LONGLINE"
261.5527800772,"BS","HAL","D",2010,"FSOL","LONGLINE"
0.0349266125,"BS","POT","R",2010,"FSOL","POT"
0.0564858352,"BS","POT","D",2010,"FSOL","POT"
18291.5720321243,"BS","TRW","R",2010,"FSOL","TRW"
1530.213940333,"BS","TRW","D",2010,"FSOL","TRW"
0.0710050238,"AI","HAL","D",2011,"FSOL","LONGLINE"
4.2536107247,"AI","TRW","D",2011,"FSOL","TRW"
