"metric","2020","2021","2022","2023","2024"
"Fabc",0.365915,0.365915,0.365915,0.365915,0.365915
"Fabc",0.365915,0.365915,0.365915,0.365915,0.365915
"Fabc",365.915,365.915,365.915,365.915,365.915
"Fabc",365.915,365.915,365.915,365.915,365.915
"Fabc",365.915,365.915,365.915,365.915,365.915
"Fabc",365.915,365.915,365.915,365.915,365.915
"Fabc",0.365915,0.365915,0.365915,0.365915,0.365915
"Fofl",0.453098,0.453098,0.453098,0.453098,0.453098
"Fofl",0.453098,0.453098,0.453098,0.453098,0.453098
"Fofl",0.453098,0.453098,0.453098,0.453098,0.453098
"Fofl",0.453098,0.453098,0.453098,0.453098,0.453098
"Fofl",0.453098,0.453098,0.453098,0.453098,0.453098
"Fofl",0.453098,0.453098,0.453098,0.453098,0.453098
"Fofl",0.453098,0.453098,0.453098,0.453098,0.453098
"SSBF100",211179,211179,211179,211179,211179
"SSBF100",211179,211179,211179,211179,211179
"SSBF100",211179,211179,211179,211179,211179
"SSBF100",211179,211179,211179,211179,211179
"SSBF100",211179,211179,211179,211179,211179
"SSBF100",211179,211179,211179,211179,211179
"SSBF100",211179,211179,211179,211179,211179
"SSBFabc",84471.7,84471.7,84471.7,84471.7,84471.7
"SSBFabc",84471.7,84471.7,84471.7,84471.7,84471.7
"SSBFabc",84471.7,84471.7,84471.7,84471.7,84471.7
"SSBFabc",84471.7,84471.7,84471.7,84471.7,84471.7
"SSBFabc",84471.7,84471.7,84471.7,84471.7,84471.7
"SSBFabc",84471.7,84471.7,84471.7,84471.7,84471.7
"SSBFabc",84471.7,84471.7,84471.7,84471.7,84471.7
"SSBFofl",73912.7,73912.7,73912.7,73912.7,73912.7
"SSBFofl",73912.7,73912.7,73912.7,73912.7,73912.7
"SSBFofl",73912.7,73912.7,73912.7,73912.7,73912.7
"SSBFofl",73912.7,73912.7,73912.7,73912.7,73912.7
"SSBFofl",73912.7,73912.7,73912.7,73912.7,73912.7
"SSBFofl",73912.7,73912.7,73912.7,73912.7,73912.7
"SSBFofl",73912.7,73912.7,73912.7,73912.7,73912.7
"SSBMean",148075,153867,166357,181359,199117
"SSBMean",148075,153867,166357,181359,199117
"SSBMean",148075,153867,166357,181359,199117
"SSBMean",148075,153867,166357,181359,199117
"SSBMean",148075,153867,166357,181359,199117
"SSBMean",148075,153867,132145,120887,117110
"SSBMean",148075,153867,137982,130115,123715
"Catch",NA,0,0,0,0
"ABC",NA,65156600,70668300,76690100,82371300
"OFL",NA,79048800,85772500,93095900,99969300
"SSB",NA,153867000,166357000,181359000,199117000
"TotBiom",NA,699511000,722434000,735033000,739031000
