"Area","Bio_Pattern","Sex","BirthSeas","Settlement","Platoon","Morph","Yr","Seas","Time","Beg/Mid","Era","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
1,1,1,1,1,1,1,1962,1,1962,"B","VIRG",488912,400288,327728,268321,219682,179861,147258,120564,98709.7,80816.7,66167.1,54173,44353.1,36313.3,29730.8,24341.5,19929.1,16316.6,13358.9,10937.3,8954.74,40445.5
1,1,1,1,1,1,1,1962,1,1962.5,"M","VIRG",442386,362195,296540,242787,198777,162745,133244,109091,89316.2,73126,59870.5,49017.8,40132.4,32857.6,26901.5,22025.1,18032.6,14763.9,12087.6,9896.52,8102.59,36596.6
1,1,1,1,1,1,1,1963,1,1963,"B","INIT",488912,400279,327694,268215,219273,178417,144184,115939,92989.9,74499.2,59655.9,47759.4,38231.3,30602.4,24495.2,19606.4,15693.2,12560.9,10053.8,8047.1,6440.9,25827.8
1,1,1,1,1,1,1,1963,1,1963.5,"M","INIT",442381,362172,296467,242512,197793,160389,129292,103832,83232.7,66665.7,53377.2,42730.6,34204.8,27379,21914.9,17541,14040,11237.7,8994.68,7199.35,5762.36,23106.8
1,1,1,1,1,1,1,1964,1,1964,"B","TIME",197518,171755,327694,268215,219273,178417,144184,115939,92989.9,74499.2,59655.9,47759.4,38231.3,30602.4,24495.2,19606.4,15693.2,12560.9,10053.8,8047.1,6440.9,25827.8
1,1,1,1,1,1,1,1964,1,1964.5,"M","TIME",178720,155403,296464,242502,197758,160330,129226,103772,83181.6,66623.8,53343.4,42703.3,34183,27361.5,21900.9,17529.8,14031,11230.5,8988.92,7194.74,5758.67,23092
1,1,1,1,1,1,1,1965,1,1965,"B","TIME",187689,161710,140609,268211,219254,178354,144077,115821,92881.8,74407.7,59581,47698.8,38182.6,30563.3,24463.9,19581.3,15673.1,12544.9,10041,8036.8,6432.66,25794.7
1,1,1,1,1,1,1,1965,1,1965.5,"M","TIME",169827,146320,127223,242634,198209,161073,130022,104482,83775.1,67107.6,53733.7,43017,34434.5,27563.1,22062.3,17659.1,14134.5,11313.3,9055.24,7247.83,5801.16,23262.5
1,1,1,1,1,1,1,1966,1,1966,"B","TIME",181124,153666,132394,115111,219497,179184,145465,117337,94254.1,75561.4,60523.6,48460.3,38794.7,31054.4,24857.4,19896.5,15925.5,12746.9,10202.7,8166.29,6536.31,26210.4
1,1,1,1,1,1,1,1966,1,1966.5,"M","TIME",163887,139040,119788,104124,198346,161680,131115,105704,84888.6,68046.2,54501.4,43637.4,34933.4,27963.3,22383.1,17916,14340.2,11478.1,9187.1,7353.38,5885.65,23601.3
1,1,1,1,1,1,1,1967,1,1967,"B","TIME",179626,148290,125806,108382,94185.4,179232,145885,118180,95223.6,76453.8,61278.4,49078.4,39294.6,31456.4,25179.9,20155,16132.6,12912.8,10335.5,8272.57,6621.38,26551.6
1,1,1,1,1,1,1,1967,1,1967.5,"M","TIME",162531,134173,113819,97999.1,84971.8,161174,130876,105893,85277.3,68452,54859.1,43935,35175.6,28158.7,22540,18041.9,14441.1,11558.9,9251.79,7405.17,5927.12,23767.6
1,1,1,1,1,1,1,1968,1,1968,"B","TIME",186037,147062,121400,102973,88611.2,76659.6,144935,117411,94883.2,76370,61287.7,49112.3,39330.6,31488.4,25206.7,20176.9,16150.3,12927,10346.9,8281.73,6628.73,26581.2
1,1,1,1,1,1,1,1968,1,1968.5,"M","TIME",168331,133061,109830,93098.3,79905.7,68868.4,129848,105041,84833.9,68262.9,54775.1,43890.9,35148.2,28139.4,22525.6,18030.7,14432.3,11551.9,9246.27,7400.76,5923.59,23753.5
1,1,1,1,1,1,1,1969,1,1969,"B","TIME",201467,152311,120394,99362.3,84170.5,72055.4,61869,116331,93974.6,75848.9,61016.5,48954.5,39224.7,31410.5,25146.7,20129.7,16112.8,12897.2,10323.1,8262.7,6613.51,26520.2
1,1,1,1,1,1,1,1969,1,1969.5,"M","TIME",182293,137812,108923,89848.4,75953.2,64825.4,55538.9,104311,84223.2,67963.6,54667.8,43858.8,35140.9,28139.9,22528.2,18033.6,14434.9,11554.1,9248.08,7402.24,5924.79,23758.4
