year,nbs_total,nbs_total_cv,biomass_flathead_sole,cv_flathead_sole,biomass_Bering_flounder,cv_Bering_flounder
2010,"12,355",0.17,,,"12,355",0.17
2017,"19,882",0.21,79,0.65,"19,803",0.21
2019,"18,989",0.18,463,0.33,"18,526",0.19
2021,"8,522",0.21,138,0.78,"8,384",0.22
