"","X2023","X2024","2024","2025"
"M","     0.2","     0.2","    0.2","    0.2"
"Tier","      3a","      3a","     3a","     3a"
"Projected total (3+) biomass (t)"," 606,522"," 606,080","609,488","608,230"
"Projected Female spawning biomass (t)"," 158,962"," 164,594","165,629","169,452"
"B100%"," 203,658"," 203,658","203,658","203,658"
"B40%","81,463.2","81,463.2"," 81,463"," 81,463"
"B35%","71,280.3","71,280.3"," 71,280"," 71,280"
"FOFL","0.455889","0.455889","   0.46","   0.46"
"maxFABC","0.368177","0.368177","   0.37","   0.37"
"FABC","0.368177","0.368177","   0.37","   0.37"
"OFL (t)","79,256.1","81,167.4"," 81,605"," 82,699"
"maxABC (t)","65,343.9","66,926.9"," 67,289"," 68,203"
"ABC (t)","65,343.9","66,926.9"," 67,289"," 68,203"
"Overfishing","      no","      NA","     no","     NA"
"Overfished","      NA","      no","     NA","     no"
"Approaching Overfished","      NA","      no","     NA","     no"
