"Area","Bio_Pattern","Sex","BirthSeas","Settlement","Platoon","Morph","Yr","Seas","Time","Beg/Mid","Era","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
1,1,1,1,1,1,1,1962,1,1962,"B","VIRG",491023,402016,329143,269479,220631,180637,147893,121085,99135.9,81165.6,66452.8,54406.9,44544.6,36470.1,29859.2,24446.6,20015.2,16387.1,13416.6,10984.6,8993.41,40620.1
1,1,1,1,1,1,1,1962,1,1962.5,"M","VIRG",444296,363759,297821,243835,199635,163448,133819,109562,89701.9,73441.7,60129,49229.4,40305.7,32999.5,27017.7,22120.2,18110.5,14827.6,12139.8,9939.25,8137.57,36754.6
1,1,1,1,1,1,1,1963,1,1963,"B","INIT",491023,402007,329111,269383,220261,179277,144916,116541,93473.7,74883.5,59959.3,47998.3,38418.9,30749.6,24610.5,19696.7,15763.9,12616.2,10097,8080.79,6467.18,25919.4
1,1,1,1,1,1,1,1963,1,1963.5,"M","INIT",444291,363737,297753,243587,198715,161184,129957,104372,83663.8,67007.2,53646.5,42942.3,34371,27509.3,22017,17620.9,14102.5,11286.5,9032.81,7229.1,5785.56,23187.5
1,1,1,1,1,1,1,1964,1,1964,"B","TIME",185839,162361,329111,269383,220261,179277,144916,116541,93473.7,74883.5,59959.3,47998.3,38418.9,30749.6,24610.5,19696.7,15763.9,12616.2,10097,8080.79,6467.18,25919.4
1,1,1,1,1,1,1,1964,1,1964.5,"M","TIME",168152,146905,297751,243578,198682,161126,129891,104311,83612.4,66965,53612.4,42914.9,34349,27491.7,22002.8,17609.6,14093.4,11279.3,9027,7224.46,5781.84,23172.6
1,1,1,1,1,1,1,1965,1,1965,"B","TIME",176479,152149,132920,269379,220245,179218,144812,116423,93365.1,74791.4,59883.9,47937.2,38369.8,30710.2,24578.9,19671.4,15743.6,12600,10084,8070.4,6458.87,25886
1,1,1,1,1,1,1,1965,1,1965.5,"M","TIME",159684,137668,120266,243697,199113,161859,130686,105026,84210.6,67452.9,54006.2,43231.4,34602.9,27695.2,22165.8,17740.1,14197.9,11362.9,9093.92,7278.02,5824.71,23344.4
1,1,1,1,1,1,1,1966,1,1966,"B","TIME",169921,144488,124566,108817,220463,180010,146181,117939,94744.5,75953.7,60834.5,48705.5,38987.6,31205.8,24976.1,19989.6,15998.3,12803.9,10247.2,8201.05,6563.44,26305.2
1,1,1,1,1,1,1,1966,1,1966.5,"M","TIME",153750,130736,112706,98434,199232,162434,131763,106246,85329.6,68398.5,54780.4,43857.4,35106.4,28099.1,22489.5,17999.4,14405.5,11529.1,9226.98,7384.52,5909.95,23686.1
1,1,1,1,1,1,1,1967,1,1967,"B","TIME",167730,139118,118293,101975,89041.5,180046,146574,118767,95712.7,76850.3,61594.8,49328.9,39491.9,31611.5,25301.7,20250.5,16207.3,12971.2,10381.2,8308.3,6649.28,26649.3
1,1,1,1,1,1,1,1967,1,1967.5,"M","TIME",151767,125875,107023,92212.6,80343.2,161926,131501,106420,85713.8,68804.9,55140.3,44157.3,35350.7,28296.3,22648,18126.5,14507.3,11610.7,9292.29,7436.8,5951.8,23853.9
1,1,1,1,1,1,1,1968,1,1968,"B","TIME",171919,137323,113892,96826.1,83385,72494.6,145629,117978,95355.8,76759.4,61601.8,49362.2,39528,31643.8,25328.7,20272.6,16225.2,12985.6,10392.8,8317.58,6656.72,26679.2
1,1,1,1,1,1,1,1968,1,1968.5,"M","TIME",155557,124250,103039,87548.1,75205.7,65135.5,130476,105548,85253.4,68607.6,55052.5,44111.4,35322.2,28276.4,22633.1,18115,14498.3,11603.5,9286.61,7432.28,5948.19,23839.5
1,1,1,1,1,1,1,1969,1,1969,"B","TIME",183110,140752,112421,93220.5,79159.1,67828.7,58523.4,116900,94427.6,76221.3,61321.4,49199.5,39419.2,31563.9,25267.3,20224.4,16187,12955.2,10368.5,8298.17,6641.2,26617.1
1,1,1,1,1,1,1,1969,1,1969.5,"M","TIME",165683,127354,101711,84300.2,71440.3,61028.5,52536.7,104818,84624.5,68292.7,54937,44075,35312.4,28275.1,22634.4,18116.9,14500.2,11605.1,9287.98,7433.4,5949.1,23843.2
1,1,1,1,1,1,1,1970,1,1970,"B","TIME",194480,149915,115231,92021.7,76233.4,64474.1,54910,47162.3,93985.8,75839.2,61188.8,49217.2,39484.2,31633.5,25329,20275.9,16229,12989.1,10395.8,8320.06,6658.75,26687.5
1,1,1,1,1,1,1,1970,1,1970.5,"M","TIME",175969,135638,104237,83150,68557,57566.1,48764.6,41768.5,83134.1,67046.3,54081.2,43495.2,34891.6,27953.2,22381.7,17916.4,14340.3,11477.5,9185.87,7351.72,5883.75,23581.4
