"metric","2016","2017","2018","2019","2020"
"Fabc",0.358454,0.358454,0.358454,0.358454,0.358454
"Fabc",0.358454,0.358454,0.358454,0.358454,0.358454
"Fabc",358.454,358.454,358.454,358.454,358.454
"Fabc",358.454,358.454,358.454,358.454,358.454
"Fabc",358.454,358.454,358.454,358.454,358.454
"Fabc",358.454,358.454,358.454,358.454,358.454
"Fabc",0.358454,0.358454,0.358454,0.358454,0.358454
"Fofl",0.443921,0.443921,0.443921,0.443921,0.443921
"Fofl",0.443921,0.443921,0.443921,0.443921,0.443921
"Fofl",0.443921,0.443921,0.443921,0.443921,0.443921
"Fofl",0.443921,0.443921,0.443921,0.443921,0.443921
"Fofl",0.443921,0.443921,0.443921,0.443921,0.443921
"Fofl",0.443921,0.443921,0.443921,0.443921,0.443921
"Fofl",0.443921,0.443921,0.443921,0.443921,0.443921
"SSBF100",196989,196989,196989,196989,196989
"SSBF100",196989,196989,196989,196989,196989
"SSBF100",196989,196989,196989,196989,196989
"SSBF100",196989,196989,196989,196989,196989
"SSBF100",196989,196989,196989,196989,196989
"SSBF100",196989,196989,196989,196989,196989
"SSBF100",196989,196989,196989,196989,196989
"SSBFabc",78795.7,78795.7,78795.7,78795.7,78795.7
"SSBFabc",78795.7,78795.7,78795.7,78795.7,78795.7
"SSBFabc",78795.7,78795.7,78795.7,78795.7,78795.7
"SSBFabc",78795.7,78795.7,78795.7,78795.7,78795.7
"SSBFabc",78795.7,78795.7,78795.7,78795.7,78795.7
"SSBFabc",78795.7,78795.7,78795.7,78795.7,78795.7
"SSBFabc",78795.7,78795.7,78795.7,78795.7,78795.7
"SSBFofl",68946.2,68946.2,68946.2,68946.2,68946.2
"SSBFofl",68946.2,68946.2,68946.2,68946.2,68946.2
"SSBFofl",68946.2,68946.2,68946.2,68946.2,68946.2
"SSBFofl",68946.2,68946.2,68946.2,68946.2,68946.2
"SSBFofl",68946.2,68946.2,68946.2,68946.2,68946.2
"SSBFofl",68946.2,68946.2,68946.2,68946.2,68946.2
"SSBFofl",68946.2,68946.2,68946.2,68946.2,68946.2
"SSBMean",152626,146814,142160,138431,135320
"SSBMean",152626,146814,142160,138431,135320
"SSBMean",152626,146814,142160,138431,135320
"SSBMean",152626,146814,142160,138431,135320
"SSBMean",152626,146814,142160,138431,135320
"SSBMean",152626,146814,112877,91635.9,80209.9
"SSBMean",152626,146814,118607,100040,85847
"Catch",NA,9110900,11006600,15858100,8555530
"ABC",NA,58085700,57274700,56792900,56045300
"OFL",NA,70312600,69349900,68797800,67925800
"SSB",NA,146814000,142160000,138431000,135320000
"TotBiom",NA,511047000,516650000,519956000,517930000
