Stock Year Catch ABC OFL SSB TotBiom
Model_Proj.dat 2021 11.519 62.5672 75.8626 150.433 602.497
Model_Proj.dat 2022 11.519 64.1188 77.763 154.906 608.576
Model_Proj.dat 2023 65.7753 65.7753 79.7772 160.138 612.343
Model_Proj.dat 2024 58.6292 58.6292 71.1496 141.369 566.065
Model_Proj.dat 2025 53.0164 53.0164 64.3682 126.904 530.018
Model_Proj.dat 2026 48.65 48.65 59.0886 115.617 502.518
Model_Proj.dat 2027 45.2119 45.2119 54.9314 106.673 481.727
Model_Proj.dat 2028 42.5424 42.5424 51.705 99.6795 466.252
Model_Proj.dat 2029 40.4574 40.4574 49.1873 94.3787 455.436
Model_Proj.dat 2030 38.578 38.578 46.9233 90.5094 447.675
Model_Proj.dat 2031 37.1591 37.1591 45.2154 87.8706 442.486
Model_Proj.dat 2032 36.2643 36.2643 44.1384 86.184 438.683
Model_Proj.dat 2033 35.6977 35.6977 43.4575 85.0993 436.013
