"year","non_pelagic_trawl","pelagic_trawl","pair_trawl","shrimp_trawl","pot","longline"
1992,0.520928844041507,0.453100740042712,5.31254781964213e-06,0.000130713944129283,5.15462428160283e-07,0.0258338739614037
1993,0.846472792719645,0.136626315616254,0,0,4.97907350477514e-08,0.016900841873366
1994,0.88717906263909,0.0944391263399183,7.49062299119601e-06,0,2.22798017174035e-07,0.0183740975999838
1995,0.845520790396292,0.133029593913529,0,0,4.1098332860033e-06,0.0214455058568928
1996,0.794183304684607,0.185363315060103,0,0,2.57070339233717e-06,0.0204508095518981
1997,0.812587091382403,0.159906883484471,8.45264642931965e-05,5.08164438609221e-05,4.85893461221731e-06,0.0273658232903589
1998,0.857659733946072,0.117897401461352,0,0,8.62325456276914e-07,0.0244420022671191
1999,0.762435681123509,0.213927198505282,0,0,4.70305191662208e-06,0.0236324173192927
2000,0.773061686916459,0.20548558179334,0,0,1.36529489501424e-06,0.0214513659953055
2001,0.744356737837971,0.233884804332761,0,0,5.02113679248359e-06,0.0217534366924758
2002,0.727270447317402,0.23787103046463,0,0,6.2336405399261e-05,0.0347961858125688
2003,0.747930153446435,0.209742189517817,0,0,2.24007326714677e-05,0.0423052563030769
2004,0.755535647664284,0.202012784615362,0,0,7.65397579540475e-06,0.0424439137445588
2005,0.739017726269697,0.215434027458153,2.38011279948461e-05,0,2.0071292270647e-05,0.0455043738518842
2006,0.726551703128738,0.238822704647713,0,0,2.0741592928316e-05,0.0346048506306205
2007,0.667728588428394,0.310122597803224,0,0,1.42830897142502e-06,0.0221473854594102
2008,0.832381272081111,0.157474691010589,0,0,6.81497701915986e-06,0.0101372219312806
2009,0.80038875133383,0.190216495750076,0,0,1.46913994088932e-06,0.00939328377615288
2010,0.785297791184642,0.195146525524458,0.00995820084006618,0,1.01365375396232e-06,0.00959646879708047
2011,0.631724058862632,0.35107515098339,0,0,1.05560079222412e-06,0.0171997345531857
2012,0.644043472857795,0.33864777496285,0,0,2.00955337903427e-06,0.0173067426259758
2013,0.817203129413401,0.168621377095165,0,0,1.90831604117477e-06,0.014173585175393
2014,0.834522495175846,0.143218795444919,0,0,7.38458931456434e-07,0.0222579709203035
2015,0.775670391134045,0.19847944930822,0,0,2.30974655768882e-06,0.0258478498111771
2016,0.826022821619273,0.146875146420163,0,0,1.85149486258479e-05,0.027083517011938
2017,0.86167198827051,0.102406896891208,0,0,2.67743182232263e-05,0.0358943405200587
2018,0.893891514878094,0.0847145717895643,0,0,1.8280011869883e-06,0.0213920853311549
2019,0.919460119993477,0.0638834487123848,0,0,3.79014035771007e-06,0.0166526411537802
2020,0.75803171886291,0.207835157272848,0,0,1.71590150254748e-06,0.0341314079627395
