Year,Species_Halibut_Mortality_Tons,Prop_Halibut_Mortality
2010,182.4825528,0.054027387
2011,69.06180082,0.021798848
2012,85.73029366,0.022956259
2013,130.7299473,0.036141378
2014,119.5493367,0.034300695
2015,46.75048118,0.020128408
2016,58.29267017,0.024733665
2017,63.70831417,0.032373032
2018,128.6340865,0.061702284
2019,185.5413967,0.078745259
2020,38.85604595,0.025196681
