"year","total","retained","discard","proportion_retained"
1995,14714.78,7520.08,7194.7,0.511056230538275
1996,17346.13,8964.48,8381.65,0.516800000922396
1997,20682.68,10859.6,9823.08,0.525057681112893
1998,24387.43,17258.1,7129.33,0.707663743166049
1999,18573.27,13767.69,4805.58,0.741263654703776
2000,20441.1,14959.35,5481.75,0.731827054317038
2001,17811.08,14436.63,3374.45,0.810542089530786
2002,15574.78,11311.73,4263.05,0.726285058280117
2003,13784.922,9942.992,3841.93,0.721294759593126
2004,17398.094,11978.548,5419.546,0.688497717048776
2005,16107.965,12221.892,3886.073,0.758748358343217
2006,17981.162,13600.759,4380.403,0.756389325673168
2007,18958.246,13719.871,5238.375,0.723688837036928
2008,24539.791,22207.293,2332.498,0.904950372234222
2009,19557.932,17523.445,2034.487,0.895976374189255
2010,20127.0738500835,18318.6081085043,1808.4657415792,0.91014760739442
2011,13558.0183966546,11741.8619149053,1816.1564817493,0.866045580658201
2012,11367.536985506,9623.4292940927,1744.1076914133,0.846571188320117
2013,17354.7858231035,15796.7060547375,1558.079768366,0.91022189589388
2014,16512.2671228752,15130.2780378095,1381.9890850657,0.916305309574894
2015,11307.5318885886,10079.7855686492,1227.7463199394,0.891422254472842
2016,10312.9333334661,9022.3854847977,1290.5478486684,0.874861224547967
2017,9110.9000353513,8113.2833782561,997.6166570952,0.890502952153537
2018,11006.6499416214,10216.9212830998,789.7286585216,0.928249861428293
2019,15858.0958303089,14885.7934321707,972.3023981382,0.938687317283083
2020,8555.5262333299,7567.3023893054,988.2238440245,0.884492921057894
