"year","flathead_sole","Bering_flounder","prop_bf","prop_fs","catch"
1992,7882.10228,33.12059,0.00418441660379931,0.995815583396201,3.54
1995,8411.44141,2.52519,0.000300118852385271,0.999699881147615,14714.78
1996,9302.29296,2.55336,0.000274411840044232,0.999725588159956,17346.13
1997,9682.8464,2.40433,0.000248246541780545,0.999751753458219,20682.68
1998,12219.4838,3.27957,0.000268316574633973,0.999731683425366,24387.43
1999,9092.61098,9.98894,0.00109737218902179,0.998902627810978,18573.27
2000,10566.74157,17.05249,0.00161118875738971,0.99838881124261,20441.1
2001,8426.58786,7.75714,0.000919708643646899,0.999080291356353,17811.08
2002,7397.6331,12.00172,0.00161974514150213,0.998380254858498,15574.78
2003,7548.05721,9.7313,0.00128758564587037,0.99871241435413,13784.922
2004,9341.65677,12.95865,0.00138526806482014,0.99861473193518,17398.094
2005,9320.39268,17.8202,0.00190830946231331,0.998091690537687,16107.965
2006,10242.29636,3.30053,0.00032214130962164,0.999677858690378,17981.162
2007,11296.56502,3.51103,0.000310708528373134,0.999689291471627,18958.246
2008,23751.52618,13.77773,0.000579741376427447,0.999420258623573,24539.791
2009,18311.00255,26.25672,0.0014318781020322,0.998568121897968,19557.932
2010,19715.37888,25.08962,0.00127097388798042,0.99872902611202,20127.0738500835
2011,13327.98719,19.86183,0.00148801728055507,0.998511982719445,13558.0183966546
2012,11126.2249,5.60182,0.000503225583806069,0.999496774416194,11367.536985506
2013,17030.23134,79.094,0.00462285907995949,0.99537714092004,17354.7858231035
2014,16163.42431,32.4662,0.00200459492980358,0.997995405070196,16512.2671228752
2015,11037.76645,32.71222,0.00295490565269298,0.997045094347307,11307.5318885886
2016,9625.73423,11.34355,0.0011770736170192,0.998822926382981,10312.9333334661
2017,8866.85006,3.21707,0.000362688348673185,0.999637311651327,9110.9000353513
2018,10749.8652,5.05123,0.000469667061838806,0.999530332938161,11006.6499416214
2019,15465.86399,0.5817,3.76104511443185e-05,0.999962389548856,15858.0958303089
2020,5616.74546,1.29263,0.000230085659671987,0.999769914340328,8555.5262333299
