"","type","Yr","Value","StDev"
"1","Early_InitAge",1963,-0.662424,0.386047
"2","Early_RecrDev",1964,-0.716349,0.379495
"3","Early_RecrDev",1965,-0.759549,0.374255
"4","Early_RecrDev",1966,-0.790641,0.370053
"5","Early_RecrDev",1967,-0.799191,0.366881
"6","Early_RecrDev",1968,-0.776982,0.364528
"7","Early_RecrDev",1969,-0.72782,0.362216
"8","Early_RecrDev",1970,-0.678649,0.358822
"9","Early_RecrDev",1971,-0.665308,0.353997
"10","Early_RecrDev",1972,-0.664773,0.349923
"11","Main_RecrDev",1973,-0.773322,0.361084
"12","Main_RecrDev",1974,-0.6114,0.361461
"13","Main_RecrDev",1975,-0.416648,0.350912
"14","Main_RecrDev",1976,-0.396526,0.346246
"15","Main_RecrDev",1977,-0.501093,0.359909
"16","Main_RecrDev",1978,-0.135589,0.295685
"17","Main_RecrDev",1979,0.145477,0.277096
"18","Main_RecrDev",1980,0.284521,0.305366
"19","Main_RecrDev",1981,0.900377,0.191308
"20","Main_RecrDev",1982,0.0616091,0.299632
"21","Main_RecrDev",1983,-0.267842,0.388425
"22","Main_RecrDev",1984,0.388394,0.339371
"23","Main_RecrDev",1985,0.839692,0.255743
"24","Main_RecrDev",1986,0.00431437,0.453147
"25","Main_RecrDev",1987,0.968556,0.179723
"26","Main_RecrDev",1988,-0.455358,0.390483
"27","Main_RecrDev",1989,0.151977,0.280168
"28","Main_RecrDev",1990,0.276161,0.272775
"29","Main_RecrDev",1991,0.124891,0.283718
"30","Main_RecrDev",1992,0.0966723,0.289201
"31","Main_RecrDev",1993,-0.134153,0.3397
"32","Main_RecrDev",1994,-0.164794,0.32689
"33","Main_RecrDev",1995,-0.270565,0.338139
"34","Main_RecrDev",1996,0.284847,0.234812
"35","Main_RecrDev",1997,0.240916,0.254252
"36","Main_RecrDev",1998,0.147009,0.249799
"37","Main_RecrDev",1999,-0.186329,0.273218
"38","Main_RecrDev",2000,-0.137552,0.269611
"39","Main_RecrDev",2001,0.192257,0.229467
"40","Main_RecrDev",2002,0.411195,0.191943
"41","Main_RecrDev",2003,0.34557,0.17276
"42","Main_RecrDev",2004,-0.993539,0.320162
"43","Main_RecrDev",2005,-0.0946406,0.197828
"44","Main_RecrDev",2006,-0.199258,0.217954
"45","Main_RecrDev",2007,-0.481576,0.247168
"46","Main_RecrDev",2008,-0.159793,0.211293
"47","Main_RecrDev",2009,-0.219496,0.220455
"48","Main_RecrDev",2010,-0.605458,0.289348
"49","Main_RecrDev",2011,0.712877,0.1498
"50","Main_RecrDev",2012,-0.266895,0.329252
"51","Main_RecrDev",2013,0.386673,0.255919
"52","Main_RecrDev",2014,0.50784,0.296648
"53","Late_RecrDev",2015,0,NA
"54","Late_RecrDev",2016,0,NA
"55","Late_RecrDev",2017,0,NA
"56","Late_RecrDev",2018,0,NA
"57","ForeRecr",2019,0,NA
