"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"3098",360507,313579,186253,202402,184135,61398,191797,167352,109410,63604,48578,53924,46775,38378,17220,14919,11958,11679,9292,8343,5678,23000
"3100",244865,295158,256736,152490,165706,150727,50230,156641,136159,88449,50983,38573,42425,36497,29735,13264,11438,9134,8894,7059,6326,21664
"3102",914414,200478,241654,210196,124843,135641,123305,41019,127414,110020,70841,40436,30302,33042,28218,22852,10144,8714,6936,6738,5337,21080
"3104",357226,748659,164137,197848,172089,102199,110993,100778,33436,103395,88750,56768,32194,23986,26026,22136,17867,7911,6781,5389,5227,20442
"3106",714649,292472,612949,134384,161981,140878,83635,90741,82207,27172,83606,71367,45403,25624,19012,20558,17438,14044,6207,5313,4218,20046
"3108",806706,585105,239455,501836,110020,132595,115260,68320,73869,66534,21822,66571,56351,35580,19952,14726,15856,13403,10765,4748,4057,18461
"3110",485471,660474,479042,196047,410854,90061,108484,94158,55623,59799,53454,17385,52600,44197,27732,15470,11370,12202,10287,8245,3630,17157
"3112",485471,397470,540749,392204,160506,336337,73700,88681,76786,45179,48312,42930,13882,41782,34952,21851,12154,8912,9546,8035,6432,16179
"3114",485471,397470,325420,442726,321102,131396,275244,60252,72338,62401,36532,38849,34335,11048,33117,27609,17213,9553,6992,7479,6289,17659
"3116",485471,397470,325420,266430,362466,262869,107534,225057,49168,58832,50524,29433,31148,27409,8787,26259,21838,13588,7529,5504,5881,18796
