"","year","sex","length","age","v2018","v2020","diff","missing"
"44",1982,1,34,10,1,NA,0,"v2020"
"45",1982,1,34,11,3,1,-2,"no"
"46",1982,1,34,12,2,2,0,"no"
"47",1982,1,34,13,1,1,0,"no"
"48",1982,1,34,15,2,NA,0,"v2020"
"49",1982,1,34,17,1,NA,0,"v2020"
"50",1982,1,36,9,2,2,0,"no"
"51",1982,1,36,10,2,2,0,"no"
"52",1982,1,36,11,4,4,0,"no"
"53",1982,1,36,12,3,3,0,"no"
"54",1982,1,36,13,3,3,0,"no"
"55",1982,1,36,15,1,1,0,"no"
"56",1982,1,38,10,1,1,0,"no"
"57",1982,1,38,12,2,2,0,"no"
"58",1982,1,38,13,1,1,0,"no"
"59",1982,1,38,14,1,1,0,"no"
"60",1982,1,38,15,2,1,-1,"no"
"61",1982,1,40,10,1,1,0,"no"
"62",1982,1,40,13,2,2,0,"no"
"63",1982,1,40,14,1,1,0,"no"
"64",1982,1,40,15,2,2,0,"no"
"65",1982,1,42,12,1,1,0,"no"
"66",1982,1,42,13,1,1,0,"no"
"67",1982,1,42,14,1,1,0,"no"
"68",1985,1,12,2,3,3,0,"no"
"69",1985,1,12,3,10,4,-6,"no"
"70",1985,1,12,4,1,1,0,"no"
"71",1985,1,12,5,1,NA,0,"v2020"
"72",1985,1,14,2,2,2,0,"no"
"73",1985,1,14,3,18,14,-4,"no"
"74",1985,1,14,4,5,1,-4,"no"
"75",1985,1,14,5,2,1,-1,"no"
"76",1985,1,16,3,8,7,-1,"no"
"77",1985,1,16,4,12,7,-5,"no"
"78",1985,1,16,5,6,4,-2,"no"
"79",1985,1,16,6,1,NA,0,"v2020"
"80",1985,1,18,2,1,1,0,"no"
"81",1985,1,18,3,6,6,0,"no"
"82",1985,1,18,4,14,11,-3,"no"
"83",1985,1,18,5,7,3,-4,"no"
"84",1985,1,18,7,1,NA,0,"v2020"
"85",1985,1,20,3,2,2,0,"no"
"86",1985,1,20,4,13,13,0,"no"
"87",1985,1,20,5,5,5,0,"no"
"88",1985,1,20,6,5,NA,0,"v2020"
"89",1985,1,20,7,1,NA,0,"v2020"
"90",1985,1,22,3,2,2,0,"no"
"91",1985,1,22,4,9,9,0,"no"
"92",1985,1,22,5,5,5,0,"no"
"93",1985,1,22,6,7,2,-5,"no"
"94",1985,1,22,7,1,1,0,"no"
"95",1985,1,22,9,1,NA,0,"v2020"
"96",1985,1,24,4,5,5,0,"no"
"97",1985,1,24,5,8,8,0,"no"
"98",1985,1,24,6,8,3,-5,"no"
"99",1985,1,24,7,2,2,0,"no"
"100",1985,1,24,8,3,1,-2,"no"
"101",1985,1,24,9,2,1,-1,"no"
"102",1985,1,26,4,1,1,0,"no"
"103",1985,1,26,5,5,5,0,"no"
"104",1985,1,26,6,4,3,-1,"no"
"105",1985,1,26,7,6,3,-3,"no"
"106",1985,1,26,8,2,1,-1,"no"
"107",1985,1,26,9,2,1,-1,"no"
"108",1985,1,26,10,2,1,-1,"no"
"109",1985,1,26,11,1,1,0,"no"
"110",1985,1,28,5,2,2,0,"no"
"111",1985,1,28,6,7,7,0,"no"
"112",1985,1,28,7,6,5,-1,"no"
"113",1985,1,28,8,2,2,0,"no"
"114",1985,1,28,9,2,1,-1,"no"
"115",1985,1,28,10,3,NA,0,"v2020"
"116",1985,1,28,11,2,1,-1,"no"
"117",1985,1,28,12,3,NA,0,"v2020"
"118",1985,1,30,6,3,3,0,"no"
"119",1985,1,30,7,6,5,-1,"no"
"120",1985,1,30,8,3,1,-2,"no"
"121",1985,1,30,9,6,4,-2,"no"
"122",1985,1,30,10,4,2,-2,"no"
"123",1985,1,30,11,2,1,-1,"no"
"124",1985,1,30,15,2,1,-1,"no"
"125",1985,1,32,7,6,5,-1,"no"
"126",1985,1,32,8,4,4,0,"no"
"127",1985,1,32,9,5,2,-3,"no"
"128",1985,1,32,10,5,2,-3,"no"
"129",1985,1,32,11,1,1,0,"no"
"130",1985,1,32,12,2,2,0,"no"
"131",1985,1,32,14,2,NA,0,"v2020"
"132",1985,1,32,17,1,NA,0,"v2020"
"133",1985,1,34,6,2,2,0,"no"
"134",1985,1,34,7,2,2,0,"no"
"135",1985,1,34,9,2,2,0,"no"
"136",1985,1,34,10,6,5,-1,"no"
"137",1985,1,34,11,1,NA,0,"v2020"
"138",1985,1,34,12,3,2,-1,"no"
"139",1985,1,34,13,1,NA,0,"v2020"
"140",1985,1,34,14,3,NA,0,"v2020"
"141",1985,1,34,15,3,1,-2,"no"
"142",1985,1,34,16,3,1,-2,"no"
"143",1985,1,36,7,1,1,0,"no"
"144",1985,1,36,8,2,2,0,"no"
"145",1985,1,36,9,1,1,0,"no"
"146",1985,1,36,10,3,2,-1,"no"
"147",1985,1,36,11,3,2,-1,"no"
"148",1985,1,36,12,4,3,-1,"no"
"149",1985,1,36,13,1,1,0,"no"
"150",1985,1,36,14,3,NA,0,"v2020"
"151",1985,1,36,15,3,NA,0,"v2020"
"152",1985,1,36,16,1,NA,0,"v2020"
"153",1985,1,36,18,1,NA,0,"v2020"
"154",1985,1,38,9,2,2,0,"no"
"155",1985,1,38,10,2,2,0,"no"
"156",1985,1,38,11,4,4,0,"no"
"157",1985,1,38,12,3,3,0,"no"
"158",1985,1,38,13,3,1,-2,"no"
"159",1985,1,38,14,2,1,-1,"no"
"160",1985,1,38,15,1,NA,0,"v2020"
"161",1985,1,38,16,1,1,0,"no"
"162",1985,1,38,17,2,NA,0,"v2020"
"163",1985,1,38,18,2,NA,0,"v2020"
"164",1985,1,38,19,1,1,0,"no"
"165",1985,1,40,9,1,1,0,"no"
"166",1985,1,40,12,8,8,0,"no"
"167",1985,1,40,13,3,3,0,"no"
"168",1985,1,40,16,1,1,0,"no"
"169",1985,1,40,17,4,1,-3,"no"
"170",1985,1,40,18,1,NA,0,"v2020"
"171",1985,1,40,20,1,NA,0,"v2020"
"172",1985,1,40,21,5,1,-4,"no"
"173",1985,1,42,12,2,2,0,"no"
"174",1985,1,42,14,1,1,0,"no"
"175",1985,1,42,15,2,2,0,"no"
"176",1985,1,42,16,3,3,0,"no"
"177",1985,1,44,11,1,1,0,"no"
"178",1985,1,44,12,1,1,0,"no"
"179",1985,1,44,13,1,1,0,"no"
"180",1985,1,44,15,1,1,0,"no"
"181",1985,1,44,16,3,3,0,"no"
"182",1985,1,44,21,1,1,0,"no"
"183",1985,1,46,15,1,1,0,"no"
"184",1985,1,46,18,1,1,0,"no"
"185",1985,1,48,16,1,1,0,"no"
"186",1992,1,10,2,1,1,0,"no"
"187",1992,1,10,3,1,1,0,"no"
"188",1992,1,12,2,1,1,0,"no"
"189",1992,1,12,3,4,4,0,"no"
"190",1992,1,14,2,2,2,0,"no"
"191",1992,1,14,3,4,4,0,"no"
"192",1992,1,16,2,1,1,0,"no"
"193",1992,1,16,3,6,6,0,"no"
"194",1992,1,16,4,3,3,0,"no"
"195",1992,1,18,3,3,3,0,"no"
"196",1992,1,18,4,6,6,0,"no"
"197",1992,1,18,5,6,6,0,"no"
"198",1992,1,20,3,1,1,0,"no"
"199",1992,1,20,4,2,2,0,"no"
"200",1992,1,20,5,8,8,0,"no"
"201",1992,1,20,6,1,1,0,"no"
"202",1992,1,22,5,7,7,0,"no"
"203",1992,1,22,6,6,6,0,"no"
"204",1992,1,22,7,1,1,0,"no"
"205",1992,1,24,5,3,3,0,"no"
"206",1992,1,24,6,5,5,0,"no"
"207",1992,1,24,7,4,4,0,"no"
"208",1992,1,24,10,1,1,0,"no"
"209",1992,1,26,5,2,2,0,"no"
"210",1992,1,26,6,4,4,0,"no"
"211",1992,1,26,7,4,4,0,"no"
"212",1992,1,26,9,1,1,0,"no"
"213",1992,1,26,10,1,1,0,"no"
"214",1992,1,28,6,2,2,0,"no"
"215",1992,1,28,7,7,7,0,"no"
"216",1992,1,28,8,2,2,0,"no"
"217",1992,1,28,9,5,5,0,"no"
"218",1992,1,30,6,2,2,0,"no"
"219",1992,1,30,7,2,2,0,"no"
"220",1992,1,30,8,4,4,0,"no"
"221",1992,1,30,9,6,6,0,"no"
"222",1992,1,30,13,1,1,0,"no"
"223",1992,1,32,6,1,1,0,"no"
"224",1992,1,32,7,2,2,0,"no"
"225",1992,1,32,8,3,3,0,"no"
"226",1992,1,32,9,3,3,0,"no"
"227",1992,1,32,10,4,4,0,"no"
"228",1992,1,32,12,1,1,0,"no"
"229",1992,1,34,8,2,2,0,"no"
"230",1992,1,34,9,3,3,0,"no"
"231",1992,1,34,10,6,6,0,"no"
"232",1992,1,34,11,3,3,0,"no"
"233",1992,1,34,12,1,1,0,"no"
"234",1992,1,36,7,1,1,0,"no"
"235",1992,1,36,9,2,2,0,"no"
"236",1992,1,36,11,5,5,0,"no"
"237",1992,1,36,12,5,5,0,"no"
"238",1992,1,36,13,1,1,0,"no"
"239",1992,1,36,14,1,1,0,"no"
"240",1992,1,38,9,2,2,0,"no"
"241",1992,1,38,11,4,4,0,"no"
"242",1992,1,38,12,5,5,0,"no"
"243",1992,1,38,13,1,1,0,"no"
"244",1992,1,38,15,1,1,0,"no"
"245",1992,1,40,9,1,1,0,"no"
"246",1992,1,40,10,1,1,0,"no"
"247",1992,1,40,11,1,1,0,"no"
"248",1992,1,40,12,5,5,0,"no"
"249",1992,1,40,13,4,4,0,"no"
"250",1992,1,40,16,1,1,0,"no"
"251",1992,1,40,17,1,1,0,"no"
"252",1992,1,42,12,4,4,0,"no"
"253",1992,1,42,13,4,4,0,"no"
"254",1992,1,42,14,2,2,0,"no"
"255",1992,1,42,15,1,1,0,"no"
"256",1992,1,44,12,2,2,0,"no"
"257",1992,1,44,13,2,2,0,"no"
"258",1992,1,44,14,3,3,0,"no"
"259",1992,1,44,16,2,2,0,"no"
"260",1992,1,44,17,1,1,0,"no"
"261",1992,1,44,18,1,1,0,"no"
"262",1992,1,46,12,5,5,0,"no"
"263",1992,1,46,13,3,3,0,"no"
"264",1992,1,46,14,3,3,0,"no"
"265",1992,1,46,21,1,1,0,"no"
"266",1992,1,48,16,1,1,0,"no"
"267",1992,1,48,18,1,1,0,"no"
"268",1992,1,52,13,1,1,0,"no"
"269",1993,1,20,4,1,1,0,"no"
"270",1993,1,22,5,1,1,0,"no"
"271",1993,1,22,6,1,1,0,"no"
"272",1993,1,24,4,1,1,0,"no"
"273",1993,1,24,5,1,1,0,"no"
"274",1993,1,24,6,2,2,0,"no"
"275",1993,1,26,5,2,2,0,"no"
"276",1993,1,26,6,1,1,0,"no"
"277",1993,1,26,8,1,1,0,"no"
"278",1993,1,28,6,1,1,0,"no"
"279",1993,1,28,7,2,2,0,"no"
"280",1993,1,28,8,1,1,0,"no"
"281",1993,1,28,9,2,2,0,"no"
"282",1993,1,30,8,1,1,0,"no"
"283",1993,1,30,9,3,3,0,"no"
"284",1993,1,30,10,1,1,0,"no"
"285",1993,1,32,8,2,2,0,"no"
"286",1993,1,32,10,1,1,0,"no"
"287",1993,1,32,11,2,2,0,"no"
"288",1993,1,34,11,1,1,0,"no"
"289",1993,1,34,12,5,5,0,"no"
"290",1993,1,36,8,1,1,0,"no"
"291",1993,1,36,10,1,1,0,"no"
"292",1993,1,36,11,4,4,0,"no"
"293",1993,1,36,12,2,2,0,"no"
"294",1993,1,38,11,3,3,0,"no"
"295",1993,1,38,12,2,2,0,"no"
"296",1993,1,38,13,1,1,0,"no"
"297",1993,1,38,14,1,1,0,"no"
"298",1993,1,40,10,1,1,0,"no"
"299",1993,1,40,12,4,4,0,"no"
"300",1993,1,40,14,1,1,0,"no"
"301",1993,1,40,15,1,1,0,"no"
"302",1993,1,42,11,2,2,0,"no"
"303",1993,1,42,12,4,4,0,"no"
"304",1993,1,42,13,2,2,0,"no"
"305",1993,1,42,14,1,1,0,"no"
"306",1993,1,42,15,1,1,0,"no"
"307",1993,1,44,12,3,3,0,"no"
"308",1993,1,44,13,1,1,0,"no"
"309",1993,1,44,14,2,2,0,"no"
"310",1993,1,44,15,1,1,0,"no"
"311",1993,1,46,12,1,1,0,"no"
"312",1993,1,46,14,3,3,0,"no"
"313",1993,1,46,16,1,1,0,"no"
"314",1993,1,48,15,1,1,0,"no"
"315",1994,1,12,2,4,4,0,"no"
"316",1994,1,12,3,3,3,0,"no"
"317",1994,1,14,2,2,2,0,"no"
"318",1994,1,14,3,5,5,0,"no"
"319",1994,1,14,4,2,2,0,"no"
"320",1994,1,16,3,8,8,0,"no"
"321",1994,1,16,4,6,6,0,"no"
"322",1994,1,16,5,1,1,0,"no"
"323",1994,1,18,3,4,4,0,"no"
"324",1994,1,18,4,5,5,0,"no"
"325",1994,1,18,5,4,4,0,"no"
"326",1994,1,20,4,5,5,0,"no"
"327",1994,1,20,5,4,4,0,"no"
"328",1994,1,20,6,1,1,0,"no"
"329",1994,1,22,4,2,2,0,"no"
"330",1994,1,22,5,1,1,0,"no"
"331",1994,1,22,6,4,4,0,"no"
"332",1994,1,22,7,1,1,0,"no"
"333",1994,1,24,5,4,4,0,"no"
"334",1994,1,24,6,3,3,0,"no"
"335",1994,1,24,7,2,2,0,"no"
"336",1994,1,24,9,1,1,0,"no"
"337",1994,1,26,6,4,4,0,"no"
"338",1994,1,26,7,5,5,0,"no"
"339",1994,1,26,8,1,1,0,"no"
"340",1994,1,26,9,2,2,0,"no"
"341",1994,1,28,6,1,1,0,"no"
"342",1994,1,28,7,2,2,0,"no"
"343",1994,1,28,8,2,2,0,"no"
"344",1994,1,28,9,2,2,0,"no"
"345",1994,1,28,14,1,1,0,"no"
"346",1994,1,30,7,5,5,0,"no"
"347",1994,1,30,8,3,3,0,"no"
"348",1994,1,30,9,3,3,0,"no"
"349",1994,1,30,10,2,2,0,"no"
"350",1994,1,30,12,1,1,0,"no"
"351",1994,1,32,7,2,2,0,"no"
"352",1994,1,32,8,5,5,0,"no"
"353",1994,1,32,9,4,4,0,"no"
"354",1994,1,32,10,4,4,0,"no"
"355",1994,1,32,11,2,2,0,"no"
"356",1994,1,34,7,2,2,0,"no"
"357",1994,1,34,8,3,3,0,"no"
"358",1994,1,34,9,2,2,0,"no"
"359",1994,1,34,10,4,4,0,"no"
"360",1994,1,34,11,2,2,0,"no"
"361",1994,1,34,12,1,1,0,"no"
"362",1994,1,34,14,1,1,0,"no"
"363",1994,1,36,8,1,1,0,"no"
"364",1994,1,36,9,4,4,0,"no"
"365",1994,1,36,10,4,4,0,"no"
"366",1994,1,36,11,1,1,0,"no"
"367",1994,1,36,13,1,1,0,"no"
"368",1994,1,38,10,2,2,0,"no"
"369",1994,1,38,11,2,2,0,"no"
"370",1994,1,38,12,3,3,0,"no"
"371",1994,1,38,13,1,1,0,"no"
"372",1994,1,38,14,1,1,0,"no"
"373",1994,1,38,15,1,1,0,"no"
"374",1994,1,38,17,1,1,0,"no"
"375",1994,1,40,10,2,2,0,"no"
"376",1994,1,40,11,2,2,0,"no"
"377",1994,1,40,12,3,3,0,"no"
"378",1994,1,40,13,3,3,0,"no"
"379",1994,1,40,15,3,3,0,"no"
"380",1994,1,42,10,1,1,0,"no"
"381",1994,1,42,11,2,2,0,"no"
"382",1994,1,42,12,2,2,0,"no"
"383",1994,1,42,13,5,5,0,"no"
"384",1994,1,42,14,2,2,0,"no"
"385",1994,1,42,16,2,2,0,"no"
"386",1994,1,44,12,4,4,0,"no"
"387",1994,1,44,13,2,2,0,"no"
"388",1994,1,44,16,1,1,0,"no"
"389",1994,1,46,12,1,1,0,"no"
"390",1994,1,46,13,2,2,0,"no"
"391",1994,1,46,14,2,2,0,"no"
"392",1994,1,48,12,1,1,0,"no"
"393",1994,1,48,15,1,1,0,"no"
"394",1994,1,48,18,1,1,0,"no"
"395",1994,1,50,15,1,1,0,"no"
"396",1995,1,12,3,1,1,0,"no"
"397",1995,1,14,2,1,1,0,"no"
"398",1995,1,14,3,4,4,0,"no"
"399",1995,1,14,4,1,1,0,"no"
"400",1995,1,16,3,8,8,0,"no"
"401",1995,1,16,4,2,2,0,"no"
"402",1995,1,18,3,3,3,0,"no"
"403",1995,1,18,4,6,6,0,"no"
"404",1995,1,18,5,5,5,0,"no"
"405",1995,1,20,4,6,6,0,"no"
"406",1995,1,20,5,5,5,0,"no"
"407",1995,1,20,6,2,2,0,"no"
"408",1995,1,22,4,2,2,0,"no"
"409",1995,1,22,5,5,5,0,"no"
"410",1995,1,22,6,2,2,0,"no"
"411",1995,1,22,7,1,1,0,"no"
"412",1995,1,24,5,4,4,0,"no"
"413",1995,1,24,6,5,5,0,"no"
"414",1995,1,24,7,1,1,0,"no"
"415",1995,1,26,4,1,1,0,"no"
"416",1995,1,26,5,1,1,0,"no"
"417",1995,1,26,6,2,2,0,"no"
"418",1995,1,26,7,6,6,0,"no"
"419",1995,1,26,8,5,5,0,"no"
"420",1995,1,28,7,1,1,0,"no"
"421",1995,1,28,8,6,6,0,"no"
"422",1995,1,28,10,1,1,0,"no"
"423",1995,1,30,6,1,1,0,"no"
"424",1995,1,30,7,1,1,0,"no"
"425",1995,1,30,8,6,6,0,"no"
"426",1995,1,30,9,5,5,0,"no"
"427",1995,1,30,10,3,3,0,"no"
"428",1995,1,30,12,2,2,0,"no"
"429",1995,1,32,7,1,1,0,"no"
"430",1995,1,32,8,5,5,0,"no"
"431",1995,1,32,9,2,2,0,"no"
"432",1995,1,32,10,3,3,0,"no"
"433",1995,1,32,11,1,1,0,"no"
"434",1995,1,34,7,2,2,0,"no"
"435",1995,1,34,8,2,2,0,"no"
"436",1995,1,34,9,3,3,0,"no"
"437",1995,1,34,10,2,2,0,"no"
"438",1995,1,34,11,3,3,0,"no"
"439",1995,1,34,12,1,1,0,"no"
"440",1995,1,34,14,3,3,0,"no"
"441",1995,1,36,7,1,1,0,"no"
"442",1995,1,36,8,5,5,0,"no"
"443",1995,1,36,9,1,1,0,"no"
"444",1995,1,36,10,2,2,0,"no"
"445",1995,1,36,11,3,3,0,"no"
"446",1995,1,36,13,1,1,0,"no"
"447",1995,1,38,9,2,2,0,"no"
"448",1995,1,38,10,1,1,0,"no"
"449",1995,1,38,11,3,3,0,"no"
"450",1995,1,38,12,4,4,0,"no"
"451",1995,1,38,13,2,2,0,"no"
"452",1995,1,38,15,1,1,0,"no"
"453",1995,1,40,10,2,2,0,"no"
"454",1995,1,40,11,3,3,0,"no"
"455",1995,1,40,12,2,2,0,"no"
"456",1995,1,40,13,1,1,0,"no"
"457",1995,1,40,14,1,1,0,"no"
"458",1995,1,40,15,2,2,0,"no"
"459",1995,1,40,18,1,1,0,"no"
"460",1995,1,42,12,3,3,0,"no"
"461",1995,1,42,13,5,5,0,"no"
"462",1995,1,42,14,2,2,0,"no"
"463",1995,1,42,15,3,3,0,"no"
"464",1995,1,42,16,2,2,0,"no"
"465",1995,1,44,13,2,2,0,"no"
"466",1995,1,44,14,2,2,0,"no"
"467",1995,1,44,16,2,2,0,"no"
"468",1995,1,44,17,2,2,0,"no"
"469",1995,1,44,21,1,1,0,"no"
"470",1995,1,46,13,2,2,0,"no"
"471",1995,1,46,14,1,1,0,"no"
"472",1995,1,46,15,3,3,0,"no"
"473",1995,1,46,16,2,2,0,"no"
"474",1995,1,46,18,1,1,0,"no"
"475",1995,1,48,13,1,1,0,"no"
"476",1995,1,48,14,1,1,0,"no"
"477",1995,1,48,15,2,2,0,"no"
"478",1995,1,48,16,2,2,0,"no"
"479",1995,1,48,18,1,1,0,"no"
"480",1995,1,48,19,1,1,0,"no"
"481",1995,1,50,16,1,1,0,"no"
"482",1995,1,50,17,2,2,0,"no"
"483",1995,1,50,18,1,1,0,"no"
"484",2000,1,12,2,1,1,0,"no"
"485",2000,1,12,3,1,1,0,"no"
"486",2000,1,14,3,4,4,0,"no"
"487",2000,1,16,3,2,2,0,"no"
"488",2000,1,16,4,3,3,0,"no"
"489",2000,1,18,3,2,2,0,"no"
"490",2000,1,18,4,10,10,0,"no"
"491",2000,1,18,5,1,1,0,"no"
"492",2000,1,20,4,7,7,0,"no"
"493",2000,1,20,5,1,1,0,"no"
"494",2000,1,20,6,1,1,0,"no"
"495",2000,1,22,4,4,4,0,"no"
"496",2000,1,22,5,6,6,0,"no"
"497",2000,1,24,4,1,1,0,"no"
"498",2000,1,24,5,2,2,0,"no"
"499",2000,1,24,6,6,6,0,"no"
"500",2000,1,24,7,1,1,0,"no"
"501",2000,1,26,4,1,1,0,"no"
"502",2000,1,26,5,2,2,0,"no"
"503",2000,1,26,6,4,4,0,"no"
"504",2000,1,26,7,4,4,0,"no"
"505",2000,1,26,9,1,1,0,"no"
"506",2000,1,26,11,1,1,0,"no"
"507",2000,1,28,5,1,1,0,"no"
"508",2000,1,28,6,1,1,0,"no"
"509",2000,1,28,7,4,4,0,"no"
"510",2000,1,28,8,6,6,0,"no"
"511",2000,1,28,9,3,3,0,"no"
"512",2000,1,28,10,1,1,0,"no"
"513",2000,1,28,12,1,1,0,"no"
"514",2000,1,30,6,2,2,0,"no"
"515",2000,1,30,8,2,2,0,"no"
"516",2000,1,30,9,4,4,0,"no"
"517",2000,1,30,10,6,6,0,"no"
"518",2000,1,30,11,3,3,0,"no"
"519",2000,1,30,13,1,1,0,"no"
"520",2000,1,32,8,3,3,0,"no"
"521",2000,1,32,9,2,2,0,"no"
"522",2000,1,32,10,2,2,0,"no"
"523",2000,1,32,11,3,3,0,"no"
"524",2000,1,32,13,2,2,0,"no"
"525",2000,1,32,14,1,1,0,"no"
"526",2000,1,32,17,1,1,0,"no"
"527",2000,1,34,6,2,2,0,"no"
"528",2000,1,34,8,1,1,0,"no"
"529",2000,1,34,9,4,4,0,"no"
"530",2000,1,34,10,5,5,0,"no"
"531",2000,1,34,11,1,1,0,"no"
"532",2000,1,34,12,1,1,0,"no"
"533",2000,1,34,13,1,1,0,"no"
"534",2000,1,34,14,1,1,0,"no"
"535",2000,1,36,7,1,1,0,"no"
"536",2000,1,36,9,2,2,0,"no"
"537",2000,1,36,10,2,2,0,"no"
"538",2000,1,36,11,2,2,0,"no"
"539",2000,1,36,12,3,3,0,"no"
"540",2000,1,36,13,4,4,0,"no"
"541",2000,1,36,14,2,2,0,"no"
"542",2000,1,36,16,1,1,0,"no"
"543",2000,1,36,17,1,1,0,"no"
"544",2000,1,38,9,3,3,0,"no"
"545",2000,1,38,11,2,2,0,"no"
"546",2000,1,38,12,1,1,0,"no"
"547",2000,1,38,13,7,7,0,"no"
"548",2000,1,38,14,3,3,0,"no"
"549",2000,1,38,16,2,2,0,"no"
"550",2000,1,38,17,1,1,0,"no"
"551",2000,1,40,10,1,1,0,"no"
"552",2000,1,40,12,2,2,0,"no"
"553",2000,1,40,14,1,1,0,"no"
"554",2000,1,40,15,5,5,0,"no"
"555",2000,1,40,16,1,1,0,"no"
"556",2000,1,40,17,2,2,0,"no"
"557",2000,1,40,18,1,1,0,"no"
"558",2000,1,40,19,1,1,0,"no"
"559",2000,1,40,21,1,1,0,"no"
"560",2000,1,42,11,1,1,0,"no"
"561",2000,1,42,12,3,3,0,"no"
"562",2000,1,42,14,2,2,0,"no"
"563",2000,1,42,15,3,3,0,"no"
"564",2000,1,42,16,3,3,0,"no"
"565",2000,1,42,17,1,1,0,"no"
"566",2000,1,42,18,1,1,0,"no"
"567",2000,1,42,20,2,2,0,"no"
"568",2000,1,42,21,2,2,0,"no"
"569",2000,1,44,13,1,1,0,"no"
"570",2000,1,44,15,1,1,0,"no"
"571",2000,1,44,16,3,3,0,"no"
"572",2000,1,44,17,4,4,0,"no"
"573",2000,1,44,18,1,1,0,"no"
"574",2000,1,44,19,4,4,0,"no"
"575",2000,1,44,20,2,2,0,"no"
"576",2000,1,44,21,3,3,0,"no"
"577",2000,1,46,15,2,2,0,"no"
"578",2000,1,46,16,2,2,0,"no"
"579",2000,1,46,17,4,4,0,"no"
"580",2000,1,46,18,1,1,0,"no"
"581",2000,1,46,19,3,3,0,"no"
"582",2000,1,46,21,1,1,0,"no"
"583",2000,1,48,18,2,2,0,"no"
"584",2000,1,48,19,1,1,0,"no"
"585",2000,1,48,21,1,1,0,"no"
"586",2000,1,50,17,2,2,0,"no"
"587",2000,1,50,21,1,1,0,"no"
"588",2000,1,52,19,1,1,0,"no"
"589",2000,1,52,21,1,1,0,"no"
"590",2000,1,54,19,1,1,0,"no"
"591",2001,1,14,2,1,1,0,"no"
"592",2001,1,14,3,7,7,0,"no"
"593",2001,1,16,3,10,10,0,"no"
"594",2001,1,18,3,11,11,0,"no"
"595",2001,1,18,4,3,3,0,"no"
"596",2001,1,20,3,1,1,0,"no"
"597",2001,1,20,4,10,10,0,"no"
"598",2001,1,20,5,3,3,0,"no"
"599",2001,1,22,3,1,1,0,"no"
"600",2001,1,22,4,5,5,0,"no"
"601",2001,1,22,5,6,6,0,"no"
"602",2001,1,22,6,2,2,0,"no"
"603",2001,1,24,3,1,1,0,"no"
"604",2001,1,24,5,11,11,0,"no"
"605",2001,1,24,6,2,2,0,"no"
"606",2001,1,26,4,2,2,0,"no"
"607",2001,1,26,5,3,3,0,"no"
"608",2001,1,26,6,4,4,0,"no"
"609",2001,1,26,7,3,3,0,"no"
"610",2001,1,26,8,1,1,0,"no"
"611",2001,1,26,10,2,2,0,"no"
"612",2001,1,28,5,2,2,0,"no"
"613",2001,1,28,6,10,10,0,"no"
"614",2001,1,28,7,4,4,0,"no"
"615",2001,1,28,8,2,2,0,"no"
"616",2001,1,28,9,3,3,0,"no"
"617",2001,1,30,5,2,2,0,"no"
"618",2001,1,30,6,2,2,0,"no"
"619",2001,1,30,7,5,5,0,"no"
"620",2001,1,30,8,5,5,0,"no"
"621",2001,1,30,9,4,4,0,"no"
"622",2001,1,32,6,1,1,0,"no"
"623",2001,1,32,7,5,5,0,"no"
"624",2001,1,32,8,2,2,0,"no"
"625",2001,1,32,9,5,5,0,"no"
"626",2001,1,32,10,2,2,0,"no"
"627",2001,1,32,11,2,2,0,"no"
