"","year","sex","length","age","v2018","v2020","diff","missing"
"1",1982,1,12,2,13,13,0,"no"
"2",1982,1,12,3,6,6,0,"no"
"3",1982,1,14,2,4,4,0,"no"
"4",1982,1,14,3,15,13,-2,"no"
"5",1982,1,16,3,11,10,-1,"no"
"6",1982,1,18,3,7,7,0,"no"
"7",1982,1,18,4,6,6,0,"no"
"8",1982,1,20,3,3,3,0,"no"
"9",1982,1,20,4,18,18,0,"no"
"10",1982,1,22,4,9,9,0,"no"
"11",1982,1,22,5,2,2,0,"no"
"12",1982,1,22,6,2,2,0,"no"
"13",1982,1,22,7,2,NA,0,"v2020"
"14",1982,1,22,8,1,NA,0,"v2020"
"15",1982,1,24,4,2,2,0,"no"
"16",1982,1,24,5,6,6,0,"no"
"17",1982,1,24,6,4,3,-1,"no"
"18",1982,1,24,7,5,NA,0,"v2020"
"19",1982,1,26,5,6,6,0,"no"
"20",1982,1,26,6,4,4,0,"no"
"21",1982,1,26,7,6,4,-2,"no"
"22",1982,1,26,8,3,2,-1,"no"
"23",1982,1,26,10,1,NA,0,"v2020"
"24",1982,1,28,6,9,9,0,"no"
"25",1982,1,28,7,3,2,-1,"no"
"26",1982,1,28,8,3,1,-2,"no"
"27",1982,1,28,13,1,NA,0,"v2020"
"28",1982,1,30,6,1,1,0,"no"
"29",1982,1,30,7,3,3,0,"no"
"30",1982,1,30,8,2,2,0,"no"
"31",1982,1,30,9,5,3,-2,"no"
"32",1982,1,30,10,2,1,-1,"no"
"33",1982,1,30,12,6,2,-4,"no"
"34",1982,1,32,7,2,2,0,"no"
"35",1982,1,32,8,5,5,0,"no"
"36",1982,1,32,9,5,5,0,"no"
"37",1982,1,32,10,3,2,-1,"no"
"38",1982,1,32,11,3,1,-2,"no"
"39",1982,1,32,12,2,1,-1,"no"
"40",1982,1,32,13,1,1,0,"no"
"41",1982,1,34,7,3,3,0,"no"
"42",1982,1,34,8,2,2,0,"no"
"43",1982,1,34,9,5,5,0,"no"
