"","Proj1","Proj2"
"1","0.2(f), 0.2(m)","0.2(f), 0.2(m)"
"2","3a","3a"
"3","673718","686431"
"4","153203","155032"
"5","212060","212060"
"6","84824","84824"
"7","74221","74221"
"8","0.47","0.47"
"9","0.38","0.38"
"10","0.38","0.38"
"11","80918","83190"
"12","66625","68448"
"13","66625","68448"
