"metric","2013","2014","2015","2016"
"Fabc",0.383378,0.383378,0.383378,0.383378
"Fofl",0.474532,0.474532,0.474532,0.474532
"SSBF100",191035000,191035000,191035000,191035000
"SSBFabc",76414100,76414100,76414100,76414100
"SSBFofl",66862400,66862400,66862400,66862400
"SSBMean",156095000,150252000,142401000,136536000
"Catch",17354800,16512300,11307500,10312900
"ABC",62014000,59364900,56679800,55089000
"OFL",75068900,71837100,68574700,66649700
"SSB",156095000,150252000,142401000,136536000
"TotBiom",491221000,480150000,473515000,473714000
