Alternative Spp Yr  ABC OFL Catch SSB F Tot_biom SPR_Implied Ntot SexRatio
1 Model_Proj.dat 2020 60927.1 73846.1 9392 146307 0.052417 591002 0.821671 507275 0.495962
1 Model_Proj.dat 2021 62444.1 75713.9 10259 150096 0.0559966 592447 0.811843 528578 0.496538
1 Model_Proj.dat 2022 64178 77833.4 14659 155144 0.0783542 585661 0.755533 550119 0.496971
1 Model_Proj.dat 2023 65171.1 79042.3 11129 158845 0.0583021 572948 0.805641 564586 0.497029
1 Model_Proj.dat 2024 66348.8 80453 11129 164197 0.0572093 564377 0.808569 579094 0.497304
1 Model_Proj.dat 2020 60927.1 73846.1 9392 146307 0.052417 591002 0.821671 507275 0.495962
1 Model_Proj.dat 2021 62446.9 75717.5 10259 150100 0.0559942 599104 0.81185 528924 0.496541
1 Model_Proj.dat 2022 64204 77865.5 14659 155165 0.0783241 601665 0.755604 551047 0.496976
1 Model_Proj.dat 2023 65299.3 79200.9 11129 158931 0.058194 594116 0.805929 566386 0.497039
1 Model_Proj.dat 2024 66764.2 80966.3 11129 164480 0.0568721 582094 0.809476 582463 0.497323
1 Model_Proj.dat 2020 60927.1 73846.1 9392 146307 0.052417 591002 0.821671 507275 0.495962
1 Model_Proj.dat 2021 62452 75723.7 10259 150106 0.0559899 610954 0.811861 529538 0.496545
1 Model_Proj.dat 2022 64244.4 77915.5 14659 155196 0.0782772 616592 0.755714 551996 0.496982
1 Model_Proj.dat 2023 65477.8 79421.7 11129 159044 0.0580441 606777 0.80633 568091 0.497048
1 Model_Proj.dat 2024 67274 81595.9 11129 164836 0.056463 592116 0.810581 586029 0.497343
1 Model_Proj.dat 2020 60927.1 73846.1 9392 146307 0.052417 591002 0.821671 507275 0.495962
1 Model_Proj.dat 2021 62447.7 75718.4 10259 150101 0.0559936 600885 0.811852 529016 0.496541
1 Model_Proj.dat 2022 64209.6 77872.5 14659 155169 0.0783176 602818 0.755619 551133 0.496977
1 Model_Proj.dat 2023 65323.3 79230.5 11129 158946 0.0581738 596618 0.805983 566657 0.49704
1 Model_Proj.dat 2024 66834.7 81053.4 11129 164533 0.0568151 593235 0.80963 583432 0.497328
1 Model_Proj.dat 2020 60927.1 73846.1 9392 146307 0.052417 591002 0.821671 507275 0.495962
1 Model_Proj.dat 2021 62450.2 75721.5 10259 150104 0.0559915 606729 0.811857 529319 0.496543
1 Model_Proj.dat 2022 64229.2 77896.7 14659 155184 0.0782949 609415 0.755672 551561 0.496979
1 Model_Proj.dat 2023 65413.3 79341.9 11129 159006 0.0580982 612591 0.806185 567991 0.497048
1 Model_Proj.dat 2024 67112.7 81396.8 11129 164731 0.056592 614636 0.810232 586134 0.497342
1 Model_Proj.dat 2020 60927.1 73846.1 9392 146307 0.052417 591002 0.821671 507275 0.495962
1 Model_Proj.dat 2021 62444.6 75714.5 10259 150096 0.0559962 593528 0.811844 528634 0.496539
1 Model_Proj.dat 2022 64183.2 77839.8 14659 155148 0.0783482 590544 0.755548 550388 0.496973
1 Model_Proj.dat 2023 65201.1 79079.4 11129 158866 0.0582768 582368 0.805708 565222 0.497032
1 Model_Proj.dat 2024 66465.1 80596.8 11129 164278 0.0571146 582754 0.808823 580693 0.497313
1 Model_Proj.dat 2020 60927.1 73846.1 9392 146307 0.052417 591002 0.821671 507275 0.495962
1 Model_Proj.dat 2021 62448.4 75719.3 10259 150101 0.055993 602500 0.811853 529100 0.496542
1 Model_Proj.dat 2022 64217.8 77882.7 14659 155177 0.078308 611271 0.755642 551595 0.496979
1 Model_Proj.dat 2023 65369.5 79287.8 11129 158978 0.058135 606494 0.806087 567407 0.497044
1 Model_Proj.dat 2024 67006 81265.2 11129 164649 0.0566778 613397 0.810001 585460 0.497338
1 Model_Proj.dat 2020 60927.1 73846.1 9392 146307 0.052417 591002 0.821671 507275 0.495962
1 Model_Proj.dat 2021 62452.1 75723.9 10259 150106 0.0559899 611201 0.811862 529551 0.496545
1 Model_Proj.dat 2022 64247.2 77919.1 14659 155199 0.0782739 621642 0.755721 552261 0.496983
1 Model_Proj.dat 2023 65503.4 79453.4 11129 159066 0.0580227 626372 0.806387 569199 0.497054
1 Model_Proj.dat 2024 67407 81760.4 11129 164930 0.0563579 627173 0.810865 588527 0.497355
1 Model_Proj.dat 2020 60927.1 73846.1 9392 146307 0.052417 591002 0.821671 507275 0.495962
1 Model_Proj.dat 2021 62454.9 75727.3 10259 150110 0.0559876 617566 0.811868 529881 0.496547
1 Model_Proj.dat 2022 64275 77953.4 14659 155223 0.0782418 643696 0.755796 553499 0.49699
1 Model_Proj.dat 2023 65648.2 79632.5 11129 159164 0.0579019 653108 0.80671 571357 0.497066
1 Model_Proj.dat 2024 67902.7 82373.1 11129 165264 0.0559683 657753 0.81192 593022 0.497378
1 Model_Proj.dat 2020 60927.1 73846.1 9392 146307 0.052417 591002 0.821671 507275 0.495962
1 Model_Proj.dat 2021 62443.6 75713.4 10259 150095 0.055997 591359 0.811842 528522 0.496538
1 Model_Proj.dat 2022 64175.1 77829.8 14659 155142 0.0783576 586083 0.755525 550124 0.496971
1 Model_Proj.dat 2023 65159.8 79028.3 11129 158838 0.0583117 571562 0.805615 564444 0.497028
1 Model_Proj.dat 2024 66318.5 80415.7 11129 164173 0.0572341 557763 0.808502 578593 0.497302
1 Model_Proj.dat 2020 60927.1 73846.1 9392 146307 0.052417 591002 0.821671 507275 0.495962
1 Model_Proj.dat 2021 62450.1 75721.4 10259 150104 0.0559915 606515 0.811857 529308 0.496543
1 Model_Proj.dat 2022 64228.6 77896 14659 155183 0.0782956 609446 0.755671 551560 0.496979
1 Model_Proj.dat 2023 65407.8 79335.1 11129 159000 0.0581028 604982 0.806173 567582 0.497045
1 Model_Proj.dat 2024 67076.6 81352.2 11129 164701 0.0566207 593474 0.810155 584894 0.497337
1 Model_Proj.dat 2020 60927.1 73846.1 9392 146307 0.052417 591002 0.821671 507275 0.495962
