"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"3124",227807,197004,325370,266300,217704,177250,143481,115579,92809,74387,59558,47656,38117,30481,24371,19483,15575,12450,9951,7954,6358,25312
"3126",217992,186505,161274,266295,217685,177194,143388,115473,92707,74297,59483,47594,38067,30440,24338,19457,15554,12433,9938,7943,6349,25277
"3128",211141,178475,152692,132027,217929,177934,144591,116837,94003,75429,60432,48373,38700,30951,24749,19787,15818,12645,10108,8079,6458,25711
"3130",209168,172865,146116,124996,108026,177999,144973,117560,94866,76266,61168,48993,39210,31367,25085,20057,16035,12819,10247,8191,6547,26067
"3132",213685,171245,141514,119591,102193,87978,144171,116879,94494,76118,61132,49002,39234,31393,25109,20079,16053,12834,10259,8200,6555,26099
"3134",224264,174943,140186,115819,97753,83160,71139,115957,93680,75584,60815,48808,39107,31304,25043,20028,16014,12803,10235,8181,6539,26039
"3136",235369,183605,143217,114741,94702,79646,67415,57426,93347,75292,60692,48806,39158,31368,25106,20083,16060,12841,10266,8206,6560,26120
"3138",238330,192688,150289,117175,93658,76662,63719,53402,45197,73192,58907,47425,38108,30560,24473,19583,15662,12524,10013,8004,6398,25477
"3140",238257,195106,157710,122930,95540,75507,60822,49876,41435,34889,56332,45260,36400,29230,23430,18758,15006,12001,9595,7670,6131,24414
"3142",213569,195059,159717,129069,100467,77700,60982,48835,39894,33069,27809,44868,36033,28971,23260,18642,14923,11938,9546,7632,6101,24296
"3144",250896,174840,159660,130667,105325,81247,62035,48165,38301,31161,25769,21640,34886,28002,22506,18065,14476,11587,9268,7411,5925,23596
"3146",304585,205402,143117,130639,106697,85379,65183,49338,38090,30190,24515,20250,16994,27385,21975,17658,14172,11356,9089,7270,5813,23152
"3148",310515,249366,168155,117146,106844,87008,69336,52750,39837,30714,24325,19744,16305,13681,22043,17687,14212,11406,9139,7314,5850,23309
"3150",279450,254217,204138,137621,95751,86930,70332,55740,42256,31845,24523,19408,15746,13000,10906,17570,14097,11327,9090,7283,5829,23236
"3152",402416,228783,208106,167064,112470,77862,70192,56452,44567,33709,25371,19523,15444,12526,10340,8673,13971,11209,9006,7227,5790,23106
"3154",532569,329441,187264,170253,136326,90942,62149,55418,44256,34794,26254,19733,15172,11995,9726,8026,6731,10842,8698,6988,5607,22418
"3156",611500,436013,269692,153267,139183,110991,73612,50060,44497,35468,27855,21006,15782,12131,9590,7775,6415,5380,8666,6951,5584,22397
"3158",1131080,500625,356918,220697,125215,113043,89398,58876,39857,35333,28120,22065,16630,12490,9599,7587,6150,5075,4255,6854,5498,22129
"3160",488491,925986,409794,292043,180214,101506,90699,71108,46567,31420,27801,22102,17330,13056,9803,7532,5953,4825,3981,3338,5376,21670
"3162",351086,399920,758012,335351,238609,146404,81799,72594,56662,37011,24935,22044,17516,13730,10342,7764,5965,4714,3820,3152,2643,21412
"3164",676156,287434,327394,620423,274205,194407,118680,66027,58435,45537,29716,20010,17684,14048,11010,8292,6225,4782,3779,3063,2527,19284
"3166",1060910,553575,235314,267989,507468,223689,157996,96147,53381,47186,36745,23970,16136,14258,11326,8876,6685,5018,3855,3046,2469,17580
"3168",459741,868574,453191,192611,219173,413799,181633,127836,77615,43033,38010,29586,19294,12986,11474,9113,7142,5378,4037,3101,2451,16130
"3170",1204790,376395,711080,370968,157559,178857,336535,147296,103477,62756,34773,30703,23893,15580,10485,9263,7357,5765,4342,3259,2504,14999
"3172",289834,986387,308153,582111,303559,128738,145833,273914,119750,84069,50966,28234,24926,19396,12646,8511,7519,5972,4679,3524,2645,14205
"3174",531553,237296,807584,252293,476573,248473,105304,119097,223108,97214,68007,41091,22697,19989,15523,10105,6792,5994,4757,3725,2804,13394
"3176",601331,435199,194281,661191,206556,390141,203343,86112,97270,181931,79139,55275,33352,18401,16190,12563,8173,5491,4844,3843,3009,13078
"3178",516479,492327,356308,159061,541283,169015,318700,165463,69624,78009,144656,62416,43285,25963,14254,12492,9664,6271,4205,3704,2935,12258
"3180",501686,422857,403081,291717,130219,442997,138174,259885,134365,56239,62660,115579,49639,34291,20502,11228,9820,7584,4915,3292,2898,11870
"3182",397943,410745,346204,330011,238823,106577,362192,112701,211141,108620,45224,50136,92075,39400,27136,16186,8847,7726,5960,3859,2583,11569
"3184",385610,325808,336289,283445,270176,195470,87151,295557,91650,170952,87538,36287,40075,73362,31310,21519,12814,6994,6102,4703,3043,11146
"3186",346615,315710,266748,275326,232050,221119,159808,71076,240063,74059,137389,69990,28883,31777,57992,24689,16935,10068,5489,4783,3684,11100
"3188",603524,283784,258481,218392,225406,189929,180824,130421,57812,194439,59715,110312,55988,23032,25276,46034,19566,13404,7961,4336,3777,11660
"3190",577099,494123,232342,211624,178794,184483,155293,147507,105988,46756,156452,47818,87962,44487,18248,19980,36320,15415,10547,6258,3407,12112
"3192",524930,472488,404552,190223,173251,146325,150805,126600,119718,85535,37508,124800,37955,69530,35046,14337,15663,28423,12046,8234,4881,12086
