#V3.30
#C data file created using the SS_writedat function in the R package r4ss
#C should work with SS version: 
#C file write time: 2020-10-27 11:29:25
#
1964 #_styr
2020 #_endyr
1 #_nseas
12 #_months_per_seas
2 #_Nsubseasons
1 #_spawn_month
2 #_Ngenders
21 #_Nages
1 #_N_areas
2 #_Nfleets
#_fleetinfo
#_type	surveytiming	area	units	need_catch_mult	fleetname
1	-1.0	1	1	0	Fishery	#_1
3	 0.5	1	2	0	Survey 	#_2
#_Catch data
#_year	season	fleet	catch	catch_se
 -999	1	1	11659.00	0.01	#_1         
 1964	1	1	12315.00	0.01	#_2         
 1965	1	1	 3449.00	0.01	#_3         
 1966	1	1	 5086.00	0.01	#_4         
 1967	1	1	11218.00	0.01	#_5         
 1968	1	1	12606.00	0.01	#_6         
 1969	1	1	 9610.00	0.01	#_7         
 1970	1	1	21050.00	0.01	#_8         
 1971	1	1	26108.00	0.01	#_9         
 1972	1	1	10380.00	0.01	#_10        
 1973	1	1	17715.00	0.01	#_11        
 1974	1	1	13198.00	0.01	#_12        
 1975	1	1	 5011.00	0.01	#_13        
 1976	1	1	 7565.00	0.01	#_14        
 1977	1	1	 7909.00	0.01	#_15        
 1978	1	1	13864.00	0.01	#_16        
 1979	1	1	 6042.00	0.01	#_17        
 1980	1	1	 8600.00	0.01	#_18        
 1981	1	1	10609.00	0.01	#_19        
 1982	1	1	 8417.00	0.01	#_20        
 1983	1	1	 5518.00	0.01	#_21        
 1984	1	1	 4458.00	0.01	#_22        
 1985	1	1	 5636.00	0.01	#_23        
 1986	1	1	 5208.00	0.01	#_24        
 1987	1	1	 3595.00	0.01	#_25        
 1988	1	1	 6783.00	0.01	#_26        
 1989	1	1	 3604.00	0.01	#_27        
 1990	1	1	20245.00	0.01	#_28        
 1991	1	1	14197.00	0.01	#_29        
 1992	1	1	14407.00	0.01	#_30        
 1993	1	1	13574.00	0.01	#_31        
 1994	1	1	17006.00	0.01	#_32        
 1995	1	1	14714.78	0.01	#_33        
 1996	1	1	17346.13	0.01	#_34        
 1997	1	1	20682.68	0.01	#_35        
 1998	1	1	24387.43	0.01	#_36        
 1999	1	1	18573.27	0.01	#_37        
 2000	1	1	20441.10	0.01	#_38        
 2001	1	1	17811.08	0.01	#_39        
 2002	1	1	15574.78	0.01	#_40        
 2003	1	1	13784.92	0.01	#_41        
 2004	1	1	17398.09	0.01	#_42        
 2005	1	1	16107.97	0.01	#_43        
 2006	1	1	17981.16	0.01	#_44        
 2007	1	1	18958.25	0.01	#_45        
 2008	1	1	24539.79	0.01	#_46        
 2009	1	1	19557.93	0.01	#_47        
 2010	1	1	20127.07	0.01	#_48        
 2011	1	1	13558.02	0.01	#_49        
 2012	1	1	11367.54	0.01	#_50        
 2013	1	1	17354.79	0.01	#_51        
 2014	1	1	16512.27	0.01	#_52        
 2015	1	1	11307.53	0.01	#_53        
 2016	1	1	10312.93	0.01	#_54        
 2017	1	1	 9110.90	0.01	#_55        
