"metric","2016","2017","2018"
"Fabc",0.358454,0.358454,0.358454
"Fabc",0.358454,0.358454,0.358454
"Fabc",358.454,358.454,358.454
"Fabc",358.454,358.454,358.454
"Fabc",358.454,358.454,358.454
"Fabc",358.454,358.454,358.454
"Fabc",0.358454,0.358454,0.358454
"Fofl",0.443921,0.443921,0.443921
"Fofl",0.443921,0.443921,0.443921
"Fofl",0.443921,0.443921,0.443921
"Fofl",0.443921,0.443921,0.443921
"Fofl",0.443921,0.443921,0.443921
"Fofl",0.443921,0.443921,0.443921
"Fofl",0.443921,0.443921,0.443921
"SSBF100",196989,196989,196989
"SSBF100",196989,196989,196989
"SSBF100",196989,196989,196989
"SSBF100",196989,196989,196989
"SSBF100",196989,196989,196989
"SSBF100",196989,196989,196989
"SSBF100",196989,196989,196989
"SSBFabc",78795.7,78795.7,78795.7
"SSBFabc",78795.7,78795.7,78795.7
"SSBFabc",78795.7,78795.7,78795.7
"SSBFabc",78795.7,78795.7,78795.7
"SSBFabc",78795.7,78795.7,78795.7
"SSBFabc",78795.7,78795.7,78795.7
"SSBFabc",78795.7,78795.7,78795.7
"SSBFofl",68946.2,68946.2,68946.2
"SSBFofl",68946.2,68946.2,68946.2
"SSBFofl",68946.2,68946.2,68946.2
"SSBFofl",68946.2,68946.2,68946.2
"SSBFofl",68946.2,68946.2,68946.2
"SSBFofl",68946.2,68946.2,68946.2
"SSBFofl",68946.2,68946.2,68946.2
"SSBMean",152626,146814,142160
"SSBMean",152626,146814,142160
"SSBMean",152626,146814,142160
"SSBMean",152626,146814,142160
"SSBMean",152626,146814,142160
"SSBMean",152626,146814,112878
"SSBMean",152626,146814,118607
"Catch",NA,9110900,11006600
"ABC",NA,58085600,57274700
"OFL",NA,70312500,69349900
"SSB",NA,146814000,142160000
"TotBiom",NA,510883000,517997000
