"assessment_year","assessment_type","assessment_used","refYr","ABC","OFL","interval"
2010,"full",2010,2011,64321700,77910500,2
2010,"full",2010,2012,63618200,77032400,2
2008,"full",2008,2009,68326400,82765500,2
2008,"full",2008,2010,68041000,82439600,2
2018,"full",2018,2019,61476000,74532200,2
2018,"full",2018,2020,61841400,75023200,2
2016,"full",2016,2017,58085600,70312500,2
2016,"full",2016,2018,57274700,69349900,2
2014,"full",2014,2015,59917500,72591800,2
2014,"full",2014,2016,57772000,69976100,2
2012,"full",2012,2013,62013900,75068800,2
2012,"full",2012,2014,59365100,71837300,2
2020,"full",2020,2021,65156500,79048700,2
2020,"full",2020,2022,70668500,85772700,2
2009,"proj",2008,2009,68326400,82765500,2
2009,"proj",2008,2010,68041000,82439600,2
2011,"proj",2008,2011,64321700,77910500,2
2011,"proj",2008,2012,63618200,77032400,2
2013,"proj",2008,2013,62013900,75068800,2
2013,"proj",2008,2014,59365100,71837300,2
2015,"proj",2008,2015,59917500,72591800,2
2015,"proj",2008,2016,57772000,69976100,2
2017,"proj",2008,2017,58085600,70312500,2
2017,"proj",2008,2018,57274700,69349900,2
2019,"proj",2008,2019,61476000,74532200,2
2019,"proj",2008,2020,61841400,75023200,2
