"metric","2008","2009","2010"
"Fabc",0.406856,0.406856,0.406856
"Fabc",0.406856,0.406856,0.406856
"Fabc",406.856,406.856,406.856
"Fabc",406.856,406.856,406.856
"Fabc",406.856,406.856,406.856
"Fabc",406.856,406.856,406.856
"Fabc",0.406856,0.406856,0.406856
"Fofl",0.503663,0.503663,0.503663
"Fofl",0.503663,0.503663,0.503663
"Fofl",0.503663,0.503663,0.503663
"Fofl",0.503663,0.503663,0.503663
"Fofl",0.503663,0.503663,0.503663
"Fofl",0.503663,0.503663,0.503663
"Fofl",0.503663,0.503663,0.503663
"SSBF100",196683,196683,196683
"SSBF100",196683,196683,196683
"SSBF100",196683,196683,196683
"SSBF100",196683,196683,196683
"SSBF100",196683,196683,196683
"SSBF100",196683,196683,196683
"SSBF100",196683,196683,196683
"SSBFabc",78673.1,78673.1,78673.1
"SSBFabc",78673.1,78673.1,78673.1
"SSBFabc",78673.1,78673.1,78673.1
"SSBFabc",78673.1,78673.1,78673.1
"SSBFabc",78673.1,78673.1,78673.1
"SSBFabc",78673.1,78673.1,78673.1
"SSBFabc",78673.1,78673.1,78673.1
"SSBFofl",68839,68839,68839
"SSBFofl",68839,68839,68839
"SSBFofl",68839,68839,68839
"SSBFofl",68839,68839,68839
"SSBFofl",68839,68839,68839
"SSBFofl",68839,68839,68839
"SSBFofl",68839,68839,68839
"SSBMean",165466,160233,158685
"SSBMean",165466,160233,158685
"SSBMean",165466,160233,158685
"SSBMean",165466,160233,158685
"SSBMean",165466,160233,158685
"SSBMean",165466,160233,131262
"SSBMean",165466,160233,137407
"Catch",NA,19557900,20127100
"ABC",NA,68326400,68041000
"OFL",NA,82765500,82439600
"SSB",NA,160233000,158685000
"TotBiom",NA,595870000,583515000
