Alternative Spp Yr  ABC OFL Catch SSB F Tot_biom SPR_Implied Ntot SexRatio
1 Model_Proj.dat 2008 69880.7 84613.3 24539.8 165466 0.134 614572 0.666629 565902 0.498689
1 Model_Proj.dat 2009 68322 82760.1 19557.9 160228 0.108714 587399 0.710858 554076 0.498564
1 Model_Proj.dat 2010 67999.9 82388.8 20127.1 158656 0.112593 560075 0.703683 552677 0.498819
1 Model_Proj.dat 2011 67295.3 81531.7 13558 158587 0.0759793 533977 0.777994 554355 0.49916
1 Model_Proj.dat 2012 66862.2 80973.7 11367.5 161955 0.0638434 518376 0.806352 560487 0.499712
1 Model_Proj.dat 2008 69880.7 84613.3 24539.8 165466 0.134 614572 0.666629 565902 0.498689
1 Model_Proj.dat 2009 68325.4 82764.3 19557.9 160232 0.108709 593910 0.710868 554419 0.498565
1 Model_Proj.dat 2010 68030.4 82426.6 20127.1 158677 0.112545 576047 0.703772 553601 0.498821
1 Model_Proj.dat 2011 67447.6 81720 13558 158675 0.0758168 555431 0.778361 556147 0.499164
1 Model_Proj.dat 2012 67345.6 81570.7 11367.5 162246 0.0634099 536582 0.807405 563843 0.499717
1 Model_Proj.dat 2008 69880.7 84613.3 24539.8 165466 0.134 614572 0.666629 565902 0.498689
1 Model_Proj.dat 2009 68331.5 82771.9 19557.9 160239 0.108699 605915 0.710885 555051 0.498567
1 Model_Proj.dat 2010 68079.6 82487.5 20127.1 158709 0.112467 591901 0.703915 554588 0.498824
1 Model_Proj.dat 2011 67668.8 81993.4 13558 158797 0.0755818 569607 0.77889 557941 0.499167
1 Model_Proj.dat 2012 67958.9 82327.5 11367.5 162629 0.0628673 548188 0.808727 567598 0.499723
1 Model_Proj.dat 2008 69880.7 84613.3 24539.8 165466 0.134 614572 0.666629 565902 0.498689
1 Model_Proj.dat 2009 68326.3 82765.4 19557.9 160233 0.108707 595689 0.71087 554513 0.498565
1 Model_Proj.dat 2010 68037.2 82434.9 20127.1 158681 0.112534 577290 0.703792 553689 0.498822
1 Model_Proj.dat 2011 67476.8 81756.1 13558 158691 0.0757857 558005 0.778431 556423 0.499164
1 Model_Proj.dat 2012 67428.3 81672.7 11367.5 162302 0.0633362 547748 0.807584 564825 0.499718
1 Model_Proj.dat 2008 69880.7 84613.3 24539.8 165466 0.134 614572 0.666629 565902 0.498689
1 Model_Proj.dat 2009 68329.3 82769.2 19557.9 160236 0.108703 601597 0.710879 554824 0.498566
1 Model_Proj.dat 2010 68061 82464.4 20127.1 158697 0.112496 584350 0.703861 554136 0.498823
1 Model_Proj.dat 2011 67588.1 81893.8 13558 158755 0.0756673 574726 0.778698 557810 0.499167
1 Model_Proj.dat 2012 67762.3 82085 11367.5 162513 0.0630406 570406 0.808304 567637 0.499721
1 Model_Proj.dat 2008 69880.7 84613.3 24539.8 165466 0.134 614572 0.666629 565902 0.498689
1 Model_Proj.dat 2009 68322.5 82760.8 19557.9 160229 0.108713 588438 0.71086 554131 0.498564
1 Model_Proj.dat 2010 68006 82396.3 20127.1 158660 0.112584 564883 0.703701 552943 0.49882
1 Model_Proj.dat 2011 67330.4 81575.2 13558 158609 0.0759418 543428 0.778079 554987 0.499162
1 Model_Proj.dat 2012 66997.9 81141.4 11367.5 162037 0.0637214 537004 0.806648 562085 0.499714
1 Model_Proj.dat 2008 69880.7 84613.3 24539.8 165466 0.134 614572 0.666629 565902 0.498689
1 Model_Proj.dat 2009 68327.1 82766.4 19557.9 160234 0.108706 597312 0.710873 554598 0.498565
1 Model_Proj.dat 2010 68047.1 82447.2 20127.1 158689 0.112518 585823 0.703821 554159 0.498823
1 Model_Proj.dat 2011 67532.9 81825.5 13558 158725 0.0757261 568327 0.778565 557190 0.499166
1 Model_Proj.dat 2012 67634.6 81927.5 11367.5 162424 0.0631538 568651 0.808028 566905 0.49972
1 Model_Proj.dat 2008 69880.7 84613.3 24539.8 165466 0.134 614572 0.666629 565902 0.498689
1 Model_Proj.dat 2009 68331.7 82772.1 19557.9 160239 0.108699 606168 0.710886 555064 0.498567
1 Model_Proj.dat 2010 68083.1 82491.7 20127.1 158713 0.112461 596859 0.703925 554852 0.498824
1 Model_Proj.dat 2011 67699.1 82031 13558 158819 0.0755498 589078 0.778963 559047 0.499169
1 Model_Proj.dat 2012 68116.6 82522.5 11367.5 162725 0.0627303 583513 0.809061 570091 0.499725
1 Model_Proj.dat 2008 69880.7 84613.3 24539.8 165466 0.134 614572 0.666629 565902 0.498689
1 Model_Proj.dat 2009 68335 82776.2 19557.9 160242 0.108694 612727 0.710895 555409 0.498568
1 Model_Proj.dat 2010 68117.2 82533.9 20127.1 158738 0.112407 619621 0.704025 556134 0.498827
