"Value.SSB","StdDev.SSB","Value.Recr","StdDev.Recr","Value.SPRratio","StdDev.SPRratio","Value.F","StdDev.F","Value.Bratio","StdDev.Bratio","Value.ForeCatch","StdDev.ForeCatch","Value.OFLCatch","StdDev.OFLCatch","Value.lnSPB","StdDev.lnSPB","year","model_run","iteration","scenario"
4133350000,197048000,158502000,17946600,0.532437,0.0147374,0.0979718,0.00464253,NA,NA,NA,NA,NA,NA,22.1424,0.0476727,26,"em",1,"determinate"
3734990000,182605000,132630000,16256500,0.532916,0.0151509,0.098027,0.00476399,0.854817,0.036872,NA,NA,NA,NA,NA,NA,27,"em",1,"determinate"
3384330000,170580000,124611000,15463400,0.5321,0.0155509,0.0981414,0.00490896,0.774562,0.0348987,NA,NA,NA,NA,NA,NA,28,"em",1,"determinate"
3098160000,160354000,142333000,16379500,0.530928,0.015928,0.0981572,0.00504332,0.709067,0.0331892,NA,NA,NA,NA,NA,NA,29,"em",1,"determinate"
2857560000,151567000,125309000,14996900,0.528537,0.0162773,0.0977026,0.00514144,0.654002,0.0316902,NA,NA,NA,NA,NA,NA,30,"em",1,"determinate"
2662200000,143984000,89537300,12153400,0.52556,0.0165216,0.0972671,0.00521416,0.609289,0.0303759,NA,NA,NA,NA,NA,NA,31,"em",1,"determinate"
2509090000,137504000,105793000,13087400,0.523781,0.016711,0.0971134,0.00527931,0.574248,0.0292514,NA,NA,NA,NA,NA,NA,32,"em",1,"determinate"
2371930000,131852000,125173000,14257500,0.524747,0.0170035,0.09731,0.00537166,0.542858,0.0282578,NA,NA,NA,NA,NA,NA,33,"em",1,"determinate"
2237170000,126687000,112503000,13421300,0.528829,0.0173262,0.0985439,0.00553274,0.512015,0.0273128,NA,NA,NA,NA,NA,NA,34,"em",1,"determinate"
2119030000,121800000,115468000,13376900,0.531915,0.0175124,0.0998754,0.00568274,0.484976,0.0263891,NA,NA,NA,NA,NA,NA,35,"em",1,"determinate"
2022900000,117178000,95072100,11867500,0.533306,0.0176135,0.100637,0.00577137,0.462976,0.0255063,NA,NA,NA,NA,NA,NA,36,"em",1,"determinate"
1943490000,112995000,111780000,12890800,0.534871,0.0176534,0.101495,0.00584187,0.4448,0.0247086,NA,NA,NA,NA,NA,NA,37,"em",1,"determinate"
1874190000,109319000,89146700,11364700,0.539422,0.0177711,0.102976,0.00595006,0.428941,0.0240143,NA,NA,NA,NA,NA,NA,38,"em",1,"determinate"
