"Value.SSB","StdDev.SSB","Value.Recr","StdDev.Recr","Value.SPRratio","StdDev.SPRratio","Value.F","StdDev.F","Value.Bratio","StdDev.Bratio","Value.ForeCatch","StdDev.ForeCatch","Value.OFLCatch","StdDev.OFLCatch","Value.lnSPB","StdDev.lnSPB","year","model_run","iteration","scenario"
1808050000,106096000,94080600,11797000,0.544751,0.017879,0.104958,0.0060964,0.413804,0.0234007,NA,NA,NA,NA,NA,NA,39,"em",1,"determinate"
1745760000,103231000,119405000,13616300,0.550038,0.0180826,0.10666,0.00624952,0.399547,0.0228529,NA,NA,NA,NA,NA,NA,40,"em",1,"determinate"
1679350000,100595000,105590000,12624600,0.553105,0.0183132,0.107621,0.0063776,0.384348,0.0223303,NA,NA,NA,NA,NA,NA,41,"em",1,"determinate"
1623570000,98047500,105391000,12157400,0.55989,0.0183704,0.110454,0.00658458,0.371582,0.0218141,NA,NA,NA,NA,NA,NA,42,"em",1,"determinate"
1582670000,95637100,98198500,11634400,0.56182,0.0183485,0.11151,0.00665422,0.362221,0.0213336,NA,NA,NA,NA,NA,NA,43,"em",1,"determinate"
1550330000,93455900,112134000,12815900,0.561479,0.0182966,0.111668,0.0066494,0.35482,0.0209082,NA,NA,NA,NA,NA,NA,44,"em",1,"determinate"
1.524e+09,91641600,122534000,13527700,0.567406,0.0183097,0.1138,0.00676123,0.348794,0.0205628,NA,NA,NA,NA,NA,NA,45,"em",1,"determinate"
1499760000,90217800,89498500,11256100,0.567128,0.0182951,0.113936,0.00676017,0.343245,0.0202936,NA,NA,NA,NA,NA,NA,46,"em",1,"determinate"
1489470000,89110400,82081000,10572100,0.567456,0.0181512,0.114613,0.00676199,0.34089,0.020094,NA,NA,NA,NA,NA,NA,47,"em",1,"determinate"
1483530000,88256300,105736000,12174900,0.568314,0.0181453,0.114772,0.00675288,0.339531,0.0199497,NA,NA,NA,NA,NA,NA,48,"em",1,"determinate"
1463350000,87496500,101241000,11982400,0.571544,0.0183115,0.115389,0.00682243,0.334912,0.0198009,NA,NA,NA,NA,NA,NA,49,"em",1,"determinate"
1435720000,86557100,122077000,13191100,0.57227,0.018387,0.115684,0.00688068,0.328589,0.0195886,NA,NA,NA,NA,NA,NA,50,"em",1,"determinate"
1413950000,85335900,122810000,12968500,0.578563,0.0183579,0.118096,0.00702447,0.323606,0.0193071,NA,NA,NA,NA,NA,NA,51,"em",1,"determinate"
1399490000,83906100,91818400,11074400,0.573647,0.0181022,0.116867,0.00688813,0.320297,0.0189773,NA,NA,NA,NA,NA,NA,52,"em",1,"determinate"
1406300000,82415300,116012000,12452200,0.570988,0.0176439,0.116559,0.00672216,0.321857,0.0186491,NA,NA,NA,NA,NA,NA,53,"em",1,"determinate"
1418140000,81124400,117750000,12352600,0.572868,0.0173457,0.116983,0.00660024,0.324565,0.0183679,NA,NA,NA,NA,NA,NA,54,"em",1,"determinate"
1423680000,79982400,107413000,11496500,0.57007,0.0169966,0.11599,0.0064101,0.325835,0.0181015,NA,NA,NA,NA,NA,NA,55,"em",1,"determinate"
1436760000,78642600,113050000,11492700,0.563112,0.0165185,0.11366,0.00612024,0.328827,0.0177858,NA,NA,NA,NA,NA,NA,56,"em",1,"determinate"
1454270000,77083200,96224300,10346000,0.561337,0.0160227,0.112937,0.00589531,0.332834,0.0174149,NA,NA,NA,NA,NA,NA,57,"em",1,"determinate"
1469550000,75401800,133042000,11514700,0.553823,0.0155187,0.110285,0.00557737,0.336332,0.0170059,NA,NA,NA,NA,NA,NA,58,"em",1,"determinate"
1482980000,73748600,95304000,9040390,0.553307,0.0151229,0.109687,0.00538208,0.339405,0.0165904,NA,NA,NA,NA,NA,NA,59,"em",1,"determinate"
1495230000,72232400,102780000,8768020,0.549173,0.0146494,0.108623,0.00517249,0.342209,0.0161918,NA,NA,NA,NA,NA,NA,60,"em",1,"determinate"
1513140000,71015400,96519500,9017410,0.54462,0.0143584,0.106825,0.00496448,0.346307,0.0158691,NA,NA,NA,NA,NA,NA,61,"em",1,"determinate"
1520750000,70411000,107361000,8766610,0.544236,0.0142532,0.106444,0.00488201,0.34805,0.0156772,NA,NA,NA,NA,NA,NA,62,"em",1,"determinate"
1520510000,70178200,92667500,8635850,0.546962,0.0142526,0.107049,0.00489407,0.347996,0.015567,NA,NA,NA,NA,21.1423,0.0461543,63,"em",1,"determinate"
1513300000,70018200,114263000,9140770,0.54945,0.0143003,0.10788,0.00494413,0.346345,0.0154764,NA,NA,NA,NA,NA,NA,64,"em",1,"determinate"
1502170000,69888300,108726000,9472410,0.547519,0.0143801,0.107001,0.00493291,0.343798,0.0154014,NA,NA,NA,NA,NA,NA,65,"em",1,"determinate"
1491490000,69758200,107514000,8762380,0.5507,0.0144331,0.10828,0.00501227,0.341352,0.0153312,NA,NA,NA,NA,NA,NA,66,"em",1,"determinate"
1487750000,69711900,92053900,8584520,0.550532,0.0144262,0.108423,0.00502724,0.340497,0.0152915,NA,NA,NA,NA,NA,NA,67,"em",1,"determinate"
1487980000,69663400,120838000,9320820,0.551936,0.0144276,0.10905,0.00505604,0.34055,0.0152639,NA,NA,NA,NA,NA,NA,68,"em",1,"determinate"
1485080000,69663400,85981600,8368680,0.55168,0.014479,0.108685,0.00505051,0.339886,0.0152516,NA,NA,NA,NA,NA,NA,69,"em",1,"determinate"
1482080000,69678000,105307000,8618530,0.555182,0.014491,0.110205,0.00512763,0.339198,0.0152432,NA,NA,NA,NA,NA,NA,70,"em",1,"determinate"
1479080000,69718100,96072000,8710620,0.55261,0.0145537,0.109016,0.00509333,0.338513,0.0152423,NA,NA,NA,NA,NA,NA,71,"em",1,"determinate"
1469310000,69628700,104310000,8476400,0.556464,0.0146214,0.110321,0.00517651,0.336277,0.0152069,NA,NA,NA,NA,NA,NA,72,"em",1,"determinate"
1458020000,69438000,110117000,9279580,0.555484,0.0146762,0.109883,0.00518241,0.333693,0.0151511,NA,NA,NA,NA,NA,NA,73,"em",1,"determinate"
1446590000,69146800,100987000,8357440,0.561816,0.0147349,0.112152,0.00530673,0.331077,0.0150743,NA,NA,NA,NA,NA,NA,74,"em",1,"determinate"
1437830000,68943000,114365000,9613570,0.557766,0.014743,0.110993,0.00526617,0.329072,0.0150209,NA,NA,NA,NA,NA,NA,75,"em",1,"determinate"
1436030000,68869700,97130700,8308850,0.55934,0.0147852,0.111575,0.0052986,0.328659,0.0150027,NA,NA,NA,NA,NA,NA,76,"em",1,"determinate"
1436970000,69034400,95804000,8835260,0.560499,0.0147928,0.11225,0.00533537,0.328874,0.0150354,NA,NA,NA,NA,NA,NA,77,"em",1,"determinate"
1440220000,69316000,111396000,9115730,0.55792,0.0148488,0.111262,0.00530469,0.329619,0.0150924,NA,NA,NA,NA,NA,NA,78,"em",1,"determinate"
1438280000,69581700,118687000,10015000,0.561632,0.0149381,0.112318,0.00538081,0.329176,0.0151407,NA,NA,NA,NA,NA,NA,79,"em",1,"determinate"
1433610000,69801000,106754000,8826630,0.561561,0.0150104,0.112384,0.0054129,0.328105,0.015172,NA,NA,NA,NA,NA,NA,80,"em",1,"determinate"
1437670000,70083200,106173000,9295050,0.556346,0.0149524,0.11091,0.0053436,0.329035,0.0152169,NA,NA,NA,NA,NA,NA,81,"em",1,"determinate"
1450480000,70343000,88589900,7920560,0.555694,0.0149027,0.110756,0.00531636,0.331967,0.0152617,NA,NA,NA,NA,NA,NA,82,"em",1,"determinate"
1461910000,70699200,93553100,8757630,0.55598,0.0148785,0.110829,0.00530734,0.334583,0.0153263,NA,NA,NA,NA,NA,NA,83,"em",1,"determinate"
1465230000,71019500,104150000,8617680,0.555554,0.0149806,0.110262,0.00530032,0.335343,0.015377,NA,NA,NA,NA,NA,NA,84,"em",1,"determinate"
1455980000,71253000,102143000,9086020,0.556601,0.0151224,0.110271,0.00534736,0.333225,0.0153932,NA,NA,NA,NA,NA,NA,85,"em",1,"determinate"
1442810000,71339600,107371000,8843460,0.560714,0.0152703,0.111712,0.00547101,0.330212,0.0153651,NA,NA,NA,NA,NA,NA,86,"em",1,"determinate"
1430430000,71453600,100815000,9216330,0.562997,0.0154135,0.112601,0.00557108,0.327378,0.0153376,NA,NA,NA,NA,NA,NA,87,"em",1,"determinate"
1421270000,71739300,101573000,8694530,0.565332,0.0155905,0.113656,0.00568407,0.325282,0.0153407,NA,NA,NA,NA,NA,NA,88,"em",1,"determinate"
1415380000,72397200,111536000,9837140,0.56362,0.0158103,0.113123,0.00573527,0.323934,0.0154167,NA,NA,NA,NA,NA,NA,89,"em",1,"determinate"
1411180000,73376300,102281000,8972310,0.566767,0.0161075,0.114249,0.00588937,0.322972,0.0155517,NA,NA,NA,NA,NA,NA,90,"em",1,"determinate"
1409130000,74782000,104076000,9880310,0.565474,0.0164328,0.11401,0.00599758,0.322504,0.0157689,NA,NA,NA,NA,NA,NA,91,"em",1,"determinate"
1411920000,76689100,98158600,9275370,0.564476,0.0168758,0.113682,0.00612934,0.323143,0.0160836,NA,NA,NA,NA,NA,NA,92,"em",1,"determinate"
1414340000,79213500,99239600,10484900,0.564904,0.0174458,0.113838,0.00633277,0.323697,0.0165241,NA,NA,NA,NA,NA,NA,93,"em",1,"determinate"
1414530000,82403000,108473000,10932800,0.563976,0.0182201,0.113375,0.00656841,0.32374,0.0171021,NA,NA,NA,NA,NA,NA,94,"em",1,"determinate"
1411160000,86367300,109268000,12496500,0.5656,0.0192048,0.113816,0.00693179,0.322969,0.0178494,NA,NA,NA,NA,NA,NA,95,"em",1,"determinate"
1407480000,91366100,95611800,11481600,0.566166,0.0204267,0.114123,0.00737659,0.322127,0.0188223,NA,NA,NA,NA,NA,NA,96,"em",1,"determinate"
1408610000,97854900,111593000,15494200,0.567037,0.0219374,0.114643,0.0079384,0.322384,0.0201281,NA,NA,NA,NA,NA,NA,97,"em",1,"determinate"
1409350000,105967000,95151700,14668900,0.566894,0.0238616,0.114431,0.00858785,0.322554,0.0218152,NA,NA,NA,NA,NA,NA,98,"em",1,"determinate"
1409010000,115992000,115344000,35533300,0.5664,0.0262335,0.114406,0.009407,0.322475,0.0239538,NA,NA,NA,NA,NA,NA,99,"em",1,"determinate"
1409950000,128382000,107017000,43050200,0.569465,0.029117,0.115322,0.0104807,0.322691,0.0266429,NA,NA,NA,NA,21.0668,0.0910543,100,"em",1,"determinate"
1408650000,142533000,108619000,43745700,0,0,0,0,0.322394,0.029677,0,0,165472000,3315470,NA,NA,101,"em",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1304,0,1,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,"om",1,"determinate"
4084180000,0,132223000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,"om",1,"determinate"
4084180000,0,132223000,0,0.536766,0,0.0994456,0,NA,NA,NA,NA,NA,NA,NA,NA,26,"om",1,"determinate"
3681290000,0,130303000,0,0.536766,0,0.0995262,0,0.901353,0,NA,NA,NA,NA,NA,NA,27,"om",1,"determinate"
3330940000,0,128317000,0,0.536766,0,0.0997299,0,0.815572,0,NA,NA,NA,NA,NA,NA,28,"om",1,"determinate"
3032940000,0,126329000,0,0.536766,0,0.100033,0,0.742605,0,NA,NA,NA,NA,NA,NA,29,"om",1,"determinate"
2783670000,0,124399000,0,0.536766,0,0.100398,0,0.681572,0,NA,NA,NA,NA,NA,NA,30,"om",1,"determinate"
2577780000,0,122580000,0,0.536766,0,0.100789,0,0.63116,0,NA,NA,NA,NA,NA,NA,31,"om",1,"determinate"
2409030000,0,120905000,0,0.536766,0,0.101177,0,0.589843,0,NA,NA,NA,NA,NA,NA,32,"om",1,"determinate"
2271180000,0,119393000,0,0.536766,0,0.101539,0,0.556091,0,NA,NA,NA,NA,NA,NA,33,"om",1,"determinate"
2158510000,0,118046000,0,0.536766,0,0.101864,0,0.528505,0,NA,NA,NA,NA,NA,NA,34,"om",1,"determinate"
2066110000,0,116858000,0,0.536766,0,0.102147,0,0.50588,0,NA,NA,NA,NA,NA,NA,35,"om",1,"determinate"
1989910000,0,115815000,0,0.536766,0,0.10239,0,0.487223,0,NA,NA,NA,NA,NA,NA,36,"om",1,"determinate"
1926660000,0,114902000,0,0.536766,0,0.102596,0,0.471737,0,NA,NA,NA,NA,NA,NA,37,"om",1,"determinate"
1873800000,0,114104000,0,0.536766,0,0.10277,0,0.458793,0,NA,NA,NA,NA,NA,NA,38,"om",1,"determinate"
1829310000,0,113405000,0,0.536766,0,0.102918,0,0.4479,0,NA,NA,NA,NA,NA,NA,39,"om",1,"determinate"
1791640000,0,112794000,0,0.536766,0,0.103043,0,0.438678,0,NA,NA,NA,NA,NA,NA,40,"om",1,"determinate"
1759570000,0,112258000,0,0.536766,0,0.103149,0,0.430826,0,NA,NA,NA,NA,NA,NA,41,"om",1,"determinate"
1732140000,0,111789000,0,0.536766,0,0.103241,0,0.424109,0,NA,NA,NA,NA,NA,NA,42,"om",1,"determinate"
1708590000,0,111377000,0,0.536766,0,0.103319,0,0.418342,0,NA,NA,NA,NA,NA,NA,43,"om",1,"determinate"
1688290000,0,111015000,0,0.536766,0,0.103387,0,0.413373,0,NA,NA,NA,NA,NA,NA,44,"om",1,"determinate"
1670760000,0,110697000,0,0.536766,0,0.103446,0,0.40908,0,NA,NA,NA,NA,NA,NA,45,"om",1,"determinate"
1655580000,0,110419000,0,0.536766,0,0.103497,0,0.405363,0,NA,NA,NA,NA,NA,NA,46,"om",1,"determinate"
1642400000,0,110173000,0,0.536766,0,0.103541,0,0.402137,0,NA,NA,NA,NA,NA,NA,47,"om",1,"determinate"
1630950000,0,109958000,0,0.536766,0,0.10358,0,0.399333,0,NA,NA,NA,NA,NA,NA,48,"om",1,"determinate"
1620980000,0,109769000,0,0.536766,0,0.103614,0,0.396892,0,NA,NA,NA,NA,NA,NA,49,"om",1,"determinate"
1612290000,0,109602000,0,0.536766,0,0.103643,0,0.394764,0,NA,NA,NA,NA,21.2009,0,50,"om",1,"determinate"
1604710000,0,109456000,0,0.536766,0,0.103669,0,0.392907,0,NA,NA,NA,NA,NA,NA,51,"om",1,"determinate"
1598080000,0,109328000,0,0.536766,0,0.103692,0,0.391286,0,NA,NA,NA,NA,NA,NA,52,"om",1,"determinate"
1592290000,0,109215000,0,0.536766,0,0.103711,0,0.389867,0,NA,NA,NA,NA,NA,NA,53,"om",1,"determinate"
1587220000,0,109115000,0,0.536766,0,0.103729,0,0.388627,0,NA,NA,NA,NA,NA,NA,54,"om",1,"determinate"
1582790000,0,109028000,0,0.536766,0,0.103744,0,0.38754,0,NA,NA,NA,NA,NA,NA,55,"om",1,"determinate"
1578900000,0,108951000,0,0.536766,0,0.103757,0,0.386589,0,NA,NA,NA,NA,NA,NA,56,"om",1,"determinate"
1575490000,0,108884000,0,0.536766,0,0.103769,0,0.385754,0,NA,NA,NA,NA,NA,NA,57,"om",1,"determinate"
1572500000,0,108824000,0,0.536766,0,0.103779,0,0.385023,0,NA,NA,NA,NA,NA,NA,58,"om",1,"determinate"
1569880000,0,108772000,0,0.536766,0,0.103788,0,0.384381,0,NA,NA,NA,NA,NA,NA,59,"om",1,"determinate"
1567580000,0,108726000,0,0.536766,0,0.103796,0,0.383818,0,NA,NA,NA,NA,NA,NA,60,"om",1,"determinate"
1565560000,0,108686000,0,0.536766,0,0.103803,0,0.383324,0,NA,NA,NA,NA,NA,NA,61,"om",1,"determinate"
1563790000,0,108650000,0,0.536766,0,0.103809,0,0.38289,0,NA,NA,NA,NA,NA,NA,62,"om",1,"determinate"
1562230000,0,108619000,0,0.536766,0,0.103814,0,0.382508,0,NA,NA,NA,NA,NA,NA,63,"om",1,"determinate"
1560870000,0,108591000,0,0.536766,0,0.103819,0,0.382173,0,NA,NA,NA,NA,NA,NA,64,"om",1,"determinate"
1559670000,0,108567000,0,0.536766,0,0.103823,0,0.381879,0,NA,NA,NA,NA,NA,NA,65,"om",1,"determinate"
1558610000,0,108546000,0,0.536766,0,0.103827,0,0.381621,0,NA,NA,NA,NA,NA,NA,66,"om",1,"determinate"
1557680000,0,108527000,0,0.536766,0,0.10383,0,0.381393,0,NA,NA,NA,NA,NA,NA,67,"om",1,"determinate"
1556870000,0,108511000,0,0.536766,0,0.103833,0,0.381194,0,NA,NA,NA,NA,NA,NA,68,"om",1,"determinate"
1556150000,0,108496000,0,0.536766,0,0.103835,0,0.381018,0,NA,NA,NA,NA,NA,NA,69,"om",1,"determinate"
1555520000,0,108483000,0,0.536766,0,0.103837,0,0.380864,0,NA,NA,NA,NA,NA,NA,70,"om",1,"determinate"
1554960000,0,108472000,0,0.536766,0,0.103839,0,0.380728,0,NA,NA,NA,NA,NA,NA,71,"om",1,"determinate"
1554480000,0,108462000,0,0.536766,0,0.103841,0,0.380609,0,NA,NA,NA,NA,NA,NA,72,"om",1,"determinate"
1554050000,0,108454000,0,0.536766,0,0.103842,0,0.380504,0,NA,NA,NA,NA,NA,NA,73,"om",1,"determinate"
1553670000,0,108446000,0,0.536766,0,0.103844,0,0.380411,0,NA,NA,NA,NA,NA,NA,74,"om",1,"determinate"
1553340000,0,108439000,0,0.536766,0,0.103845,0,0.38033,0,NA,NA,NA,NA,NA,NA,75,"om",1,"determinate"
1553050000,0,108433000,0,0.536766,0,0.103846,0,0.380259,0,NA,NA,NA,NA,NA,NA,76,"om",1,"determinate"
1552790000,0,108428000,0,0.536766,0,0.103847,0,0.380196,0,NA,NA,NA,NA,NA,NA,77,"om",1,"determinate"
1552570000,0,108424000,0,0.536766,0,0.103848,0,0.380141,0,NA,NA,NA,NA,NA,NA,78,"om",1,"determinate"
1552370000,0,108419000,0,0.536766,0,0.103848,0,0.380092,0,NA,NA,NA,NA,NA,NA,79,"om",1,"determinate"
1552190000,0,108416000,0,0.536766,0,0.103849,0,0.38005,0,NA,NA,NA,NA,NA,NA,80,"om",1,"determinate"
1552040000,0,108413000,0,0.536766,0,0.103849,0,0.380012,0,NA,NA,NA,NA,NA,NA,81,"om",1,"determinate"
1551900000,0,108410000,0,0.536766,0,0.10385,0,0.379979,0,NA,NA,NA,NA,NA,NA,82,"om",1,"determinate"
1551790000,0,108408000,0,0.536766,0,0.10385,0,0.37995,0,NA,NA,NA,NA,NA,NA,83,"om",1,"determinate"
1551680000,0,108406000,0,0.536766,0,0.103851,0,0.379924,0,NA,NA,NA,NA,NA,NA,84,"om",1,"determinate"
1551590000,0,108404000,0,0.536766,0,0.103851,0,0.379902,0,NA,NA,NA,NA,NA,NA,85,"om",1,"determinate"
1551510000,0,108402000,0,0.536766,0,0.103851,0,0.379882,0,NA,NA,NA,NA,NA,NA,86,"om",1,"determinate"
1551440000,0,108401000,0,0.536766,0,0.103851,0,0.379865,0,NA,NA,NA,NA,NA,NA,87,"om",1,"determinate"
1551370000,0,108399000,0,0.536766,0,0.103852,0,0.379849,0,NA,NA,NA,NA,NA,NA,88,"om",1,"determinate"
1551320000,0,108398000,0,0.536766,0,0.103852,0,0.379836,0,NA,NA,NA,NA,NA,NA,89,"om",1,"determinate"
1551270000,0,108397000,0,0.536766,0,0.103852,0,0.379824,0,NA,NA,NA,NA,NA,NA,90,"om",1,"determinate"
1551230000,0,108396000,0,0.536766,0,0.103852,0,0.379814,0,NA,NA,NA,NA,NA,NA,91,"om",1,"determinate"
1551190000,0,108396000,0,0.536766,0,0.103852,0,0.379804,0,NA,NA,NA,NA,NA,NA,92,"om",1,"determinate"
1551160000,0,108395000,0,0.536766,0,0.103852,0,0.379796,0,NA,NA,NA,NA,NA,NA,93,"om",1,"determinate"
1551130000,0,108394000,0,0.536766,0,0.103852,0,0.379789,0,NA,NA,NA,NA,NA,NA,94,"om",1,"determinate"
1551100000,0,108394000,0,0.536766,0,0.103853,0,0.379783,0,NA,NA,NA,NA,NA,NA,95,"om",1,"determinate"
1551080000,0,108393000,0,0.536766,0,0.103853,0,0.379777,0,NA,NA,NA,NA,NA,NA,96,"om",1,"determinate"
1551060000,0,108393000,0,0.536766,0,0.103853,0,0.379773,0,NA,NA,NA,NA,NA,NA,97,"om",1,"determinate"
1551040000,0,108393000,0,0.536766,0,0.103853,0,0.379768,0,NA,NA,NA,NA,NA,NA,98,"om",1,"determinate"
1551030000,0,108392000,0,0.536766,0,0.103853,0,0.379765,0,NA,NA,NA,NA,NA,NA,99,"om",1,"determinate"
1551020000,0,108392000,0,0.536766,0,0.103853,0,0.379761,0,NA,NA,NA,NA,21.1622,0,100,"om",1,"determinate"
1.551e+09,0,108392000,0,1.11022e-16,0,0,0,0.379759,0,0,0,163497000,0,NA,NA,101,"om",1,"determinate"
4131150000,200253000,139812000,16865700,0.528894,0.0149449,0.0983971,0.00474688,NA,NA,NA,NA,NA,NA,22.1418,0.0484738,26,"em",2,"determinate"
3706510000,185291000,151301000,17692400,0.529137,0.0154479,0.0982843,0.00488659,0.848857,0.0368699,NA,NA,NA,NA,NA,NA,27,"em",2,"determinate"
3329330000,172770000,131822000,16297700,0.532516,0.0160044,0.0995249,0.00512863,0.762474,0.0347817,NA,NA,NA,NA,NA,NA,28,"em",2,"determinate"
3016570000,161990000,143157000,16828400,0.534301,0.0164855,0.100654,0.00536238,0.690847,0.0329352,NA,NA,NA,NA,NA,NA,29,"em",2,"determinate"
2766070000,152787000,121483000,15347000,0.53667,0.0169171,0.101922,0.00558363,0.633478,0.0313327,NA,NA,NA,NA,NA,NA,30,"em",2,"determinate"
2564790000,145024000,129117000,15325400,0.530208,0.0172171,0.100462,0.00562983,0.587382,0.0299744,NA,NA,NA,NA,NA,NA,31,"em",2,"determinate"
2411160000,138615000,136044000,15365500,0.533569,0.0175201,0.101895,0.00580746,0.552198,0.0288582,NA,NA,NA,NA,NA,NA,32,"em",2,"determinate"
2280680000,133272000,103114000,13240900,0.527478,0.0177372,0.100263,0.00580275,0.522315,0.0279331,NA,NA,NA,NA,NA,NA,33,"em",2,"determinate"
2182230000,128792000,102021000,13153500,0.525904,0.0178891,0.100212,0.00585944,0.499768,0.027167,NA,NA,NA,NA,NA,NA,34,"em",2,"determinate"
2099940000,125204000,112615000,13793800,0.528376,0.0181546,0.101022,0.00597641,0.480923,0.0265684,NA,NA,NA,NA,NA,NA,35,"em",2,"determinate"
2013680000,122169000,113211000,14057300,0.530599,0.0185204,0.101599,0.00611327,0.461169,0.0260544,NA,NA,NA,NA,NA,NA,36,"em",2,"determinate"
1929790000,119360000,156092000,16895700,0.53363,0.0188644,0.102645,0.00628925,0.441956,0.0255515,NA,NA,NA,NA,NA,NA,37,"em",2,"determinate"
