Stock Year Catch ABC OFL SSB TotBiom
BSAI_flats 2019 12.936 66.6245 80.9178 153.203 673.718
BSAI_flats 2020 12.936 68.4476 83.1896 155.032 686.431
BSAI_flats 2021 71.1604 71.1604 86.53 161.082 693.265
BSAI_flats 2022 64.9477 64.9477 79.0493 145.453 644.52
BSAI_flats 2023 60.29 60.29 73.4166 135.823 603.911
BSAI_flats 2024 56.2854 56.2854 68.5511 128.672 570.042
BSAI_flats 2025 52.6033 52.6033 64.0688 121.19 542.265
BSAI_flats 2026 49.3194 49.3194 60.0717 113.218 520.274
BSAI_flats 2027 46.4998 46.4998 56.6454 105.791 503.8
BSAI_flats 2028 44.0845 44.0845 53.7182 99.7085 491.444
BSAI_flats 2029 41.9647 41.9647 51.1568 95.1571 482.502
BSAI_flats 2030 40.3841 40.3841 49.2495 92.0079 475.872
BSAI_flats 2031 39.3396 39.3396 47.9906 89.9721 471.351
