Alternative Spp Yr  ABC OFL Catch SSB F Tot_biom SPR_Implied Ntot SexRatio
1 Model_Proj.dat 2020 62201.8 75416.2 8555.53 148075 0.0464685 674281 0.837767 521287 0.496085
1 Model_Proj.dat 2021 65152.8 79044.1 0 153862 0 689977 1 553687 0.49678
1 Model_Proj.dat 2022 70632.6 85728.3 0 166326 0 698558 1 603605 0.497887
1 Model_Proj.dat 2023 76507.5 92870 0 181234 0 698509 1 659450 0.498634
1 Model_Proj.dat 2024 81755 99207.6 0 198700 0 694217 1 717383 0.499111
1 Model_Proj.dat 2020 62201.8 75416.2 8555.53 148075 0.0464685 674281 0.837767 521287 0.496085
1 Model_Proj.dat 2021 65155.6 79047.6 0 153866 0 697118 1 554057 0.496782
1 Model_Proj.dat 2022 70659.1 85761.1 0 166349 0 715811 1 604602 0.49789
1 Model_Proj.dat 2023 76640.7 93034.8 0 181324 0 721311 1 661374 0.498638
1 Model_Proj.dat 2024 82191.5 99747.1 0 198991 0 713181 1 720963 0.499115
1 Model_Proj.dat 2020 62201.8 75416.2 8555.53 148075 0.0464685 674281 0.837767 521287 0.496085
1 Model_Proj.dat 2021 65161 79054.3 0 153874 0 710485 1 554749 0.496786
1 Model_Proj.dat 2022 70702.6 85815 0 166383 0 733027 1 605687 0.497894
1 Model_Proj.dat 2023 76837.7 93278.5 0 181448 0 736586 1 663337 0.498642
1 Model_Proj.dat 2024 82762.1 100452 0 199379 0 725909 1 725046 0.49912
1 Model_Proj.dat 2020 62201.8 75416.2 8555.53 148075 0.0464685 674281 0.837767 521287 0.496085
1 Model_Proj.dat 2021 65156.4 79048.6 0 153867 0 699087 1 554159 0.496783
1 Model_Proj.dat 2022 70665 85768.4 0 166353 0 717114 1 604698 0.49789
1 Model_Proj.dat 2023 76666.6 93066.8 0 181340 0 724100 1 661673 0.498638
1 Model_Proj.dat 2024 82267.9 99841.5 0 199048 0 725408 1 722023 0.499116
1 Model_Proj.dat 2020 62201.8 75416.2 8555.53 148075 0.0464685 674281 0.837767 521287 0.496085
1 Model_Proj.dat 2021 65159.1 79051.9 0 153871 0 705659 1 554499 0.496785
1 Model_Proj.dat 2022 70686.1 85794.5 0 166370 0 724768 1 605189 0.497892
1 Model_Proj.dat 2023 76765.6 93189.3 0 181406 0 742455 1 663188 0.498642
1 Model_Proj.dat 2024 82576.9 100223 0 199264 0 750040 1 725084 0.49912
1 Model_Proj.dat 2020 62201.8 75416.2 8555.53 148075 0.0464685 674281 0.837767 521287 0.496085
1 Model_Proj.dat 2021 65153.2 79044.6 0 153863 0 691108 1 553745 0.49678
1 Model_Proj.dat 2022 70637.8 85734.7 0 166331 0 703780 1 603892 0.497888
1 Model_Proj.dat 2023 76538.1 92907.8 0 181257 0 708670 1 660130 0.498635
1 Model_Proj.dat 2024 81875.7 99356.8 0 198783 0 714325 1 719102 0.499113
1 Model_Proj.dat 2020 62201.8 75416.2 8555.53 148075 0.0464685 674281 0.837767 521287 0.496085
1 Model_Proj.dat 2021 65157.2 79049.5 0 153868 0 700888 1 554252 0.496783
1 Model_Proj.dat 2022 70673.7 85779.2 0 166362 0 726495 1 605210 0.497892
1 Model_Proj.dat 2023 76716.1 93128 0 181375 0 735174 1 662507 0.49864
1 Model_Proj.dat 2024 82453.9 100071 0 199173 0 748183 1 724282 0.499119
1 Model_Proj.dat 2020 62201.8 75416.2 8555.53 148075 0.0464685 674281 0.837767 521287 0.496085
1 Model_Proj.dat 2021 65161.1 79054.5 0 153874 0 710768 1 554764 0.496786
1 Model_Proj.dat 2022 70705.6 85818.6 0 166387 0 738460 1 605972 0.497895
1 Model_Proj.dat 2023 76864.2 93311.3 0 181472 0 757769 1 664532 0.498644
1 Model_Proj.dat 2024 82901 100624 0 199479 0 763855 1 727736 0.499123
1 Model_Proj.dat 2020 62201.8 75416.2 8555.53 148075 0.0464685 674281 0.837767 521287 0.496085
1 Model_Proj.dat 2021 65164.1 79058.1 0 153878 0 718122 1 555145 0.496789
1 Model_Proj.dat 2022 70735.8 85856.1 0 166415 0 763576 1 607380 0.4979
1 Model_Proj.dat 2023 77024.4 93509.5 0 181582 0 788536 1 666997 0.498649
1 Model_Proj.dat 2024 83455.8 101310 0 199848 0 799177 1 732853 0.499129
1 Model_Proj.dat 2020 62201.8 75416.2 8555.53 148075 0.0464685 674281 0.837767 521287 0.496085
1 Model_Proj.dat 2021 65152.3 79043.5 0 153861 0 688856 1 553629 0.49678
1 Model_Proj.dat 2022 70629.8 85724.8 0 166324 0 699112 1 603617 0.497887
1 Model_Proj.dat 2023 76496.4 92856.3 0 181228 0 697107 1 659308 0.498634
1 Model_Proj.dat 2024 81725.8 99171.6 0 198676 0 687066 1 716862 0.49911
1 Model_Proj.dat 2020 62201.8 75416.2 8555.53 148075 0.0464685 674281 0.837767 521287 0.496085
1 Model_Proj.dat 2021 65159 79051.8 0 153871 0 705416 1 554487 0.496785
1 Model_Proj.dat 2022 70685.4 85793.7 0 166369 0 724768 1 605186 0.497892
1 Model_Proj.dat 2023 76759.5 93181.8 0 181399 0 733841 1 662725 0.498641
1 Model_Proj.dat 2024 82537.6 100175 0 199230 0 726457 1 723701 0.499118
1 Model_Proj.dat 2020 62201.8 75416.2 8555.53 148075 0.0464685 674281 0.837767 521287 0.496085
1 Model_Proj.dat 2021 65153.9 79045.4 0 153864 0 692694 1 553828 0.496781
1 Model_Proj.dat 2022 70647.7 85747 0 166342 0 717480 1 604624 0.49789
