"Seas","Bio_smry","SpawnBio","Recruit_0","retainB_1","retainN_1","deadB_1","deadN_1","F_1","SPRratio","rec_dev","raw_rec_dev","year","model_run","iteration","scenario"
1,1431420000,1409950000,107017000,165074000,25899200,165074000,25899200,0.116936,0.569465,-0.015165,-0.015165,100,"em",1,"determinate"
1,1432300000,1408650000,108619000,0,0,0,0,0,0,0,0,101,"em",1,"determinate"
1,4162630000,4133350000,158502000,407821000,44133800,407821000,44133800,0.103402,0.532437,0.208424,0.208424,26,"em",1,"determinate"
1,3762270000,3734990000,132630000,368804000,40109500,368804000,40109500,0.103567,0.532916,0.0451722,0.0451722,27,"em",1,"determinate"
1,3415860000,3384330000,124611000,335237000,38733200,335237000,38733200,0.103286,0.5321,-0.00137085,-0.00137085,28,"em",1,"determinate"
1,3125960000,3098160000,142333000,306835000,36517700,306835000,36517700,0.102884,0.530928,0.146932,0.146932,29,"em",1,"determinate"
1,2885080000,2857560000,125309000,281880000,34405100,281880000,34405100,0.102068,0.528537,0.0345779,0.0345779,30,"em",1,"determinate"
1,2691090000,2662200000,89537300,261755000,33413600,261755000,33413600,0.10106,0.52556,-0.287545,-0.287545,31,"em",1,"determinate"
1,2533580000,2509090000,105793000,246045000,31732400,246045000,31732400,0.100462,0.523781,-0.10838,-0.10838,32,"em",1,"determinate"
1,2392230000,2371930000,125173000,232788000,29134300,232788000,29134300,0.100787,0.524747,0.0720775,0.0720775,33,"em",1,"determinate"
1,2260590000,2237170000,112503000,222767000,28288600,222767000,28288600,0.102167,0.528829,-0.0213077,-0.0213077,34,"em",1,"determinate"
1,2144530000,2119030000,115468000,214186000,28504600,214186000,28504600,0.103223,0.531915,0.0176156,0.0176156,35,"em",1,"determinate"
1,2046990000,2022900000,95072100,206003000,28043700,206003000,28043700,0.103702,0.533306,-0.165272,-0.165272,36,"em",1,"determinate"
1,1966640000,1943490000,111780000,199605000,27662800,199605000,27662800,0.104243,0.534871,0.00684714,0.00684714,37,"em",1,"determinate"
1,1895510000,1874190000,89146700,195193000,26811900,195193000,26811900,0.105833,0.539422,-0.209865,-0.209865,38,"em",1,"determinate"
