"Seas","Bio_smry","SpawnBio","Recruit_0","retainB_1","retainN_1","deadB_1","deadN_1","F_1","SPRratio","rec_dev","raw_rec_dev","year","model_run","iteration","scenario"
1,1830150000,1808050000,94080600,192090000,26854000,192090000,26854000,0.107724,0.544751,-0.146309,-0.146309,39,"em",1,"determinate"
1,1765120000,1745760000,119405000,188268000,25921600,188268000,25921600,0.109632,0.550038,0.101759,0.101759,40,"em",1,"determinate"
1,1700730000,1679350000,105590000,183034000,25502200,183034000,25502200,0.110754,0.553105,-0.0101711,-0.0101711,41,"em",1,"determinate"
1,1647700000,1623570000,105391000,181996000,26748100,181996000,26748100,0.113277,0.55989,-0.00221319,-0.00221319,42,"em",1,"determinate"
1,1605080000,1582670000,98198500,178982000,26742900,178982000,26742900,0.114005,0.56182,-0.0652994,-0.0652994,43,"em",1,"determinate"
1,1572160000,1550330000,112134000,175559000,26447000,175559000,26447000,0.113876,0.561479,0.0736511,0.0736511,44,"em",1,"determinate"
1,1545660000,1.524e+09,122534000,175895000,26497000,175895000,26497000,0.116139,0.567406,0.167594,0.167594,45,"em",1,"determinate"
1,1523930000,1499760000,89498500,173630000,26913400,173630000,26913400,0.116032,0.567128,-0.141597,-0.141597,46,"em",1,"determinate"
1,1513220000,1489470000,82081000,173434000,27561500,173434000,27561500,0.116158,0.567456,-0.225959,-0.225959,47,"em",1,"determinate"
1,1502300000,1483530000,105736000,172422000,26284600,172422000,26284600,0.11649,0.568314,0.0285276,0.0285276,48,"em",1,"determinate"
1,1482200000,1463350000,101241000,171030000,25239400,171030000,25239400,0.117746,0.571544,-0.0105855,-0.0105855,49,"em",1,"determinate"
1,1457540000,1435720000,122077000,168613000,25534500,168613000,25534500,0.11803,0.57227,0.182651,0.182651,50,"em",1,"determinate"
1,1436610000,1413950000,122810000,169658000,26272800,169658000,26272800,0.120523,0.578563,0.193572,0.193572,51,"em",1,"determinate"
1,1425080000,1399490000,91818400,166545000,27108800,166545000,27108800,0.118571,0.573647,-0.0939082,-0.0939082,52,"em",1,"determinate"
1,1430320000,1406300000,116012000,166717000,27644100,166717000,27644100,0.117528,0.570988,0.13839,0.13839,53,"em",1,"determinate"
1,1439290000,1418140000,117750000,168373000,26932100,168373000,26932100,0.118264,0.572868,0.150532,0.150532,54,"em",1,"determinate"
1,1448050000,1423680000,107413000,167960000,27247000,167960000,27247000,0.117171,0.57007,0.0573923,0.0573923,55,"em",1,"determinate"
1,1460960000,1436760000,113050000,166053000,27162500,166053000,27162500,0.114495,0.563112,0.10559,0.10559,56,"em",1,"determinate"
1,1477390000,1454270000,96224300,166852000,26942000,166852000,26942000,0.113823,0.561337,-0.0594289,-0.0594289,57,"em",1,"determinate"
1,1492350000,1469550000,133042000,164584000,26378900,164584000,26378900,0.111019,0.553823,0.26124,0.26124,58,"em",1,"determinate"
1,1505710000,1482980000,95304000,165156000,25924600,165156000,25924600,0.110829,0.553307,-0.0752244,-0.0752244,59,"em",1,"determinate"
1,1520690000,1495230000,102780000,165181000,26758600,165181000,26758600,0.109318,0.549173,-0.0022802,-0.0022802,60,"em",1,"determinate"
1,1534080000,1513140000,96519500,163879000,25569400,163879000,25569400,0.107677,0.54462,-0.0688342,-0.0688342,61,"em",1,"determinate"
1,1542040000,1520750000,107361000,164141000,25154300,164141000,25154300,0.10754,0.544236,0.0360622,0.0360622,62,"em",1,"determinate"
1,1541630000,1520510000,92667500,165030000,24896300,165030000,24896300,0.108518,0.546962,-0.111067,-0.111067,63,"em",1,"determinate"
1,1534990000,1513300000,114263000,165595000,25120700,165595000,25120700,0.109418,0.54945,0.0998893,0.0998893,64,"em",1,"determinate"
1,1523210000,1502170000,108726000,162984000,24464500,162984000,24464500,0.108719,0.547519,0.0525106,0.0525106,65,"em",1,"determinate"
1,1515090000,1491490000,107514000,164054000,25344400,164054000,25344400,0.109874,0.5507,0.0435302,0.0435302,66,"em",1,"determinate"
1,1510690000,1487750000,92053900,163794000,25561400,163794000,25561400,0.109812,0.550532,-0.110931,-0.110931,67,"em",1,"determinate"
1,1509780000,1487980000,120838000,164641000,25628200,164641000,25628200,0.110325,0.551936,0.161099,0.161099,68,"em",1,"determinate"
1,1506430000,1485080000,85981600,163727000,25022200,163727000,25022200,0.110232,0.55168,-0.178608,-0.178608,69,"em",1,"determinate"
1,1505210000,1482080000,105307000,165882000,25979000,165882000,25979000,0.111521,0.555182,0.0247774,0.0247774,70,"em",1,"determinate"
1,1498750000,1479080000,96072000,163387000,24737600,163387000,24737600,0.110572,0.55261,-0.066371,-0.066371,71,"em",1,"determinate"
1,1490820000,1469310000,104310000,164469000,25075000,164469000,25075000,0.111996,0.556464,0.0179905,0.0179905,72,"em",1,"determinate"
1,1478900000,1458020000,110117000,162505000,24672000,162505000,24672000,0.111633,0.555484,0.0746149,0.0746149,73,"em",1,"determinate"
1,1468900000,1446590000,100987000,164740000,25383300,164740000,25383300,0.114004,0.561816,-0.00943171,-0.00943171,74,"em",1,"determinate"
1,1460470000,1437830000,114365000,162101000,25426300,162101000,25426300,0.112481,0.557766,0.116922,0.116922,75,"em",1,"determinate"
1,1458250000,1436030000,97130700,162705000,25514700,162705000,25514700,0.11307,0.55934,-0.0460151,-0.0460151,76,"em",1,"determinate"
1,1459950000,1436970000,95804000,163879000,26074600,163879000,26074600,0.113506,0.560499,-0.0599782,-0.0599782,77,"em",1,"determinate"
1,1460820000,1440220000,111396000,162533000,25339200,162533000,25339200,0.112539,0.55792,0.0900843,0.0900843,78,"em",1,"determinate"
1,1459490000,1438280000,118687000,163927000,25276600,163927000,25276600,0.113934,0.561632,0.15391,0.15391,79,"em",1,"determinate"
1,1457420000,1433610000,106754000,163791000,25863900,163791000,25863900,0.113907,0.561561,0.0489925,0.0489925,80,"em",1,"determinate"
1,1461930000,1437670000,106173000,162142000,26198400,162142000,26198400,0.111952,0.556346,0.0426321,0.0426321,81,"em",1,"determinate"
1,1473110000,1450480000,88589900,163155000,26135300,163155000,26135300,0.11171,0.555694,-0.141261,-0.141261,82,"em",1,"determinate"
1,1483280000,1461910000,93553100,164391000,25918700,164391000,25918700,0.111817,0.55598,-0.089247,-0.089247,83,"em",1,"determinate"
1,1484420000,1465230000,104150000,163676000,24841700,163676000,24841700,0.111659,0.555554,0.0173391,0.0173391,84,"em",1,"determinate"
1,1476340000,1455980000,102143000,162797000,24446500,162797000,24446500,0.112047,0.556601,-0.000107222,-0.000107222,85,"em",1,"determinate"
1,1464580000,1442810000,107371000,163611000,24963900,163611000,24963900,0.113587,0.560714,0.0527008,0.0527008,86,"em",1,"determinate"
1,1452330000,1430430000,100815000,163534000,25246500,163534000,25246500,0.114451,0.562997,-0.00752895,-0.00752895,87,"em",1,"determinate"
1,1443490000,1421270000,101573000,164061000,25701000,164061000,25701000,0.115342,0.565332,0.00203177,0.00203177,88,"em",1,"determinate"
1,1436780000,1415380000,111536000,162533000,25423500,162533000,25423500,0.114688,0.56362,0.0969467,0.0969467,89,"em",1,"determinate"
1,1433220000,1411180000,102281000,163744000,25693100,163744000,25693100,0.115893,0.566767,0.0112895,0.0112895,90,"em",1,"determinate"
1,1432020000,1409130000,104076000,163265000,26025500,163265000,26025500,0.115396,0.565474,0.0291576,0.0291576,91,"em",1,"determinate"
1,1433710000,1411920000,98158600,162988000,25834200,162988000,25834200,0.115015,0.564476,-0.0300192,-0.0300192,92,"em",1,"determinate"
1,1435950000,1414340000,99239600,163465000,25798500,163465000,25798500,0.115178,0.564904,-0.0196231,-0.0196231,93,"em",1,"determinate"
1,1435380000,1414530000,108473000,162736000,25373800,162736000,25373800,0.114824,0.563976,0.0692972,0.0692972,94,"em",1,"determinate"
1,1432670000,1411160000,109268000,163061000,25375900,163061000,25375900,0.115445,0.5656,0.0773734,0.0773734,95,"em",1,"determinate"
1,1430340000,1407480000,95611800,163235000,25819000,163235000,25819000,0.115662,0.566166,-0.0552833,-0.0552833,96,"em",1,"determinate"
1,1430830000,1408610000,111593000,164035000,26130300,164035000,26130300,0.115997,0.567037,0.0990155,0.0990155,97,"em",1,"determinate"
1,1430640000,1409350000,95151700,163709000,25707300,163709000,25707300,0.115942,0.566894,-0.0605377,-0.0605377,98,"em",1,"determinate"
1,1431420000,1409010000,115344000,163763000,26016900,163763000,26016900,0.115752,0.5664,0.131986,0.131986,99,"em",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,-1.11022e-16,0,1,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,0,0,10,"om",1,"determinate"
1,1574330000,1551020000,108392000,163498000,25225600,163498000,25225600,0.1052,0.536766,0,0,100,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,0,0,11,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,0,0,12,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,0,0,13,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,-1.11022e-16,0,14,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,0,0,15,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,0,0,16,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,-1.11022e-16,0,17,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,0,0,18,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,0,0,19,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,0,0,2,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,0,0,20,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,-1.11022e-16,0,21,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,0,0,22,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,-1.11022e-16,0,23,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,-1.11022e-16,0,24,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,-1.11022e-16,0,25,"om",1,"determinate"
1,4113010000,4084180000,132223000,409020000,44639600,409020000,44639600,0.1052,0.536766,0,0,26,"om",1,"determinate"
1,3709760000,3681290000,130303000,369218000,41000200,369218000,41000200,0.1052,0.536766,-1.11022e-16,0,27,"om",1,"determinate"
1,3359270000,3330940000,128317000,335019000,38294000,335019000,38294000,0.1052,0.536766,0,0,28,"om",1,"determinate"
1,3060860000,3032940000,126329000,306186000,36190400,306186000,36190400,0.1052,0.536766,0,0,29,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,-1.11022e-16,0,3,"om",1,"determinate"
1,2811170000,2783670000,124399000,282235000,34518900,282235000,34518900,0.1052,0.536766,0,0,30,"om",1,"determinate"
1,2604850000,2577780000,122580000,262541000,33165800,262541000,33165800,0.1052,0.536766,0,0,31,"om",1,"determinate"
1,2435690000,2409030000,120905000,246436000,32051200,246436000,32051200,0.1052,0.536766,-1.11022e-16,0,32,"om",1,"determinate"
1,2297460000,2271180000,119393000,233281000,31119100,233281000,31119100,0.1052,0.536766,-1.11022e-16,0,33,"om",1,"determinate"
1,2184440000,2158510000,118046000,222515000,30330200,222515000,30330200,0.1052,0.536766,0,0,34,"om",1,"determinate"
1,2091720000,2066110000,116858000,213663000,29656900,213663000,29656900,0.1052,0.536766,0,0,35,"om",1,"determinate"
1,2015240000,1989910000,115815000,206341000,29078800,206341000,29078800,0.1052,0.536766,-1.11022e-16,0,36,"om",1,"determinate"
1,1951740000,1926660000,114902000,200241000,28580400,200241000,28580400,0.1052,0.536766,0,0,37,"om",1,"determinate"
1,1898660000,1873800000,114104000,195126000,28149700,195126000,28149700,0.1052,0.536766,0,0,38,"om",1,"determinate"
1,1853980000,1829310000,113405000,190807000,27776700,190807000,27776700,0.1052,0.536766,0,0,39,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,0,0,4,"om",1,"determinate"
1,1816150000,1791640000,112794000,187141000,27453200,187141000,27453200,0.1052,0.536766,0,0,40,"om",1,"determinate"
1,1783930000,1759570000,112258000,184011000,27172300,184011000,27172300,0.1052,0.536766,0,0,41,"om",1,"determinate"
1,1756370000,1732140000,111789000,181329000,26928100,181329000,26928100,0.1052,0.536766,0,0,42,"om",1,"determinate"
1,1732710000,1708590000,111377000,179022000,26715500,179022000,26715500,0.1052,0.536766,0,0,43,"om",1,"determinate"
1,1712320000,1688290000,111015000,177031000,26530300,177031000,26530300,0.1052,0.536766,0,0,44,"om",1,"determinate"
1,1694700000,1670760000,110697000,175309000,26368700,175309000,26368700,0.1052,0.536766,0,0,45,"om",1,"determinate"
1,1679440000,1655580000,110419000,173817000,26227500,173817000,26227500,0.1052,0.536766,0,0,46,"om",1,"determinate"
1,1666200000,1642400000,110173000,172520000,26104200,172520000,26104200,0.1052,0.536766,0,0,47,"om",1,"determinate"
1,1654680000,1630950000,109958000,171392000,25996300,171392000,25996300,0.1052,0.536766,-1.11022e-16,0,48,"om",1,"determinate"
1,1644660000,1620980000,109769000,170410000,25901900,170410000,25901900,0.1052,0.536766,0,0,49,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,-1.11022e-16,0,5,"om",1,"determinate"
1,1635930000,1612290000,109602000,169553000,25819200,169553000,25819200,0.1052,0.536766,0,0,50,"om",1,"determinate"
1,1628310000,1604710000,109456000,168805000,25746800,168805000,25746800,0.1052,0.536766,0,0,51,"om",1,"determinate"
1,1621650000,1598080000,109328000,168151000,25683200,168151000,25683200,0.1052,0.536766,0,0,52,"om",1,"determinate"
1,1615830000,1592290000,109215000,167580000,25627500,167580000,25627500,0.1052,0.536766,0,0,53,"om",1,"determinate"
1,1610730000,1587220000,109115000,167079000,25578600,167079000,25578600,0.1052,0.536766,0,0,54,"om",1,"determinate"
1,1606270000,1582790000,109028000,166641000,25535700,166641000,25535700,0.1052,0.536766,0,0,55,"om",1,"determinate"
1,1602360000,1578900000,108951000,166257000,25498000,166257000,25498000,0.1052,0.536766,0,0,56,"om",1,"determinate"
1,1598940000,1575490000,108884000,165920000,25465000,165920000,25465000,0.1052,0.536766,0,0,57,"om",1,"determinate"
1,1595930000,1572500000,108824000,165625000,25435900,165625000,25435900,0.1052,0.536766,-1.11022e-16,0,58,"om",1,"determinate"
1,1593300000,1569880000,108772000,165365000,25410400,165365000,25410400,0.1052,0.536766,0,0,59,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,0,0,6,"om",1,"determinate"
1,1590990000,1567580000,108726000,165138000,25388000,165138000,25388000,0.1052,0.536766,0,0,60,"om",1,"determinate"
1,1588960000,1565560000,108686000,164938000,25368300,164938000,25368300,0.1052,0.536766,0,0,61,"om",1,"determinate"
1,1587170000,1563790000,108650000,164763000,25350900,164763000,25350900,0.1052,0.536766,0,0,62,"om",1,"determinate"
1,1585610000,1562230000,108619000,164609000,25335700,164609000,25335700,0.1052,0.536766,0,0,63,"om",1,"determinate"
1,1584230000,1560870000,108591000,164473000,25322300,164473000,25322300,0.1052,0.536766,-1.11022e-16,0,64,"om",1,"determinate"
1,1583030000,1559670000,108567000,164355000,25310500,164355000,25310500,0.1052,0.536766,0,0,65,"om",1,"determinate"
1,1581960000,1558610000,108546000,164250000,25300200,164250000,25300200,0.1052,0.536766,0,0,66,"om",1,"determinate"
1,1581030000,1557680000,108527000,164158000,25291100,164158000,25291100,0.1052,0.536766,0,0,67,"om",1,"determinate"
1,1580210000,1556870000,108511000,164078000,25283100,164078000,25283100,0.1052,0.536766,0,0,68,"om",1,"determinate"
1,1579490000,1556150000,108496000,164007000,25276100,164007000,25276100,0.1052,0.536766,-1.11022e-16,0,69,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,0,0,7,"om",1,"determinate"
1,1578850000,1555520000,108483000,163944000,25269900,163944000,25269900,0.1052,0.536766,0,0,70,"om",1,"determinate"
1,1578300000,1554960000,108472000,163889000,25264400,163889000,25264400,0.1052,0.536766,0,0,71,"om",1,"determinate"
1,1577810000,1554480000,108462000,163841000,25259600,163841000,25259600,0.1052,0.536766,0,0,72,"om",1,"determinate"
1,1577380000,1554050000,108454000,163799000,25255400,163799000,25255400,0.1052,0.536766,0,0,73,"om",1,"determinate"
1,1.577e+09,1553670000,108446000,163761000,25251700,163761000,25251700,0.1052,0.536766,0,0,74,"om",1,"determinate"
1,1576660000,1553340000,108439000,163729000,25248500,163729000,25248500,0.1052,0.536766,-1.11022e-16,0,75,"om",1,"determinate"
1,1576370000,1553050000,108433000,163700000,25245600,163700000,25245600,0.1052,0.536766,-1.11022e-16,0,76,"om",1,"determinate"
1,1576110000,1552790000,108428000,163674000,25243100,163674000,25243100,0.1052,0.536766,0,0,77,"om",1,"determinate"
1,1575890000,1552570000,108424000,163652000,25240900,163652000,25240900,0.1052,0.536766,-1.11022e-16,0,78,"om",1,"determinate"
1,1575690000,1552370000,108419000,163632000,25238900,163632000,25238900,0.1052,0.536766,0,0,79,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,0,0,8,"om",1,"determinate"
1,1575510000,1552190000,108416000,163615000,25237200,163615000,25237200,0.1052,0.536766,0,0,80,"om",1,"determinate"
1,1575360000,1552040000,108413000,163600000,25235700,163600000,25235700,0.1052,0.536766,-1.11022e-16,0,81,"om",1,"determinate"
1,1575220000,1551900000,108410000,163586000,25234400,163586000,25234400,0.1052,0.536766,-1.11022e-16,0,82,"om",1,"determinate"
1,1575100000,1551790000,108408000,163575000,25233200,163575000,25233200,0.1052,0.536766,0,0,83,"om",1,"determinate"
1,1.575e+09,1551680000,108406000,163564000,25232200,163564000,25232200,0.1052,0.536766,0,0,84,"om",1,"determinate"
1,1574900000,1551590000,108404000,163555000,25231300,163555000,25231300,0.1052,0.536766,0,0,85,"om",1,"determinate"
1,1574820000,1551510000,108402000,163547000,25230500,163547000,25230500,0.1052,0.536766,0,0,86,"om",1,"determinate"
1,1574750000,1551440000,108401000,163540000,25229800,163540000,25229800,0.1052,0.536766,0,0,87,"om",1,"determinate"
1,1574690000,1551370000,108399000,163534000,25229200,163534000,25229200,0.1052,0.536766,-1.11022e-16,0,88,"om",1,"determinate"
1,1574630000,1551320000,108398000,163529000,25228600,163529000,25228600,0.1052,0.536766,0,0,89,"om",1,"determinate"
1,4113010000,4084180000,132223000,0,0,0,0,0,0,0,0,9,"om",1,"determinate"
1,1574590000,1551270000,108397000,163524000,25228100,163524000,25228100,0.1052,0.536766,0,0,90,"om",1,"determinate"
1,1574540000,1551230000,108396000,163520000,25227700,163520000,25227700,0.1052,0.536766,0,0,91,"om",1,"determinate"
1,1574500000,1551190000,108396000,163516000,25227400,163516000,25227400,0.1052,0.536766,0,0,92,"om",1,"determinate"
1,1574470000,1551160000,108395000,163513000,25227000,163513000,25227000,0.1052,0.536766,0,0,93,"om",1,"determinate"
1,1574440000,1551130000,108394000,163510000,25226700,163510000,25226700,0.1052,0.536766,0,0,94,"om",1,"determinate"
1,1574420000,1551100000,108394000,163507000,25226500,163507000,25226500,0.1052,0.536766,0,0,95,"om",1,"determinate"
1,1574390000,1551080000,108393000,163505000,25226300,163505000,25226300,0.1052,0.536766,-1.11022e-16,0,96,"om",1,"determinate"
1,1574370000,1551060000,108393000,163503000,25226100,163503000,25226100,0.1052,0.536766,0,0,97,"om",1,"determinate"
1,1574360000,1551040000,108393000,163501000,25225900,163501000,25225900,0.1052,0.536766,-1.11022e-16,0,98,"om",1,"determinate"
1,1574340000,1551030000,108392000,163500000,25225800,163500000,25225800,0.1052,0.536766,0,0,99,"om",1,"determinate"
1,1667940000,1647030000,117798000,163663000,24315500,163663000,24315500,0.0996167,0.515711,-0.00978741,-0.00978741,100,"em",2,"determinate"
1,1651380000,1629250000,118578000,0,0,0,0,0,0,0,0,101,"em",2,"determinate"
1,4155200000,4131150000,139812000,408860000,44632800,408860000,44632800,0.104109,0.528894,0.040478,0.040478,26,"em",2,"determinate"
1,3731900000,3706510000,151301000,366787000,39999600,366787000,39999600,0.104193,0.529137,0.135496,0.135496,27,"em",2,"determinate"
1,3359250000,3329330000,131822000,334329000,38373400,334329000,38373400,0.105375,0.532516,0.0150689,0.0150689,28,"em",2,"determinate"
1,3047270000,3016570000,143157000,306721000,37567900,306721000,37567900,0.106005,0.534301,0.114977,0.114977,29,"em",2,"determinate"
1,2794780000,2766070000,121483000,284848000,36240500,284848000,36240500,0.106846,0.53667,-0.0326896,-0.0326896,30,"em",2,"determinate"
1,2593670000,2564790000,129117000,260566000,34624500,260566000,34624500,0.104567,0.530208,0.0436135,0.0436135,31,"em",2,"determinate"
1,2437500000,2411160000,136044000,248368000,33442200,248368000,33442200,0.105746,0.533569,0.109125,0.109125,32,"em",2,"determinate"
1,2308290000,2280680000,103114000,231436000,31971400,231436000,31971400,0.103618,0.527478,-0.155524,-0.155524,33,"em",2,"determinate"
1,2.209e+09,2182230000,102021000,221367000,31369700,221367000,31369700,0.103074,0.525904,-0.15588,-0.15588,34,"em",2,"determinate"
1,2122020000,2099940000,112615000,214370000,29729600,214370000,29729600,0.103929,0.528376,-0.0478223,-0.0478223,35,"em",2,"determinate"
1,2035890000,2013680000,113211000,206845000,28403900,206845000,28403900,0.104703,0.530599,-0.032132,-0.032132,36,"em",2,"determinate"
1,1953510000,1929790000,156092000,200519000,28046500,200519000,28046500,0.105768,0.53363,0.299963,0.299963,37,"em",2,"determinate"
1,1881600000,1855210000,96999100,195786000,28304600,195786000,28304600,0.10716,0.53755,-0.165366,-0.165366,38,"em",2,"determinate"
1,1832550000,1803450000,109416000,190231000,29546600,190231000,29546600,0.105875,0.533933,-0.0372529,-0.0372529,39,"em",2,"determinate"
1,1798810000,1776990000,128565000,187367000,28173300,187367000,28173300,0.106174,0.534779,0.128091,0.128091,40,"em",2,"determinate"
1,1768150000,1744020000,115915000,183404000,27512700,183404000,27512700,0.105815,0.533763,0.0297289,0.0297289,41,"em",2,"determinate"
1,1745010000,1718790000,126705000,182320000,28131700,182320000,28131700,0.106336,0.535236,0.122844,0.122844,42,"em",2,"determinate"
1,1727750000,1702510000,109741000,180262000,27949400,180262000,27949400,0.106055,0.534441,-0.0181898,-0.0181898,43,"em",2,"determinate"
1,1717710000,1692030000,116996000,176694000,27758700,176694000,27758700,0.10423,0.529243,0.0475869,0.0475869,44,"em",2,"determinate"
1,1712360000,1688580000,116823000,174635000,27050600,174635000,27050600,0.103351,0.526707,0.0466971,0.0466971,45,"em",2,"determinate"
1,1708060000,1683410000,110889000,174755000,27080400,174755000,27080400,0.10373,0.527801,-0.00455853,-0.00455853,46,"em",2,"determinate"
1,1702700000,1678350000,108553000,171710000,26609700,171710000,26609700,0.102151,0.523214,-0.0249852,-0.0249852,47,"em",2,"determinate"
1,1697910000,1674540000,114009000,170439000,26179400,170439000,26179400,0.101727,0.521969,0.0247163,0.0247163,48,"em",2,"determinate"
1,1690590000,1667300000,122257000,172362000,26291200,172362000,26291200,0.103531,0.527228,0.095815,0.095815,49,"em",2,"determinate"
1,1679620000,1655100000,102500000,169292000,26028400,169292000,26028400,0.102314,0.523691,-0.0783156,-0.0783156,50,"em",2,"determinate"
1,1673750000,1649140000,118963000,168676000,26290200,168676000,26290200,0.102083,0.523014,0.0716817,0.0716817,51,"em",2,"determinate"
1,1667940000,1645120000,122073000,168150000,25789200,168150000,25789200,0.102258,0.523528,0.0982021,0.0982021,52,"em",2,"determinate"
1,1663330000,1638170000,98046800,168051000,26148600,168051000,26148600,0.102437,0.52405,-0.119732,-0.119732,53,"em",2,"determinate"
1,1662020000,1637650000,123495000,167214000,26252800,167214000,26252800,0.101753,0.522048,0.111117,0.111117,54,"em",2,"determinate"
1,1659730000,1637270000,105079000,165809000,25405400,165809000,25405400,0.101254,0.520578,-0.0503081,-0.0503081,55,"em",2,"determinate"
1,1658410000,1633620000,106264000,167199000,26052200,167199000,26052200,0.102103,0.523074,-0.0384314,-0.0384314,56,"em",2,"determinate"
1,1654160000,1631700000,104827000,165838000,25476100,165838000,25476100,0.101579,0.521537,-0.0517041,-0.0517041,57,"em",2,"determinate"
1,1647220000,1624840000,106854000,166108000,25299500,166108000,25299500,0.102323,0.523718,-0.0313147,-0.0313147,58,"em",2,"determinate"
1,1635550000,1613260000,99825600,164958000,25002700,164958000,25002700,0.102451,0.52409,-0.0972367,-0.0972367,59,"em",2,"determinate"
1,1621580000,1599420000,126492000,163094000,24736000,163094000,24736000,0.102166,0.523257,0.142073,0.142073,60,"em",2,"determinate"
1,1607110000,1584390000,97459200,166564000,25242900,166564000,25242900,0.105596,0.533141,-0.115844,-0.115844,61,"em",2,"determinate"
1,1593500000,1568730000,118970000,164286000,25793900,164286000,25793900,0.104589,0.530272,0.0865848,0.0865848,62,"em",2,"determinate"
1,1584830000,1562700000,129365000,164709000,25472900,164709000,25472900,0.105544,0.532994,0.171516,0.171516,63,"em",2,"determinate"
1,1580150000,1554620000,118512000,163655000,25938500,163655000,25938500,0.105011,0.531477,0.0854652,0.0854652,64,"em",2,"determinate"
1,1586640000,1560050000,123128000,165675000,27016100,165675000,27016100,0.105487,0.532832,0.122618,0.122618,65,"em",2,"determinate"
1,1600090000,1574680000,113813000,162914000,26544100,162914000,26544100,0.102564,0.524421,0.0411295,0.0411295,66,"em",2,"determinate"
1,1621910000,1596460000,113972000,164041000,26681800,164041000,26681800,0.101752,0.522043,0.0384009,0.0384009,67,"em",2,"determinate"
1,1643080000,1618910000,102570000,163742000,26164500,163742000,26164500,0.100308,0.517774,-0.0711505,-0.0711505,68,"em",2,"determinate"
