Stock Year Catch ABC OFL SSB TotBiom
BSAI_flats 2019 66.6245 66.6245 80.9178 153.203 673.718
BSAI_flats 2020 59.6215 59.6215 72.5227 131.658 639.389
BSAI_flats 2021 55.7833 55.7833 67.9416 120.838 611.193
BSAI_flats 2022 53.6865 53.6865 65.4396 116.417 586.212
BSAI_flats 2023 52.1558 52.1558 63.5903 115.186 563.13
BSAI_flats 2024 50.5167 50.5167 61.5863 114.318 541.996
BSAI_flats 2025 48.6003 48.6003 59.2386 111.465 523.314
BSAI_flats 2026 46.5884 46.5884 56.7785 106.764 507.643
BSAI_flats 2027 44.6599 44.6599 54.4281 101.6 495.498
BSAI_flats 2028 42.7486 42.7486 52.1101 97.0429 486.066
BSAI_flats 2029 41.0565 41.0565 50.064 93.5346 479.163
BSAI_flats 2030 39.8212 39.8212 48.5724 91.0655 473.887
BSAI_flats 2031 39.0071 39.0071 47.5907 89.4473 470.207
