"Year","Scenario 1","Scenario 2","Scenario 3","Scenario 4","Scenario 5","Scenario 6","Scenario 7"
2024,0.052,0.052,0.052,0.052,0.052,0.052,0.052
2025,0.049,0.049,0.049,0.049,0.049,0.492,0.398
2026,0.047,0.047,0.047,0.047,0.047,0.458,0.387
2027,0.398,0.398,0.059,0.088,0,0.408,0.436
2028,0.398,0.398,0.059,0.088,0,0.369,0.386
2029,0.354,0.354,0.059,0.088,0,0.343,0.352
2030,0.321,0.321,0.059,0.088,0,0.33,0.335
2031,0.31,0.31,0.059,0.088,0,0.336,0.338
2032,0.314,0.314,0.059,0.088,0,0.354,0.355
2033,0.325,0.325,0.059,0.088,0,0.376,0.376
2034,0.335,0.335,0.059,0.088,0,0.394,0.394
2035,0.344,0.344,0.059,0.088,0,0.406,0.406
2036,0.349,0.349,0.059,0.088,0,0.413,0.413
2037,0.352,0.352,0.059,0.088,0,0.416,0.416
2038,0.354,0.354,0.059,0.088,0,0.418,0.417
