
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
486575 194630 170301 549558 461868 185492 
CV Recruit
1.17461 
Alternative 1 Alternative  Stock: 2024-10-23-projection_data.dat
Catch 2024-10-23-projection_data.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2030 486575 194630 170301 225391 232482 236266 258362 12285.3 
2031 486575 194630 170301 217299 233676 241552 290290 26199.6 
2032 486575 194630 170301 208966 241593 253774 340147 45495.8 
2033 486575 194630 170301 201143 255618 271070 394021 65070.1 
2034 486575 194630 170301 197583 272065 290649 442996 81434.8 
2035 486575 194630 170301 196183 292022 309640 482209 94580.9 
2036 486575 194630 170301 201536 308138 326901 510353 104928 
2037 486575 194630 170301 202890 320474 341029 534623 112029 
2038 486575 194630 170301 202107 330275 352236 562563 115799 

Fishing_mortality2024-10-23-projection_data.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2024  0 0.39806 0.491865 0.0522812 0.0522812 0.0522812 0.0522812 1.8735e-16 
2025  0 0.39806 0.491865 0.0492284 0.0492622 0.0492567 0.0492679 1.57387e-05 
2026  0 0.39806 0.491865 0.0467552 0.0469849 0.0469511 0.0470301 0.000104693 
2027  0 0.39806 0.491865 0.0586943 0.0586943 0.0586943 0.0586943 9.99201e-16 
2028  0 0.39806 0.491865 0.0586943 0.0586943 0.0586943 0.0586943 9.99201e-16 
2029  0 0.39806 0.491865 0.0586943 0.0586943 0.0586943 0.0586943 9.99201e-16 
2030  0 0.39806 0.491865 0.0586943 0.0586943 0.0586943 0.0586943 9.99201e-16 
2031  0 0.39806 0.491865 0.0586943 0.0586943 0.0586943 0.0586943 9.99201e-16 
2032  0 0.39806 0.491865 0.0586943 0.0586943 0.0586943 0.0586943 9.99201e-16 
2033  0 0.39806 0.491865 0.0586943 0.0586943 0.0586943 0.0586943 9.99201e-16 
2034  0 0.39806 0.491865 0.0586943 0.0586943 0.0586943 0.0586943 9.99201e-16 
2035  0 0.39806 0.491865 0.0586943 0.0586943 0.0586943 0.0586943 9.99201e-16 
2036  0 0.39806 0.491865 0.0586943 0.0586943 0.0586943 0.0586943 9.99201e-16 
2037  0 0.39806 0.491865 0.0586943 0.0586943 0.0586943 0.0586943 9.99201e-16 
