2024-10-23-projection_data.dat
 0 # SSL Species???
 0 # Constant Buffer Dorn
1 # Number of fisheries
2 # Number of Sexes
0.05869428 # 5 year average F 
1 # Author f
0.4 # SPR ABC
0.35 # SPR MSY
1 # Spawning month
19 # number of ages
1 # Fratio
# natural mortality
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
# Maturity females
0.0018 0.0046 0.0117 0.0296 0.0726 0.1674 0.3403 0.5698 0.7727 0.8972 0.9573 0.9829 0.9933 0.9974 0.999 0.9996 0.9998 0.9999 1
# Maturity males
0.0018 0.0046 0.0117 0.0296 0.0726 0.1674 0.3403 0.5698 0.7727 0.8972 0.9573 0.9829 0.9933 0.9974 0.999 0.9996 0.9998 0.9999 1
# wt spawn females
0.0208 0.052 0.0974 0.1545 0.2198 0.2901 0.3624 0.4343 0.5041 0.5705 0.6327 0.6902 0.7428 0.7904 0.8334 0.8718 0.9061 0.9364 0.9992
# WtAge by sex and fishery
0.0429 0.0934 0.162 0.2427 0.3276 0.4104 0.488 0.5596 0.6253 0.6855 0.7406 0.7907 0.8362 0.8772 0.9141 0.947 0.9764 1.0025 1.0572
0.0441 0.096 0.1584 0.222 0.2809 0.3325 0.3768 0.4141 0.4455 0.4715 0.4931 0.5109 0.5254 0.5373 0.5469 0.5548 0.5611 0.5662 0.574
# Selectivity by sex and fishery
0.0011 0.0042 0.0133 0.0351 0.0769 0.1416 0.2238 0.3137 0.4018 0.4817 0.5509 0.6088 0.6566 0.6956 0.7272 0.753 0.774 0.7913 0.8222
0.0017 0.0073 0.0231 0.0553 0.1055 0.1683 0.2352 0.2992 0.3562 0.4047 0.4448 0.4774 0.5037 0.5247 0.5415 0.5549 0.5656 0.5741 0.5864
# Numbers at age 3 - 21 females males 2024
269471 192609 165356 231256 100415 146848 213396 66316.6 63920.3 23991.1 48116.4 12278.4 11556.4 11513.6 5596.75 7491.72 7101.36 2164.73 20842
269469 192602 165323 231084 100221 146299 212203 65874.5 63520.7 23899.6 48161.6 12375.5 11748.9 11820.8 5808.42 7867.55 7554.1 2334.39 24088.5
# No Recruitments
48
# Recruitment age 3+ 1977-2024
251363 391502 381063 338807 398979 518243 572662 1129807 514167 455195 671486 1112540 467658 1212776 291338 563886 582814 590251 583320 398820 373048 383677 575610 589458 551486 400159 436017 520048 617980 820569 200743 509388 416988 242488 389559 306338 255872 791449 313012 665306 554047 1439706 804306 448281 843592 493498 470527 538940
# SSB 1964-2024
190621 190379 193418 195849 195848 194830 193948 186189 172758 162778 146867 132439 122291 112082 103196 93410.6 88342.8 83573 79519.4 78059.4 79799.9 84395.2 90723 99031 110262 123165 141100 153757 167305 179060 191758 203864 215686 222658 223014 217866 214094 208489 202886 196414 190256 183701 180327 177437 174577 168521 165972 165097 168707 172337 169975 165263 161246 156536 152403 148789 146002 150417 158069 168059 185493
