National Marine Fisheries Service
P.O. Box 21668
Juneau AK  99802-1668

2019 Bering Sea Aleutian Islands Weekly Catch

Through 2019-12-31

Weight in metric tons
Does not include catch of CDQ allocated species.  See Table 1 of the final harvest specifications for CDQ allocated species.
Screened for confidentiality - three or more processors reporting for each row 


ACCOUNT NAME,WEEK END DATE,METRIC TONS
AI Greenland Turbot,6/1/19,28
AI Greenland Turbot,8/17/19,2
AI Greenland Turbot,8/24/19,11
AI Greenland Turbot,9/21/19,0
AI Other Rockfish,3/9/19,4
AI Other Rockfish,3/16/19,2
AI Other Rockfish,3/23/19,2
AI Other Rockfish,3/30/19,3
AI Other Rockfish,4/6/19,19
AI Other Rockfish,4/13/19,13
AI Other Rockfish,4/20/19,29
AI Other Rockfish,4/27/19,37
AI Other Rockfish,5/4/19,22
AI Other Rockfish,5/11/19,2
AI Other Rockfish,5/25/19,5
AI Other Rockfish,6/1/19,8
AI Other Rockfish,6/8/19,3
AI Other Rockfish,6/15/19,12
AI Other Rockfish,6/22/19,29
AI Other Rockfish,6/29/19,27
AI Other Rockfish,7/6/19,23
AI Other Rockfish,7/13/19,20
AI Other Rockfish,7/20/19,27
AI Other Rockfish,7/27/19,51
AI Other Rockfish,8/3/19,26
AI Other Rockfish,8/10/19,14
AI Other Rockfish,8/17/19,27
AI Other Rockfish,8/24/19,33
AI Other Rockfish,8/31/19,18
AI Other Rockfish,9/7/19,38
AI Other Rockfish,9/14/19,8
AI Other Rockfish,9/21/19,11
AI Other Rockfish,9/28/19,10
AI Other Rockfish,10/5/19,4
AI Other Rockfish,10/12/19,3
AI Other Rockfish,10/19/19,1
AI Other Rockfish,10/26/19,14
AI Other Rockfish,11/2/19,14
AI Other Rockfish,11/9/19,3
AI Pollock ICA,3/9/19,2
AI Pollock ICA,3/16/19,1
AI Pollock ICA,3/30/19,0
AI Pollock ICA,4/6/19,5
AI Pollock ICA,4/13/19,1
AI Pollock ICA,4/20/19,4
AI Pollock ICA,4/27/19,2
AI Pollock ICA,5/4/19,40
AI Pollock ICA,6/1/19,18
AI Pollock ICA,6/8/19,144
AI Pollock ICA,6/15/19,121
AI Pollock ICA,6/22/19,78
AI Pollock ICA,6/29/19,159
AI Pollock ICA,7/6/19,62
AI Pollock ICA,7/13/19,108
AI Pollock ICA,7/20/19,92
AI Pollock ICA,7/27/19,68
AI Pollock ICA,8/3/19,161
AI Pollock ICA,8/10/19,43
AI Pollock ICA,8/17/19,41
AI Pollock ICA,8/24/19,132
AI Pollock ICA,8/31/19,26
AI Pollock ICA,9/7/19,10
AI Pollock ICA,9/14/19,0
AI Pollock ICA,9/21/19,0
AI Pollock ICA,9/28/19,9
AI Pollock ICA,10/5/19,4
AI Pollock ICA,10/19/19,54
AI Pollock ICA,10/26/19,42
AI Pollock ICA,11/2/19,29
AI Sablefish HAL/Pot,4/6/19,40
AI Sablefish HAL/Pot,4/20/19,31
AI Sablefish HAL/Pot,4/27/19,11
AI Sablefish HAL/Pot,6/1/19,24
AI Sablefish HAL/Pot,7/13/19,1
AI Sablefish HAL/Pot,7/20/19,4
AI Sablefish HAL/Pot,7/27/19,2
AI Sablefish HAL/Pot,8/3/19,1
AI Sablefish HAL/Pot,8/17/19,4
AI Sablefish HAL/Pot,8/24/19,2
AI Sablefish HAL/Pot,9/21/19,36
AI Sablefish HAL/Pot,10/5/19,20
AI Sablefish HAL/Pot,10/12/19,34
AI Sablefish HAL/Pot,10/19/19,1
AI Sablefish TRW,4/6/19,0
