National Marine Fisheries Service
P.O. Box 21668
Juneau AK  99802-1668

2021 Bering Sea Aleutian Islands Weekly Catch

Through 2021-10-23

Weight in metric tons
Does not include catch of CDQ allocated species.  See Table 1 of the final harvest specifications for CDQ allocated species.
Screened for confidentiality - three or more processors reporting for each row 


ACCOUNT NAME,WEEK END DATE,METRIC TONS
BS Greenland Turbot,9/25/21,1
BS Greenland Turbot,10/9/21,0
BS Other Rockfish,1/2/21,1
BS Other Rockfish,1/9/21,1
BS Other Rockfish,1/16/21,1
BS Other Rockfish,1/23/21,1
BS Other Rockfish,1/30/21,0
BS Other Rockfish,2/6/21,0
BS Other Rockfish,2/13/21,0
BS Other Rockfish,2/20/21,2
BS Other Rockfish,2/27/21,1
BS Other Rockfish,3/6/21,0
BS Other Rockfish,3/13/21,2
BS Other Rockfish,3/20/21,2
BS Other Rockfish,3/27/21,1
BS Other Rockfish,4/3/21,8
BS Other Rockfish,4/10/21,1
BS Other Rockfish,4/17/21,0
BS Other Rockfish,4/24/21,0
BS Other Rockfish,5/1/21,4
BS Other Rockfish,5/8/21,16
BS Other Rockfish,5/15/21,18
BS Other Rockfish,5/22/21,15
BS Other Rockfish,5/29/21,4
BS Other Rockfish,6/5/21,3
BS Other Rockfish,6/12/21,4
BS Other Rockfish,6/19/21,16
BS Other Rockfish,6/26/21,13
BS Other Rockfish,7/3/21,12
BS Other Rockfish,7/10/21,14
BS Other Rockfish,7/17/21,9
BS Other Rockfish,7/24/21,10
BS Other Rockfish,7/31/21,5
BS Other Rockfish,8/7/21,17
BS Other Rockfish,8/14/21,39
BS Other Rockfish,8/21/21,28
BS Other Rockfish,8/28/21,18
BS Other Rockfish,9/4/21,3
BS Other Rockfish,9/11/21,1
BS Other Rockfish,9/18/21,0
BS Other Rockfish,9/25/21,0
BS Other Rockfish,10/2/21,26
BS Other Rockfish,10/9/21,6
BS Other Rockfish,10/16/21,2
BS Other Rockfish,10/23/21,1
BS POP,2/6/21,1
BS POP,2/13/21,0
BS POP,2/20/21,2
BS POP,2/27/21,0
BS POP,3/13/21,0
BS POP,3/20/21,1
BS POP,3/27/21,4
BS POP,4/3/21,1
BS POP,4/10/21,0
BS POP,4/17/21,6
BS POP,4/24/21,7
BS POP,5/1/21,31
BS POP,5/8/21,33
BS POP,5/15/21,31
BS POP,5/22/21,2
BS POP,6/5/21,9
BS POP,6/12/21,33
BS POP,6/19/21,568
BS POP,6/26/21,343
BS POP,7/3/21,90
BS POP,7/10/21,345
BS POP,7/17/21,127
BS POP,7/24/21,225
BS POP,7/31/21,103
BS POP,8/7/21,171
BS POP,8/14/21,573
BS POP,8/21/21,166
BS POP,8/28/21,40
BS POP,9/4/21,145
BS POP,9/11/21,35
BS POP,9/18/21,50
BS POP,9/25/21,204
BS POP,10/2/21,1911
BS POP,10/9/21,499
BS POP,10/16/21,869
BS POP,10/23/21,936
BS Pollock CP,1/30/21,17886
BS Pollock CP,2/6/21,13725
BS Pollock CP,2/13/21,18009
BS Pollock CP,2/20/21,17463
BS Pollock CP,2/27/21,25029
BS Pollock CP,3/6/21,18587
BS Pollock CP,3/13/21,24793
BS Pollock CP,3/20/21,26678
BS Pollock CP,3/27/21,27854
BS Pollock CP,4/3/21,22218
BS Pollock CP,4/10/21,2906
BS Pollock CP,6/19/21,13128
BS Pollock CP,6/26/21,24355
BS Pollock CP,7/3/21,20477
BS Pollock CP,7/10/21,15324
BS Pollock CP,7/17/21,15596
BS Pollock CP,7/24/21,26103
BS Pollock CP,7/31/21,24224
BS Pollock CP,8/7/21,19978
BS Pollock CP,8/14/21,23528
BS Pollock CP,8/21/21,14390
BS Pollock CP,8/28/21,18189
BS Pollock CP,9/4/21,16110
BS Pollock CP,9/11/21,16411
BS Pollock CP,9/18/21,12289
BS Pollock CP,9/25/21,4627
BS Pollock ICA,1/2/21,2
BS Pollock ICA,1/9/21,47
BS Pollock ICA,1/16/21,50
BS Pollock ICA,1/23/21,162
BS Pollock ICA,1/30/21,317
BS Pollock ICA,2/6/21,839
BS Pollock ICA,2/13/21,1017
BS Pollock ICA,2/20/21,1658
BS Pollock ICA,2/27/21,2943
BS Pollock ICA,3/6/21,1094
BS Pollock ICA,3/13/21,2965
BS Pollock ICA,3/20/21,2444
BS Pollock ICA,3/27/21,2222
BS Pollock ICA,4/3/21,1542
BS Pollock ICA,4/10/21,1849
BS Pollock ICA,4/17/21,1554
BS Pollock ICA,4/24/21,1144
BS Pollock ICA,5/1/21,266
BS Pollock ICA,5/8/21,159
BS Pollock ICA,5/15/21,306
BS Pollock ICA,5/22/21,116
BS Pollock ICA,5/29/21,128
BS Pollock ICA,6/5/21,98
BS Pollock ICA,6/12/21,292
BS Pollock ICA,6/19/21,244
BS Pollock ICA,6/26/21,386
BS Pollock ICA,7/3/21,320
BS Pollock ICA,7/10/21,488
BS Pollock ICA,7/17/21,532
BS Pollock ICA,7/24/21,707
BS Pollock ICA,7/31/21,549
BS Pollock ICA,8/7/21,477
BS Pollock ICA,8/14/21,590
BS Pollock ICA,8/21/21,1123
BS Pollock ICA,8/28/21,908
BS Pollock ICA,9/4/21,1232
BS Pollock ICA,9/11/21,1508
BS Pollock ICA,9/18/21,1144
BS Pollock ICA,9/25/21,874
BS Pollock ICA,10/2/21,618
BS Pollock ICA,10/9/21,358
BS Pollock ICA,10/16/21,498
BS Pollock ICA,10/23/21,373
BS Pollock Inshore,1/30/21,5078
BS Pollock Inshore,2/6/21,14736
BS Pollock Inshore,2/13/21,9960
BS Pollock Inshore,2/20/21,15536
BS Pollock Inshore,2/27/21,14816
BS Pollock Inshore,3/6/21,8692
BS Pollock Inshore,3/13/21,25071
BS Pollock Inshore,3/20/21,25436
BS Pollock Inshore,3/27/21,26144
BS Pollock Inshore,4/3/21,22641
BS Pollock Inshore,4/10/21,27422
BS Pollock Inshore,4/17/21,25333
BS Pollock Inshore,4/24/21,23323
BS Pollock Inshore,5/1/21,9331
BS Pollock Inshore,6/12/21,13941
BS Pollock Inshore,6/19/21,18736
BS Pollock Inshore,6/26/21,20983
BS Pollock Inshore,7/3/21,18876
BS Pollock Inshore,7/10/21,24656
BS Pollock Inshore,7/17/21,24653
BS Pollock Inshore,7/24/21,23143
BS Pollock Inshore,7/31/21,21605
BS Pollock Inshore,8/7/21,23860
BS Pollock Inshore,8/14/21,24109
BS Pollock Inshore,8/21/21,25124
BS Pollock Inshore,8/28/21,23691
BS Pollock Inshore,9/4/21,15369
BS Pollock Inshore,9/11/21,13699
BS Pollock Inshore,9/18/21,8570
BS Pollock Inshore,9/25/21,8849
BS Pollock Inshore,10/2/21,7315
BS Pollock Inshore,10/9/21,9003
BS Pollock Mothership,1/30/21,1561
BS Pollock Mothership,2/6/21,6662
BS Pollock Mothership,2/13/21,4433
BS Pollock Mothership,2/20/21,4877
BS Pollock Mothership,2/27/21,5671
BS Pollock Mothership,3/6/21,2303
BS Pollock Mothership,3/13/21,5991
BS Pollock Mothership,3/20/21,6501
BS Pollock Mothership,3/27/21,6172
BS Pollock Mothership,4/3/21,4778
BS Pollock Mothership,6/19/21,2902
BS Pollock Mothership,6/26/21,5250
BS Pollock Mothership,7/3/21,4683
BS Pollock Mothership,7/10/21,5009
BS Pollock Mothership,7/17/21,4520
BS Pollock Mothership,7/24/21,5497
BS Pollock Mothership,7/31/21,5708
BS Pollock Mothership,8/7/21,5114
BS Pollock Mothership,8/14/21,4694
BS Pollock Mothership,8/21/21,5937
BS Pollock Mothership,8/28/21,6117
BS Pollock Mothership,9/4/21,3459
BS Sablefish HAL/Pot,1/2/21,0
BS Sablefish HAL/Pot,1/9/21,0
BS Sablefish HAL/Pot,1/16/21,0
BS Sablefish HAL/Pot,1/23/21,0
BS Sablefish HAL/Pot,1/30/21,0
BS Sablefish HAL/Pot,2/13/21,0
BS Sablefish HAL/Pot,2/20/21,0
BS Sablefish HAL/Pot,2/27/21,0
BS Sablefish HAL/Pot,3/6/21,0
BS Sablefish HAL/Pot,3/13/21,4
BS Sablefish HAL/Pot,3/20/21,3
BS Sablefish HAL/Pot,3/27/21,12
BS Sablefish HAL/Pot,4/3/21,21
BS Sablefish HAL/Pot,5/8/21,6
BS Sablefish HAL/Pot,5/15/21,61
BS Sablefish HAL/Pot,5/22/21,13
BS Sablefish HAL/Pot,5/29/21,31
BS Sablefish HAL/Pot,6/5/21,29
BS Sablefish HAL/Pot,6/12/21,11
BS Sablefish HAL/Pot,6/19/21,39
BS Sablefish HAL/Pot,6/26/21,2
BS Sablefish HAL/Pot,7/3/21,18
BS Sablefish HAL/Pot,7/10/21,88
BS Sablefish HAL/Pot,7/17/21,42
BS Sablefish HAL/Pot,7/24/21,0
BS Sablefish HAL/Pot,7/31/21,13
BS Sablefish HAL/Pot,8/7/21,20
BS Sablefish HAL/Pot,8/14/21,33
BS Sablefish HAL/Pot,8/21/21,27
BS Sablefish HAL/Pot,8/28/21,14
BS Sablefish HAL/Pot,9/4/21,45
BS Sablefish HAL/Pot,9/11/21,45
BS Sablefish HAL/Pot,9/18/21,50
BS Sablefish HAL/Pot,9/25/21,25
BS Sablefish HAL/Pot,10/2/21,202
BS Sablefish HAL/Pot,10/9/21,43
BS Sablefish TRW,2/13/21,0
BS Sablefish TRW,3/13/21,0
BS Sablefish TRW,3/20/21,0
BS Sablefish TRW,3/27/21,36
BS Sablefish TRW,5/1/21,25
BS Sablefish TRW,5/8/21,49
BS Sablefish TRW,5/15/21,56
BS Sablefish TRW,5/22/21,149
BS Sablefish TRW,6/5/21,37
BS Sablefish TRW,6/12/21,58
BS Sablefish TRW,6/19/21,193
BS Sablefish TRW,6/26/21,242
BS Sablefish TRW,7/3/21,73
BS Sablefish TRW,7/10/21,184
BS Sablefish TRW,7/17/21,223
BS Sablefish TRW,7/24/21,181
BS Sablefish TRW,7/31/21,144
BS Sablefish TRW,8/7/21,138
BS Sablefish TRW,8/14/21,110
BS Sablefish TRW,8/21/21,73
BS Sablefish TRW,8/28/21,98
BS Sablefish TRW,9/4/21,26
BS Sablefish TRW,9/11/21,29
BS Sablefish TRW,9/18/21,11
BS Sablefish TRW,9/25/21,13
BS Sablefish TRW,10/2/21,37
BS Sablefish TRW,10/9/21,16
BS Sablefish TRW,10/16/21,13
BS Sablefish TRW,10/23/21,15
BSAI Alaska Plaice,1/9/21,0
BSAI Alaska Plaice,1/23/21,98
BSAI Alaska Plaice,1/30/21,250
BSAI Alaska Plaice,2/6/21,485
BSAI Alaska Plaice,2/13/21,617
BSAI Alaska Plaice,2/20/21,71
BSAI Alaska Plaice,2/27/21,583
BSAI Alaska Plaice,3/6/21,1268
BSAI Alaska Plaice,3/13/21,1366
BSAI Alaska Plaice,3/20/21,1524
BSAI Alaska Plaice,3/27/21,1122
BSAI Alaska Plaice,4/3/21,626
BSAI Alaska Plaice,4/10/21,487
BSAI Alaska Plaice,4/17/21,267
BSAI Alaska Plaice,4/24/21,570
BSAI Alaska Plaice,5/1/21,849
BSAI Alaska Plaice,5/8/21,1448
BSAI Alaska Plaice,5/15/21,1214
BSAI Alaska Plaice,5/22/21,215
BSAI Alaska Plaice,5/29/21,112
BSAI Alaska Plaice,6/5/21,63
BSAI Alaska Plaice,6/12/21,36
BSAI Alaska Plaice,6/19/21,9
BSAI Alaska Plaice,6/26/21,24
BSAI Alaska Plaice,7/3/21,54
BSAI Alaska Plaice,7/10/21,64
BSAI Alaska Plaice,7/17/21,37
BSAI Alaska Plaice,7/24/21,78
BSAI Alaska Plaice,7/31/21,44
BSAI Alaska Plaice,8/7/21,33
BSAI Alaska Plaice,8/14/21,56
BSAI Alaska Plaice,8/21/21,166
BSAI Alaska Plaice,8/28/21,191
BSAI Alaska Plaice,9/4/21,142
BSAI Alaska Plaice,9/11/21,358
BSAI Alaska Plaice,9/18/21,292
BSAI Alaska Plaice,9/25/21,237
BSAI Alaska Plaice,10/2/21,109
BSAI Alaska Plaice,10/9/21,133
BSAI Alaska Plaice,10/16/21,126
BSAI Alaska Plaice,10/23/21,95
BSAI Arrowtooth Flounder,1/9/21,0
BSAI Arrowtooth Flounder,1/16/21,1
BSAI Arrowtooth Flounder,1/23/21,2
BSAI Arrowtooth Flounder,1/30/21,15
BSAI Arrowtooth Flounder,2/6/21,27
BSAI Arrowtooth Flounder,2/13/21,31
BSAI Arrowtooth Flounder,2/20/21,15
BSAI Arrowtooth Flounder,2/27/21,9
BSAI Arrowtooth Flounder,3/6/21,16
BSAI Arrowtooth Flounder,3/13/21,14
BSAI Arrowtooth Flounder,3/20/21,12
BSAI Arrowtooth Flounder,3/27/21,38
BSAI Arrowtooth Flounder,4/3/21,37
BSAI Arrowtooth Flounder,4/10/21,34
BSAI Arrowtooth Flounder,4/17/21,58
BSAI Arrowtooth Flounder,4/24/21,87
BSAI Arrowtooth Flounder,5/1/21,98
BSAI Arrowtooth Flounder,5/8/21,584
BSAI Arrowtooth Flounder,5/15/21,417
BSAI Arrowtooth Flounder,5/22/21,330
BSAI Arrowtooth Flounder,5/29/21,231
BSAI Arrowtooth Flounder,6/5/21,119
BSAI Arrowtooth Flounder,6/12/21,462
BSAI Arrowtooth Flounder,6/19/21,303
BSAI Arrowtooth Flounder,6/26/21,431
BSAI Arrowtooth Flounder,7/3/21,541
BSAI Arrowtooth Flounder,7/10/21,497
BSAI Arrowtooth Flounder,7/17/21,306
BSAI Arrowtooth Flounder,7/24/21,238
BSAI Arrowtooth Flounder,7/31/21,356
BSAI Arrowtooth Flounder,8/7/21,296
BSAI Arrowtooth Flounder,8/14/21,238
BSAI Arrowtooth Flounder,8/21/21,297
BSAI Arrowtooth Flounder,8/28/21,175
BSAI Arrowtooth Flounder,9/4/21,165
BSAI Arrowtooth Flounder,9/11/21,154
BSAI Arrowtooth Flounder,9/18/21,222
BSAI Arrowtooth Flounder,9/25/21,213
BSAI Arrowtooth Flounder,10/2/21,165
BSAI Arrowtooth Flounder,10/9/21,177
BSAI Arrowtooth Flounder,10/16/21,157
BSAI Arrowtooth Flounder,10/23/21,144
BSAI Flathead Sole,1/9/21,7
BSAI Flathead Sole,1/16/21,9
BSAI Flathead Sole,1/23/21,28
BSAI Flathead Sole,1/30/21,123
BSAI Flathead Sole,2/6/21,264
BSAI Flathead Sole,2/13/21,258
BSAI Flathead Sole,2/20/21,256
BSAI Flathead Sole,2/27/21,166
BSAI Flathead Sole,3/6/21,136
BSAI Flathead Sole,3/13/21,148
BSAI Flathead Sole,3/20/21,129
BSAI Flathead Sole,3/27/21,124
BSAI Flathead Sole,4/3/21,206
BSAI Flathead Sole,4/10/21,328
BSAI Flathead Sole,4/17/21,329
BSAI Flathead Sole,4/24/21,648
BSAI Flathead Sole,5/1/21,359
BSAI Flathead Sole,5/8/21,94
BSAI Flathead Sole,5/15/21,121
BSAI Flathead Sole,5/22/21,31
BSAI Flathead Sole,5/29/21,36
BSAI Flathead Sole,6/5/21,30
BSAI Flathead Sole,6/12/21,252
BSAI Flathead Sole,6/19/21,174
BSAI Flathead Sole,6/26/21,163
BSAI Flathead Sole,7/3/21,267
BSAI Flathead Sole,7/10/21,351
BSAI Flathead Sole,7/17/21,320
BSAI Flathead Sole,7/24/21,383
BSAI Flathead Sole,7/31/21,293
BSAI Flathead Sole,8/7/21,337
BSAI Flathead Sole,8/14/21,185
BSAI Flathead Sole,8/21/21,348
BSAI Flathead Sole,8/28/21,329
BSAI Flathead Sole,9/4/21,294
BSAI Flathead Sole,9/11/21,297
BSAI Flathead Sole,9/18/21,743
BSAI Flathead Sole,9/25/21,216
BSAI Flathead Sole,10/2/21,146
BSAI Flathead Sole,10/9/21,152
BSAI Flathead Sole,10/16/21,148
BSAI Flathead Sole,10/23/21,64
BSAI Kamchatka Flounder,1/9/21,0
BSAI Kamchatka Flounder,1/16/21,0
BSAI Kamchatka Flounder,1/23/21,0
BSAI Kamchatka Flounder,1/30/21,0
BSAI Kamchatka Flounder,2/6/21,1
BSAI Kamchatka Flounder,2/13/21,2
BSAI Kamchatka Flounder,2/20/21,2
BSAI Kamchatka Flounder,2/27/21,1
BSAI Kamchatka Flounder,3/6/21,1
BSAI Kamchatka Flounder,3/13/21,1
BSAI Kamchatka Flounder,3/20/21,1
BSAI Kamchatka Flounder,3/27/21,10
BSAI Kamchatka Flounder,4/3/21,10
BSAI Kamchatka Flounder,4/10/21,1
BSAI Kamchatka Flounder,4/17/21,0
BSAI Kamchatka Flounder,4/24/21,3
BSAI Kamchatka Flounder,5/1/21,41
BSAI Kamchatka Flounder,5/8/21,275
BSAI Kamchatka Flounder,5/15/21,168
BSAI Kamchatka Flounder,5/22/21,337
BSAI Kamchatka Flounder,5/29/21,243
BSAI Kamchatka Flounder,6/5/21,323
BSAI Kamchatka Flounder,6/12/21,794
BSAI Kamchatka Flounder,6/19/21,431
BSAI Kamchatka Flounder,6/26/21,853
BSAI Kamchatka Flounder,7/3/21,768
BSAI Kamchatka Flounder,7/10/21,907
BSAI Kamchatka Flounder,7/17/21,644
BSAI Kamchatka Flounder,7/24/21,222
BSAI Kamchatka Flounder,7/31/21,102
BSAI Kamchatka Flounder,8/7/21,65
BSAI Kamchatka Flounder,8/14/21,80
BSAI Kamchatka Flounder,8/21/21,60
BSAI Kamchatka Flounder,8/28/21,33
BSAI Kamchatka Flounder,9/4/21,22
BSAI Kamchatka Flounder,9/11/21,16
BSAI Kamchatka Flounder,9/18/21,23
BSAI Kamchatka Flounder,9/25/21,18
BSAI Kamchatka Flounder,10/2/21,21
BSAI Kamchatka Flounder,10/9/21,15
BSAI Kamchatka Flounder,10/16/21,19
BSAI Kamchatka Flounder,10/23/21,34
BSAI Northern Rockfish,1/30/21,9
BSAI Northern Rockfish,2/6/21,22
BSAI Northern Rockfish,2/13/21,47
BSAI Northern Rockfish,2/20/21,58
BSAI Northern Rockfish,2/27/21,38
BSAI Northern Rockfish,3/6/21,78
BSAI Northern Rockfish,3/13/21,89
BSAI Northern Rockfish,3/20/21,17
BSAI Northern Rockfish,3/27/21,64
BSAI Northern Rockfish,4/3/21,64
BSAI Northern Rockfish,4/10/21,186
BSAI Northern Rockfish,4/17/21,137
BSAI Northern Rockfish,4/24/21,240
BSAI Northern Rockfish,5/1/21,86
BSAI Northern Rockfish,5/8/21,88
BSAI Northern Rockfish,5/15/21,3
BSAI Northern Rockfish,5/22/21,21
BSAI Northern Rockfish,5/29/21,30
BSAI Northern Rockfish,6/12/21,90
BSAI Northern Rockfish,6/19/21,210
BSAI Northern Rockfish,6/26/21,410
BSAI Northern Rockfish,7/3/21,263
BSAI Northern Rockfish,7/10/21,315
BSAI Northern Rockfish,7/17/21,244
BSAI Northern Rockfish,7/24/21,184
BSAI Northern Rockfish,7/31/21,301
BSAI Northern Rockfish,8/7/21,190
BSAI Northern Rockfish,8/14/21,449
BSAI Northern Rockfish,8/21/21,650
BSAI Northern Rockfish,8/28/21,627
BSAI Northern Rockfish,9/4/21,318
BSAI Northern Rockfish,9/11/21,112
BSAI Northern Rockfish,9/18/21,20
BSAI Northern Rockfish,9/25/21,62
BSAI Northern Rockfish,10/2/21,23
BSAI Northern Rockfish,10/9/21,59
BSAI Northern Rockfish,10/16/21,23
BSAI Northern Rockfish,10/23/21,32
BSAI Octopus,1/2/21,14
BSAI Octopus,1/9/21,14
BSAI Octopus,1/16/21,13
BSAI Octopus,1/23/21,19
BSAI Octopus,1/30/21,1
BSAI Octopus,2/6/21,1
BSAI Octopus,2/13/21,6
BSAI Octopus,2/20/21,9
BSAI Octopus,2/27/21,11
BSAI Octopus,3/6/21,3
BSAI Octopus,3/13/21,10
BSAI Octopus,3/20/21,12
BSAI Octopus,3/27/21,6
BSAI Octopus,4/3/21,4
BSAI Octopus,4/10/21,1
BSAI Octopus,4/17/21,1
BSAI Octopus,4/24/21,1
BSAI Octopus,5/1/21,1
BSAI Octopus,5/8/21,0
BSAI Octopus,5/15/21,1
BSAI Octopus,5/22/21,1
BSAI Octopus,5/29/21,0
BSAI Octopus,6/5/21,0
BSAI Octopus,6/12/21,2
BSAI Octopus,6/19/21,1
BSAI Octopus,6/26/21,0
BSAI Octopus,7/3/21,0
BSAI Octopus,7/10/21,0
BSAI Octopus,7/17/21,1
BSAI Octopus,7/24/21,1
BSAI Octopus,7/31/21,1
BSAI Octopus,8/7/21,1
BSAI Octopus,8/14/21,2
BSAI Octopus,8/21/21,2
BSAI Octopus,8/28/21,1
BSAI Octopus,9/4/21,2
BSAI Octopus,9/11/21,2
BSAI Octopus,9/18/21,1
BSAI Octopus,9/25/21,3
BSAI Octopus,10/2/21,3
BSAI Octopus,10/9/21,4
BSAI Octopus,10/16/21,1
BSAI Octopus,10/23/21,1
BSAI Other Flatfish,1/2/21,1
BSAI Other Flatfish,1/9/21,4
BSAI Other Flatfish,1/16/21,2
BSAI Other Flatfish,1/23/21,15
BSAI Other Flatfish,1/30/21,13
BSAI Other Flatfish,2/6/21,35
BSAI Other Flatfish,2/13/21,57
BSAI Other Flatfish,2/20/21,43
BSAI Other Flatfish,2/27/21,62
BSAI Other Flatfish,3/6/21,60
BSAI Other Flatfish,3/13/21,42
BSAI Other Flatfish,3/20/21,58
BSAI Other Flatfish,3/27/21,59
BSAI Other Flatfish,4/3/21,31
BSAI Other Flatfish,4/10/21,23
BSAI Other Flatfish,4/17/21,33
BSAI Other Flatfish,4/24/21,45
BSAI Other Flatfish,5/1/21,121
BSAI Other Flatfish,5/8/21,169
BSAI Other Flatfish,5/15/21,348
BSAI Other Flatfish,5/22/21,314
