National Marine Fisheries Service
P.O. Box 21668
Juneau AK  99802-1668

2020 Bering Sea Aleutian Islands Weekly Catch

Through 2020-12-31

Weight in metric tons
Does not include catch of CDQ allocated species.  See Table 1 of the final harvest specifications for CDQ allocated species.
Screened for confidentiality - three or more processors reporting for each row 


ACCOUNT NAME,WEEK END DATE,METRIC TONS
AI Greenland Turbot,3/21/20,1
AI Greenland Turbot,3/28/20,0
AI Greenland Turbot,4/25/20,1
AI Greenland Turbot,5/2/20,17
AI Greenland Turbot,5/9/20,44
AI Greenland Turbot,5/16/20,21
AI Greenland Turbot,5/23/20,27
AI Greenland Turbot,5/30/20,51
AI Greenland Turbot,6/6/20,57
AI Greenland Turbot,6/13/20,67
AI Greenland Turbot,6/20/20,71
AI Greenland Turbot,6/27/20,45
AI Greenland Turbot,7/4/20,74
AI Greenland Turbot,7/11/20,116
AI Greenland Turbot,7/25/20,37
AI Greenland Turbot,9/26/20,4
AI Other Rockfish,2/1/20,7
AI Other Rockfish,2/8/20,7
AI Other Rockfish,2/15/20,2
AI Other Rockfish,2/22/20,7
AI Other Rockfish,2/29/20,8
AI Other Rockfish,3/7/20,1
AI Other Rockfish,3/14/20,1
AI Other Rockfish,3/21/20,21
AI Other Rockfish,3/28/20,3
AI Other Rockfish,4/4/20,3
AI Other Rockfish,4/11/20,15
AI Other Rockfish,4/18/20,9
AI Other Rockfish,4/25/20,21
AI Other Rockfish,5/2/20,21
AI Other Rockfish,5/9/20,17
AI Other Rockfish,5/16/20,3
AI Other Rockfish,5/23/20,7
AI Other Rockfish,5/30/20,2
AI Other Rockfish,6/6/20,8
AI Other Rockfish,6/13/20,17
AI Other Rockfish,6/20/20,22
AI Other Rockfish,6/27/20,22
AI Other Rockfish,7/4/20,30
AI Other Rockfish,7/11/20,41
AI Other Rockfish,7/18/20,55
AI Other Rockfish,7/25/20,45
AI Other Rockfish,8/1/20,46
AI Other Rockfish,8/8/20,33
AI Other Rockfish,8/15/20,38
AI Other Rockfish,8/22/20,23
AI Other Rockfish,8/29/20,40
AI Other Rockfish,9/5/20,22
AI Other Rockfish,9/12/20,19
AI Other Rockfish,9/19/20,1
AI Other Rockfish,9/26/20,9
AI Other Rockfish,10/3/20,3
AI Other Rockfish,10/17/20,15
AI Other Rockfish,10/24/20,15
AI Other Rockfish,10/31/20,20
AI Other Rockfish,11/7/20,14
AI Other Rockfish,11/21/20,1
AI Other Rockfish,11/28/20,3
AI Other Rockfish,12/5/20,9
AI Other Rockfish,12/12/20,2
AI Other Rockfish,12/19/20,4
AI Pollock ICA,1/25/20,0
AI Pollock ICA,2/8/20,8
AI Pollock ICA,2/15/20,1
AI Pollock ICA,2/22/20,2
AI Pollock ICA,3/14/20,0
AI Pollock ICA,3/21/20,16
AI Pollock ICA,4/4/20,1
AI Pollock ICA,4/11/20,1
AI Pollock ICA,4/18/20,11
AI Pollock ICA,4/25/20,7
AI Pollock ICA,5/2/20,20
AI Pollock ICA,5/9/20,73
AI Pollock ICA,5/16/20,42
AI Pollock ICA,5/23/20,42
AI Pollock ICA,5/30/20,43
AI Pollock ICA,6/6/20,71
AI Pollock ICA,6/13/20,176
AI Pollock ICA,6/20/20,223
AI Pollock ICA,6/27/20,135
AI Pollock ICA,7/4/20,222
AI Pollock ICA,7/11/20,280
AI Pollock ICA,7/18/20,121
AI Pollock ICA,7/25/20,120
AI Pollock ICA,8/1/20,86
AI Pollock ICA,8/8/20,113
AI Pollock ICA,8/15/20,127
AI Pollock ICA,8/22/20,80
AI Pollock ICA,8/29/20,33
AI Pollock ICA,9/5/20,8
AI Pollock ICA,9/12/20,3
AI Pollock ICA,9/19/20,1
AI Pollock ICA,10/3/20,2
AI Pollock ICA,10/24/20,58
AI Pollock ICA,10/31/20,68
AI Pollock ICA,11/7/20,13
AI Pollock ICA,11/21/20,94
AI Pollock ICA,11/28/20,81
AI Pollock ICA,12/5/20,21
AI Pollock ICA,12/12/20,11
AI Pollock ICA,12/19/20,12
AI Sablefish HAL/Pot,3/21/20,90
AI Sablefish HAL/Pot,3/28/20,41
AI Sablefish HAL/Pot,6/6/20,4
AI Sablefish HAL/Pot,9/26/20,9
AI Sablefish HAL/Pot,11/28/20,2
AI Sablefish HAL/Pot,12/5/20,4
AI Sablefish HAL/Pot,12/12/20,0
AI Sablefish TRW,3/21/20,1
AI Sablefish TRW,4/11/20,1
AI Sablefish TRW,5/2/20,10
AI Sablefish TRW,5/9/20,25
AI Sablefish TRW,5/16/20,10
AI Sablefish TRW,5/23/20,26
AI Sablefish TRW,5/30/20,35
AI Sablefish TRW,6/6/20,60
AI Sablefish TRW,6/13/20,36
AI Sablefish TRW,6/20/20,62
AI Sablefish TRW,6/27/20,26
AI Sablefish TRW,7/4/20,75
AI Sablefish TRW,7/11/20,82
AI Sablefish TRW,7/18/20,35
AI Sablefish TRW,7/25/20,29
AI Sablefish TRW,8/1/20,17
AI Sablefish TRW,8/8/20,13
AI Sablefish TRW,8/15/20,31
AI Sablefish TRW,8/22/20,4
AI Sablefish TRW,8/29/20,6
AI Sablefish TRW,10/24/20,1
AI Sablefish TRW,10/31/20,2
AI Sablefish TRW,11/7/20,2
BS Greenland Turbot,1/11/20,0
BS Greenland Turbot,1/25/20,0
BS Greenland Turbot,2/1/20,0
BS Greenland Turbot,2/8/20,0
BS Greenland Turbot,2/15/20,0
BS Greenland Turbot,2/22/20,0
BS Greenland Turbot,2/29/20,0
BS Greenland Turbot,3/7/20,1
BS Greenland Turbot,3/14/20,5
BS Greenland Turbot,3/21/20,2
BS Greenland Turbot,3/28/20,0
BS Greenland Turbot,4/4/20,0
BS Greenland Turbot,4/25/20,0
BS Greenland Turbot,5/2/20,25
BS Greenland Turbot,5/9/20,52
BS Greenland Turbot,5/16/20,43
BS Greenland Turbot,5/23/20,16
BS Greenland Turbot,5/30/20,0
BS Greenland Turbot,6/6/20,41
BS Greenland Turbot,6/13/20,170
BS Greenland Turbot,6/20/20,177
BS Greenland Turbot,6/27/20,213
BS Greenland Turbot,7/4/20,129
BS Greenland Turbot,7/11/20,108
BS Greenland Turbot,7/18/20,35
BS Greenland Turbot,7/25/20,103
BS Greenland Turbot,8/1/20,84
BS Greenland Turbot,8/8/20,128
BS Greenland Turbot,8/15/20,91
BS Greenland Turbot,8/22/20,33
BS Greenland Turbot,8/29/20,64
BS Greenland Turbot,9/5/20,88
BS Greenland Turbot,9/12/20,5
BS Greenland Turbot,9/19/20,3
BS Greenland Turbot,9/26/20,3
BS Greenland Turbot,10/3/20,2
BS Greenland Turbot,10/10/20,2
BS Greenland Turbot,10/17/20,1
BS Greenland Turbot,10/24/20,1
BS Greenland Turbot,10/31/20,1
BS Greenland Turbot,11/7/20,0
