"National Marine Fisheries Service
P.O. Box 21668
Juneau AK  99802-1668

"
2014 Bering Sea Aleutian Islands Weekly Catch
Through: 
,December 31 2014
,,,,


ACCOUNT NAME,WEEK END DATE,METRIC TONS
AI Greenland Turbot,4/26/14,2
AI Greenland Turbot,5/3/14,32
AI Greenland Turbot,5/10/14,17
AI Greenland Turbot,5/17/14,6
AI Greenland Turbot,5/24/14,8
AI Greenland Turbot,5/31/14,6
AI Greenland Turbot,6/7/14,3
AI Greenland Turbot,6/14/14,4
AI Greenland Turbot,6/21/14,17
AI Greenland Turbot,6/28/14,10
AI Greenland Turbot,7/19/14,7
AI Greenland Turbot,7/26/14,8
AI Greenland Turbot,8/2/14,18
AI Greenland Turbot,8/9/14,17
AI Greenland Turbot,8/16/14,8
AI Greenland Turbot,8/23/14,3
AI Greenland Turbot,8/30/14,2
AI Greenland Turbot,9/6/14,1
AI Greenland Turbot,9/13/14,4
AI Greenland Turbot,10/18/14,0
AI Other Rockfish,1/25/14,8
AI Other Rockfish,2/1/14,15
AI Other Rockfish,3/15/14,10
AI Other Rockfish,3/22/14,10
AI Other Rockfish,3/29/14,3
AI Other Rockfish,4/5/14,2
AI Other Rockfish,4/12/14,10
AI Other Rockfish,4/26/14,9
AI Other Rockfish,5/3/14,18
AI Other Rockfish,5/10/14,20
AI Other Rockfish,5/17/14,9
AI Other Rockfish,5/24/14,30
AI Other Rockfish,5/31/14,10
AI Other Rockfish,6/7/14,11
AI Other Rockfish,6/14/14,11
AI Other Rockfish,6/21/14,23
AI Other Rockfish,6/28/14,54
AI Other Rockfish,7/5/14,37
AI Other Rockfish,7/12/14,28
AI Other Rockfish,7/19/14,11
AI Other Rockfish,7/26/14,12
AI Other Rockfish,8/2/14,22
AI Other Rockfish,8/9/14,26
AI Other Rockfish,8/16/14,20
AI Other Rockfish,8/23/14,10
AI Other Rockfish,8/30/14,14
AI Other Rockfish,9/6/14,18
AI Other Rockfish,9/13/14,16
AI Other Rockfish,9/20/14,45
AI Other Rockfish,9/27/14,23
AI Other Rockfish,10/4/14,17
AI Other Rockfish,10/11/14,31
AI Other Rockfish,10/18/14,27
AI Other Rockfish,10/25/14,11
AI Pollock ICA,2/1/14,1
AI Pollock ICA,3/15/14,72
AI Pollock ICA,3/22/14,8
AI Pollock ICA,5/3/14,114
AI Pollock ICA,5/10/14,189
AI Pollock ICA,5/17/14,49
AI Pollock ICA,5/24/14,150
AI Pollock ICA,5/31/14,14
AI Pollock ICA,6/7/14,11
AI Pollock ICA,6/14/14,229
AI Pollock ICA,6/21/14,290
AI Pollock ICA,6/28/14,201
AI Pollock ICA,7/5/14,169
AI Pollock ICA,7/12/14,71
AI Pollock ICA,7/19/14,37
AI Pollock ICA,7/26/14,41
AI Pollock ICA,8/2/14,87
AI Pollock ICA,8/9/14,272
AI Pollock ICA,8/16/14,139
AI Pollock ICA,8/23/14,154
AI Pollock ICA,8/30/14,26
AI Pollock ICA,9/6/14,5
AI Pollock ICA,9/13/14,7
AI Pollock ICA,9/27/14,1
AI Sablefish HAL/Pot,4/5/14,27
AI Sablefish HAL/Pot,4/26/14,23
AI Sablefish HAL/Pot,5/3/14,32
AI Sablefish HAL/Pot,5/10/14,6
AI Sablefish HAL/Pot,5/17/14,4
AI Sablefish HAL/Pot,5/24/14,22
AI Sablefish HAL/Pot,5/31/14,4
