"National Marine Fisheries Service
P.O. Box 21668
Juneau AK  99802-1668

"
2015 Bering Sea Aleutian Islands Weekly Catch
Through: 
,December 31 2015
,,,,


ACCOUNT NAME,WEEK END DATE,METRIC TONS
AI Greenland Turbot,5/2/15,15
AI Greenland Turbot,5/9/15,14
AI Greenland Turbot,5/16/15,4
AI Greenland Turbot,5/23/15,22
AI Greenland Turbot,5/30/15,12
AI Greenland Turbot,6/6/15,13
AI Greenland Turbot,6/13/15,3
AI Greenland Turbot,6/20/15,2
AI Greenland Turbot,6/27/15,1
AI Greenland Turbot,7/4/15,1
AI Greenland Turbot,7/11/15,0
AI Greenland Turbot,7/18/15,2
AI Greenland Turbot,7/25/15,2
AI Greenland Turbot,8/1/15,3
AI Greenland Turbot,8/8/15,2
AI Greenland Turbot,8/15/15,1
AI Greenland Turbot,8/22/15,2
AI Greenland Turbot,9/5/15,2
AI Greenland Turbot,9/12/15,6
AI Greenland Turbot,10/10/15,2
AI Other Rockfish,1/10/15,5
AI Other Rockfish,1/17/15,6
AI Other Rockfish,1/24/15,23
AI Other Rockfish,1/31/15,4
AI Other Rockfish,2/7/15,10
AI Other Rockfish,2/14/15,4
AI Other Rockfish,2/21/15,2
AI Other Rockfish,2/28/15,1
AI Other Rockfish,3/21/15,2
AI Other Rockfish,3/28/15,18
AI Other Rockfish,4/4/15,2
AI Other Rockfish,4/18/15,3
AI Other Rockfish,4/25/15,2
AI Other Rockfish,5/2/15,9
AI Other Rockfish,5/9/15,14
AI Other Rockfish,5/16/15,21
AI Other Rockfish,5/23/15,6
AI Other Rockfish,5/30/15,19
AI Other Rockfish,6/6/15,15
AI Other Rockfish,6/13/15,47
AI Other Rockfish,6/20/15,18
AI Other Rockfish,6/27/15,28
AI Other Rockfish,7/4/15,16
AI Other Rockfish,7/11/15,25
AI Other Rockfish,7/18/15,14
AI Other Rockfish,7/25/15,15
AI Other Rockfish,8/1/15,19
AI Other Rockfish,8/8/15,25
AI Other Rockfish,8/15/15,11
AI Other Rockfish,8/22/15,9
AI Other Rockfish,8/29/15,6
AI Other Rockfish,9/5/15,8
AI Other Rockfish,9/12/15,7
AI Other Rockfish,9/19/15,7
AI Other Rockfish,9/26/15,6
AI Other Rockfish,10/3/15,15
AI Other Rockfish,10/10/15,21
AI Other Rockfish,10/17/15,15
AI Other Rockfish,10/24/15,10
AI Other Rockfish,10/31/15,16
AI Pollock ICA,1/17/15,1
AI Pollock ICA,1/24/15,1
AI Pollock ICA,1/31/15,2
AI Pollock ICA,2/7/15,10
