National Marine Fisheries Service
P.O. Box 21668
Juneau AK  99802-1668

2017 Bering Sea Aleutian Islands Weekly Catch

Through 2017-12-31

Weight in metric tons
Does not include catch of CDQ allocated species.  See Table 1 of the final harvest specifications for CDQ allocated species.
Screened for confidentiality - three or more processors reporting for each row 


ACCOUNT NAME,WEEK END DATE,METRIC TONS
AI Greenland Turbot,5/6/17,3
AI Greenland Turbot,5/20/17,1
AI Greenland Turbot,7/22/17,21
AI Greenland Turbot,7/29/17,19
AI Greenland Turbot,8/5/17,9
AI Greenland Turbot,8/12/17,3
AI Greenland Turbot,8/19/17,2
AI Greenland Turbot,9/23/17,1
AI Other Rockfish,2/11/17,2
AI Other Rockfish,2/18/17,3
AI Other Rockfish,2/25/17,2
AI Other Rockfish,3/4/17,1
AI Other Rockfish,3/11/17,6
AI Other Rockfish,3/18/17,2
AI Other Rockfish,3/25/17,9
AI Other Rockfish,4/1/17,12
AI Other Rockfish,4/8/17,38
AI Other Rockfish,4/15/17,11
AI Other Rockfish,4/22/17,10
AI Other Rockfish,4/29/17,8
AI Other Rockfish,5/6/17,13
AI Other Rockfish,5/13/17,7
AI Other Rockfish,5/20/17,3
AI Other Rockfish,5/27/17,6
AI Other Rockfish,6/3/17,13
AI Other Rockfish,6/10/17,7
AI Other Rockfish,6/17/17,9
AI Other Rockfish,6/24/17,18
AI Other Rockfish,7/1/17,13
AI Other Rockfish,7/8/17,15
AI Other Rockfish,7/15/17,13
AI Other Rockfish,7/22/17,24
AI Other Rockfish,7/29/17,21
AI Other Rockfish,8/5/17,27
AI Other Rockfish,8/12/17,27
AI Other Rockfish,8/19/17,20
AI Other Rockfish,8/26/17,14
AI Other Rockfish,9/2/17,12
AI Other Rockfish,9/9/17,21
AI Other Rockfish,9/16/17,36
AI Other Rockfish,9/23/17,61
AI Other Rockfish,9/30/17,18
AI Other Rockfish,10/7/17,15
AI Other Rockfish,10/14/17,21
AI Other Rockfish,10/21/17,7
AI Other Rockfish,10/28/17,11
AI Other Rockfish,11/4/17,9
AI Pollock ICA,2/11/17,1
AI Pollock ICA,2/18/17,4
AI Pollock ICA,2/25/17,43
AI Pollock ICA,3/11/17,9
AI Pollock ICA,4/8/17,4
AI Pollock ICA,4/15/17,7
AI Pollock ICA,4/22/17,1
AI Pollock ICA,4/29/17,4
AI Pollock ICA,5/6/17,11
AI Pollock ICA,5/13/17,76
AI Pollock ICA,6/10/17,80
AI Pollock ICA,6/17/17,116
AI Pollock ICA,6/24/17,19
AI Pollock ICA,7/1/17,57
AI Pollock ICA,7/8/17,77
AI Pollock ICA,7/15/17,33
AI Pollock ICA,7/22/17,36
AI Pollock ICA,7/29/17,34
AI Pollock ICA,8/5/17,104
AI Pollock ICA,8/12/17,133
AI Pollock ICA,8/19/17,104
AI Pollock ICA,8/26/17,42
AI Pollock ICA,9/2/17,83
AI Pollock ICA,9/9/17,85
AI Pollock ICA,9/16/17,37
AI Pollock ICA,9/23/17,75
AI Pollock ICA,10/7/17,1
AI Pollock ICA,10/14/17,4
AI Pollock ICA,10/21/17,15
AI Pollock ICA,10/28/17,1
AI Pollock ICA,11/4/17,88
AI Sablefish HAL/Pot,5/13/17,23
AI Sablefish HAL/Pot,5/20/17,14
AI Sablefish HAL/Pot,5/27/17,8
AI Sablefish HAL/Pot,6/3/17,13
AI Sablefish HAL/Pot,6/10/17,11
AI Sablefish HAL/Pot,6/17/17,2
AI Sablefish HAL/Pot,7/1/17,0
AI Sablefish HAL/Pot,7/15/17,2
AI Sablefish HAL/Pot,7/22/17,6
AI Sablefish HAL/Pot,7/29/17,8
AI Sablefish HAL/Pot,8/5/17,7
AI Sablefish HAL/Pot,8/19/17,8
AI Sablefish HAL/Pot,8/26/17,18
AI Sablefish HAL/Pot,9/9/17,14
AI Sablefish HAL/Pot,9/16/17,17
AI Sablefish HAL/Pot,9/23/17,5
AI Sablefish HAL/Pot,9/30/17,2
AI Sablefish HAL/Pot,10/7/17,7
AI Sablefish HAL/Pot,10/21/17,4
AI Sablefish TRW,6/17/17,4
AI Sablefish TRW,7/22/17,2
AI Sablefish TRW,7/29/17,1
AI Sablefish TRW,8/5/17,11
AI Sablefish TRW,8/12/17,5
AI Sablefish TRW,9/2/17,34
AI Sablefish TRW,9/9/17,2
AI Sablefish TRW,9/16/17,1
AI Sablefish TRW,9/23/17,5
AI Sablefish TRW,9/30/17,8
AI Sablefish TRW,10/14/17,1
BS Greenland Turbot,1/7/17,2
BS Greenland Turbot,1/14/17,1
BS Greenland Turbot,1/21/17,0
BS Greenland Turbot,1/28/17,0
BS Greenland Turbot,2/18/17,0
BS Greenland Turbot,2/25/17,0
BS Greenland Turbot,3/4/17,0
BS Greenland Turbot,3/11/17,2
BS Greenland Turbot,3/18/17,5
BS Greenland Turbot,3/25/17,3
BS Greenland Turbot,4/1/17,1
BS Greenland Turbot,4/8/17,0
BS Greenland Turbot,4/15/17,0
BS Greenland Turbot,4/22/17,0
BS Greenland Turbot,4/29/17,0
BS Greenland Turbot,5/6/17,16
BS Greenland Turbot,5/13/17,16
BS Greenland Turbot,5/20/17,71
BS Greenland Turbot,5/27/17,210
BS Greenland Turbot,6/3/17,313
BS Greenland Turbot,6/10/17,289
BS Greenland Turbot,6/17/17,243
BS Greenland Turbot,6/24/17,169
BS Greenland Turbot,7/1/17,129
BS Greenland Turbot,7/8/17,203
BS Greenland Turbot,7/15/17,187
BS Greenland Turbot,7/22/17,201
BS Greenland Turbot,7/29/17,114
BS Greenland Turbot,8/5/17,109
BS Greenland Turbot,8/12/17,34
BS Greenland Turbot,8/19/17,23
BS Greenland Turbot,8/26/17,22
BS Greenland Turbot,9/2/17,48
BS Greenland Turbot,9/9/17,44
BS Greenland Turbot,9/16/17,5
BS Greenland Turbot,9/23/17,36
BS Greenland Turbot,9/30/17,34
BS Greenland Turbot,10/7/17,26
BS Greenland Turbot,10/14/17,4
BS Greenland Turbot,10/21/17,4
BS Greenland Turbot,10/28/17,2
BS Greenland Turbot,11/4/17,3
BS Greenland Turbot,11/11/17,3
BS Greenland Turbot,11/18/17,3
BS Greenland Turbot,11/25/17,2
BS Greenland Turbot,12/2/17,3
BS Greenland Turbot,12/9/17,2
BS Greenland Turbot,12/16/17,3
BS Greenland Turbot,12/23/17,1
BS Greenland Turbot,12/30/17,1
BS Greenland Turbot,12/31/17,0
BS Other Rockfish,1/7/17,1
BS Other Rockfish,1/14/17,2
BS Other Rockfish,1/21/17,1
BS Other Rockfish,1/28/17,2
BS Other Rockfish,2/4/17,0
BS Other Rockfish,2/11/17,3
BS Other Rockfish,2/18/17,1
BS Other Rockfish,2/25/17,0
BS Other Rockfish,3/4/17,1
BS Other Rockfish,3/11/17,2
BS Other Rockfish,3/18/17,1
BS Other Rockfish,3/25/17,1
BS Other Rockfish,4/1/17,1
BS Other Rockfish,4/8/17,1
BS Other Rockfish,4/15/17,1
BS Other Rockfish,4/22/17,0
BS Other Rockfish,4/29/17,2
BS Other Rockfish,5/6/17,12
BS Other Rockfish,5/13/17,15
