"year","nbs_total","nbs_total_cv","biomass_flathead_sole","cv_flathead_sole","biomass_Bering_flounder","cv_Bering_flounder"
2010,12355.17,0.16793,0,NA,12355.17,0.16793
2017,19882.18,0.21074,78.75,0.64975,19803.43,0.21154
2019,18988.68,0.18444,463.03,0.33079,18525.65,0.18878
2021,8522.46,0.213,138.11,0.77594,8384.35,0.21593
